quarter,date,close,ttm_np_yi
2018Q1,2018-03-30,54.53,168.75
2018Q2,2018-06-29,52.22,181.87
2018Q3,2018-09-28,40.3,194.09
2018Q4,2018-12-28,36.86,201.86
2019Q1,2019-03-29,48.73,201.86
2019Q2,2019-06-28,51.86,211.04
2019Q3,2019-09-30,51.1,224.81
2019Q4,2019-12-31,58.25,236.47
2020Q1,2020-03-31,48.42,236.47
2020Q2,2020-06-30,59.79,228.93
2020Q3,2020-09-30,72.6,229.52
2020Q4,2020-12-31,98.44,249.14
2021Q1,2021-03-31,82.23,249.14
2021Q2,2021-06-30,71.37,288.81
2021Q3,2021-09-30,69.6,283.04
2021Q4,2021-12-31,73.81,286.6
2022Q1,2022-03-31,57.0,286.6
2022Q2,2022-06-30,60.39,292.83
2022Q3,2022-09-30,49.31,295.6
2022Q4,2022-12-30,51.8,295.88
2023Q1,2023-03-31,53.81,295.88
2023Q2,2023-06-30,58.92,304.17
2023Q3,2023-09-28,55.48,317.9
2023Q4,2023-12-29,54.63,328.01
2024Q1,2024-03-29,64.22,337.2
2024Q2,2024-06-28,64.5,346.78
2024Q3,2024-09-30,76.06,362.92
2024Q4,2024-12-31,75.22,377.02
2025Q1,2025-03-31,78.5,385.37
2025Q2,2025-06-30,72.2,419.59
2025Q3,2025-09-30,72.66,437.47
2025Q4,2025-12-31,78.15,447.22
2026Q1,2026-03-31,76.35,439.45
2026Q2,2026-06-30,75.53,441.98
2026Q3,2026-09-03,87.25,443.78
