,营收,净利润,扣非净利润,EPS,每股经营现金流,净利率,毛利率,ROE加权,资产负债率
2016,63.1714,18.5247,17.391,2.8324,0.96,29.37,66.95,24.1,15.71
2017,73.7234,20.4435,19.6055,3.1258,2.69,27.73,65.05,22.46,20.24
2018,73.3832,20.8487,19.151,3.19,1.54,28.43,65.99,19.72,18.32
2019,29.7008,-4.5483,-5.3679,-0.7,-1.71,-15.05,47.65,-4.13,13.99
2020,34.0944,0.4329,-0.3946,0.07,1.22,1.2,55.0,0.44,10.71
2021,38.4899,4.4044,3.5238,0.68,4.28,11.4,62.3,4.46,14.04
2022,40.4182,7.8,6.9983,1.21,3.28,19.28,68.3,7.68,18.06
2023,47.1527,11.5088,10.8263,1.79,3.03,24.43,70.24,11.12,19.28
2024,61.5671,15.5713,14.4171,2.42,3.37,26.3,72.42,14.6,21.05
2025,67.0047,17.3874,16.3808,2.7,3.55,25.95,73.47,16.66,22.55
