,扣非,净利,营收,扣非TTM,净利TTM,营收TTM
2008-06-30,0.5201,0.5527,3.9274,,,
2008-09-30,0.4983,0.522,3.8273,,,
2008-12-31,1.152,1.0358,4.8072,,,
2009-03-31,0.7581,0.7593,3.9957,2.9286,2.8697,16.5576
2009-06-30,0.8199,0.8287,5.1148,3.2283,3.1458,17.7451
2009-09-30,0.8187,0.831,5.3547,3.5488,3.4548,19.2724
2009-12-31,1.5016,1.4959,6.436,3.8983,3.915,20.9012
2010-03-31,1.6628,1.67,6.3617,4.803,4.8257,23.2671
2010-06-30,1.3784,1.3809,6.0746,5.3615,5.3779,24.2269
2010-09-30,1.0677,1.1492,5.3283,5.6104,5.696,24.2005
2010-12-31,1.3178,1.6222,6.8733,5.4266,5.8222,24.6378
2011-03-31,2.574,2.6886,7.0436,6.3377,6.8408,25.3197
2011-06-30,1.7024,1.8068,5.7564,6.6617,7.2666,25.0015
2011-09-30,1.5715,1.6341,5.8292,7.1656,7.7515,25.5025
2011-12-31,2.2482,2.4323,8.9593,8.096,8.5617,27.5885
2012-03-31,3.1198,3.3317,7.1383,8.6418,9.2048,27.6833
2012-06-30,1.1492,1.3279,4.349,8.0887,8.726,26.2759
2012-09-30,2.3931,2.7286,7.121,8.9103,9.8206,27.5677
2012-12-31,2.72,3.0139,11.9524,9.3822,10.4022,30.5607
2013-03-31,3.7337,3.8318,9.6774,9.9961,10.9022,33.0998
2013-06-30,1.4823,1.5895,7.8526,10.3292,11.1639,36.6034
2013-09-30,3.1629,3.184,10.9854,11.099,11.6192,40.4678
2013-12-31,3.1629,3.4235,11.6476,11.5418,12.0288,40.163
2014-03-31,4.034,4.2717,9.4655,11.8421,12.4687,39.9511
2014-06-30,1.6059,1.9426,7.8007,11.9657,12.8217,39.8993
2014-09-30,2.787,3.017,8.7749,11.5898,12.6548,37.6888
2014-12-31,4.2175,4.4242,14.049,12.6444,13.6555,40.0901
2015-03-31,5.056,5.261,14.3202,13.6664,14.6448,44.9449
2015-06-30,2.1787,2.4606,11.1523,14.2392,15.1629,48.2965
2015-09-30,3.363,3.5764,12.3758,14.8152,15.7222,51.8974
2015-12-31,4.373,4.9522,16.6482,14.9707,16.2503,54.4966
2016-03-31,5.2257,5.4438,14.8307,15.1404,16.4331,55.0071
2016-06-30,2.7204,2.8457,11.9128,15.6821,16.8182,55.7676
2016-09-30,3.2877,3.9697,13.1032,15.6068,17.2115,56.495
2016-12-31,6.1572,6.2654,23.3246,17.391,18.5247,63.1714
2017-03-31,5.8533,6.0457,16.7634,18.0185,19.1266,65.104
2017-06-30,2.5355,2.969,12.5805,17.8336,19.2498,65.7718
2017-09-30,3.3679,3.4513,15.4655,17.9138,18.7314,68.134
2017-12-31,7.8489,7.9776,28.914,19.6055,20.4435,73.7234
2018-03-31,5.9716,6.0942,16.9587,19.7238,20.492,73.9188
2018-06-30,1.8287,2.5284,12.9011,19.0171,20.0513,74.2393
2018-09-30,3.2403,3.6282,13.983,18.8895,20.2283,72.7569
2018-12-31,8.1104,8.5979,29.5403,19.151,20.8487,73.3832
2019-03-31,3.6811,3.9318,12.9178,16.8606,18.6863,69.3423
2019-06-30,-2.2419,-2.0022,5.9856,12.7899,14.1558,62.4268
2019-09-30,-0.0457,0.1594,9.3973,9.5039,10.6869,57.8411
2019-12-31,-6.7614,-6.6373,1.4,-5.3679,-4.5483,29.7008
2020-03-31,-0.9381,-0.8387,4.3774,-9.9871,-9.3188,21.1603
2020-06-30,-0.1145,-0.0015,6.5744,-7.8598,-7.3181,21.7491
2020-09-30,0.4682,0.6304,9.4538,-7.3459,-6.8471,21.8056
2020-12-31,0.1898,0.6427,13.6888,-0.3946,0.4329,34.0944
2021-03-31,0.4466,0.6165,7.3347,0.99,1.8881,37.0517
2021-06-30,0.6333,0.8799,9.5321,1.7379,2.7695,40.0094
2021-09-30,1.2686,1.5163,11.3921,2.5383,3.6554,41.9477
2021-12-31,1.1754,1.3917,10.231,3.5238,4.4044,38.4899
2022-03-31,0.9151,1.1468,8.9045,3.9924,4.9347,40.0596
2022-06-30,1.7536,1.9359,9.3545,5.1127,5.9906,39.882
2022-09-30,1.8542,2.0464,12.206,5.6983,6.5207,40.6959
2022-12-31,2.4753,2.671,9.9532,6.9983,7.8,40.4182
2023-03-31,2.123,2.3034,10.6904,8.2062,8.9566,42.2041
2023-06-30,2.7764,3.0078,10.981,9.229,10.0285,43.8306
2023-09-30,2.1048,2.5256,12.6114,9.4796,10.5077,44.236
2023-12-31,3.822,3.6721,12.8698,10.8263,11.5088,47.1527
2024-03-31,3.2864,3.534,14.5338,11.9896,12.7395,50.9961
2024-06-30,3.7094,3.8502,12.9457,12.9226,13.5818,52.9608
2024-09-30,3.6736,4.1401,18.1719,14.4914,15.1964,58.5213
2024-12-31,3.7478,4.047,15.9156,14.4171,15.5713,61.5671
2025-03-31,4.1636,4.2451,17.1932,15.2944,16.2824,64.2265
2025-06-30,3.712,3.9321,13.314,15.297,16.3643,64.5947
2025-09-30,3.6762,4.561,17.1565,15.2996,16.7852,63.5793
2025-12-31,4.829,4.6492,19.341,16.3808,17.3874,67.0047
2026-03-31,4.4836,4.5481,18.1422,16.7008,17.6904,67.9538
