date,net_profit_yi,non_gaap_yi,net_profit_ttm_yi,non_gaap_ttm_yi,quarter,trade_date,adj_close,close,quarter_label,profit_ttm_yi
2009-03-31,0.060929,0.064631,1.550189,1.598593,2009Q1,2009-03-31,1.893449068069458,4.233438014984131,2009Q1,1.598593
2009-06-30,0.500615,0.498184,1.619716,1.644809,2009Q2,2009-06-30,1.850247859954834,3.9168028831481934,2009Q2,1.644809
2009-09-30,0.68886,0.692616,1.671582,1.69538,2009Q3,2009-09-30,1.9904005527496338,4.213491916656494,2009Q3,1.69538
2009-12-31,0.474358,0.467364,1.724762,1.722795,2009Q4,2009-12-31,2.518033742904663,5.330441951751709,2009Q4,1.722795
2010-03-31,0.144551,0.077297,1.808384,1.735461,2010Q1,2010-03-31,2.573387861251831,5.447621822357178,2010Q1,1.735461
2010-06-30,0.833764,0.86262,2.141533,2.0998970000000003,2010Q2,2010-06-30,2.0227506160736084,4.235930919647217,2010Q2,2.0998970000000003
2010-09-30,0.835863,0.823055,2.2885359999999997,2.230336,2010Q3,2010-09-30,3.41688871383667,7.155457973480225,2010Q3,2.230336
2010-12-31,0.746547,0.728439,2.560725,2.4914110000000003,2010Q4,2010-12-31,3.1525862216949463,6.601968765258789,2010Q4,2.4914110000000003
2011-03-31,0.084849,0.085922,2.501023,2.5000359999999997,2011Q1,2011-03-31,2.935642957687378,6.147659778594971,2011Q1,2.5000359999999997
2011-06-30,0.945388,0.949477,2.612647,2.586893,2011Q2,2011-06-30,2.365703582763672,4.875528812408447,2011Q2,2.586893
2011-09-30,0.795875,0.805512,2.572659,2.56935,2011Q3,2011-09-30,2.34588360786438,4.834681034088135,2011Q3,2.56935
2011-12-31,0.13559,0.115525,1.9617019999999998,1.956436,2011Q4,2011-12-30,1.7484402656555176,3.603398084640503,2011Q4,1.956436
2012-03-31,-0.063606,-0.059195,1.8132469999999998,1.811319,2012Q1,2012-03-30,1.6422595977783203,3.384567975997925,2012Q1,1.811319
2012-06-30,0.891234,0.889131,1.759093,1.7509730000000001,2012Q2,2012-06-29,1.4863817691802979,2.888554096221924,2012Q2,1.7509730000000001
2012-09-30,0.675694,0.660446,1.638912,1.605907,2012Q3,2012-09-28,1.4338327646255493,2.786432981491089,2012Q3,1.605907
2012-12-31,0.186967,0.205122,1.690289,1.695504,2012Q4,2012-12-31,1.4443422555923462,2.806857109069824,2012Q4,1.695504
2013-03-31,-0.061303,-0.064788,1.6925919999999999,1.689911,2013Q1,2013-03-29,1.5104039907455444,2.9352378845214844,2013Q1,1.689911
2013-06-30,0.974579,0.979163,1.775937,1.7799429999999998,2013Q2,2013-06-28,1.2991632223129272,2.3925390243530273,2013Q2,1.7799429999999998
2013-09-30,0.756924,0.739561,1.857167,1.859058,2013Q3,2013-09-30,1.4528446197509766,2.6755590438842773,2013Q3,1.859058
2013-12-31,0.422486,0.44077,2.092686,2.094706,2013Q4,2013-12-31,1.6271227598190308,2.9965100288391113,2013Q4,2.094706
2014-03-31,0.089588,0.092208,2.243577,2.2517020000000003,2014Q1,2014-03-31,1.8726963996887207,3.4487578868865967,2014Q1,2.2517020000000003
2014-06-30,0.958092,0.962407,2.2270900000000005,2.234946,2014Q2,2014-06-30,1.7094361782073975,2.9396140575408936,2014Q2,2.234946
2014-09-30,0.885807,0.867281,2.355973,2.362666,2014Q3,2014-09-30,2.1285243034362793,3.6602940559387207,2014Q3,2.362666
2014-12-31,0.426552,0.414349,2.360039,2.336245,2014Q4,2014-12-31,2.1726386547088623,3.7361550331115723,2014Q4,2.336245
2015-03-31,0.063949,0.065976,2.3344,2.310013,2015Q1,2015-03-31,2.907144069671631,4.999240875244141,2015Q1,2.310013
2015-06-30,1.071993,1.061089,2.448301,2.408695,2015Q2,2015-06-30,4.423323154449463,7.3600358963012695,2015Q2,2.408695
2015-09-30,0.872794,0.874786,2.435288,2.4162,2015Q3,2015-09-30,4.423323154449463,7.3600358963012695,2015Q3,2.4162
2015-12-31,0.467082,0.399687,2.475818,2.401538,2015Q4,2015-12-31,4.847326755523682,8.065543174743652,2015Q4,2.401538
