date,net_profit_yi,non_gaap_yi,net_profit_ttm_yi,non_gaap_ttm_yi,quarter,trade_date,adj_close,close
2017-03-31,0.253686,0.199706,0.864071,0.639105,2017Q1,2017-03-31,19.418174743652344,22.395238876342773
2017-06-30,0.162515,0.098433,0.8042849999999999,0.583447,2017Q2,2017-06-30,14.999480247497559,17.238094329833984
2017-09-30,0.120562,0.052377,0.772951,0.489253,2017Q3,2017-09-29,16.781187057495117,19.28571319580078
2017-12-31,0.12061,-0.029426,0.657373,0.32109,2017Q4,2017-12-29,10.88498306274414,12.509523391723633
2018-03-31,0.269898,0.136485,0.673585,0.257869,2018Q1,2018-03-30,11.22060775756836,12.895237922668457
2018-06-30,0.121895,0.018716,0.632965,0.17815200000000003,2018Q2,2018-06-29,14.19830322265625,16.238094329833984
2018-09-30,0.159203,0.091473,0.6716059999999999,0.217248,2018Q3,2018-09-28,11.013052940368652,12.595237731933594
2018-12-31,0.154137,0.13513,0.705133,0.38180400000000003,2018Q4,2018-12-28,8.952010154724121,10.2380952835083
2019-03-31,0.284865,0.173799,0.7201,0.419118,2019Q1,2019-03-29,11.633447647094727,13.304760932922363
2019-06-30,0.37673,0.242414,0.974935,0.642816,2019Q2,2019-06-28,12.940709114074707,14.69523811340332
2019-09-30,0.23608,0.223293,1.051812,0.774636,2019Q3,2019-09-30,15.754454612731934,17.89047622680664
2019-12-31,0.382689,0.373309,1.280364,1.012815,2019Q4,2019-12-31,15.138031959533691,17.190475463867188
2020-03-31,0.572018,0.402746,1.567517,1.241762,2020Q1,2020-03-31,23.411529541015625,26.58571434020996
2020-06-30,0.727634,0.601848,1.918421,1.601196,2020Q2,2020-06-30,40.28872299194336,45.32381057739258
2020-09-30,0.585465,0.420336,2.267806,1.7982390000000001,2020Q3,2020-09-30,63.04478073120117,70.9238052368164
2020-12-31,0.532618,0.468597,2.417735,1.893527,2020Q4,2020-12-31,46.65500259399414,52.485713958740234
2021-03-31,0.820328,0.675168,2.666045,2.165949,2021Q1,2021-03-31,55.91657638549805,62.904762268066406
2021-06-30,-0.334107,-0.492874,1.604304,1.071227,2021Q2,2021-06-30,42.608253479003906,47.485713958740234
2021-09-30,0.286677,0.07249,1.305516,0.7233809999999999,2021Q3,2021-09-30,23.05169677734375,25.690475463867188
2021-12-31,0.734504,0.65924,1.507402,0.9140240000000001,2021Q4,2021-12-31,36.57508087158203,40.761905670166016
2022-03-31,0.613995,0.490953,1.301069,0.729809,2022Q1,2022-03-31,25.794830322265625,28.74761962890625
2022-06-30,0.674343,0.645341,2.309519,1.8680240000000001,2022Q2,2022-06-30,38.10562515258789,41.876190185546875
2022-09-30,0.897837,0.790366,2.920679,2.5859,2022Q3,2022-09-30,39.305904388427734,43.19523620605469
2022-12-31,0.828639,0.828851,3.0148140000000003,2.7555110000000003,2022Q4,2022-12-30,46.92356872558594,51.56666564941406
2023-03-31,1.115473,0.983524,3.516292,3.2480819999999997,2023Q1,2023-03-31,58.4237174987793,64.20475769042969
2023-06-30,1.341309,1.328456,4.183258,3.931197,2023Q2,2023-06-30,56.26873779296875,60.75
2023-09-30,1.501881,1.445538,4.787302,4.5863689999999995,2023Q3,2023-09-28,49.1962776184082,53.11428451538086
2023-12-31,1.099075,1.004824,5.0577380000000005,4.762341999999999,2023Q4,2023-12-29,45.967689514160156,49.628570556640625
2024-03-31,1.596245,1.377809,5.5385100000000005,5.156627,2024Q1,2024-03-29,49.818180084228516,53.78571319580078
2024-06-30,1.597644,1.349504,5.7948450000000005,5.177675,2024Q2,2024-06-28,40.494110107421875,42.77000045776367
2024-09-30,1.736452,1.514941,6.029416,5.247078,2024Q3,2024-09-30,50.9121208190918,53.0
2024-12-31,1.469118,1.437868,6.399459,5.680122,2024Q4,2024-12-31,60.13393783569336,62.599998474121094
2025-03-31,1.78203,1.562603,6.585244,5.864916,2025Q1,2025-03-31,60.87360382080078,63.369998931884766
2025-06-30,1.945114,1.778312,6.932714,6.293724,2025Q2,2025-06-30,77.23272705078125,80.4000015258789
2025-09-30,2.318977,2.196774,7.515238999999999,6.975557,2025Q3,2025-09-30,68.1941146850586,70.0999984741211
2025-12-31,1.438016,1.611551,7.484137,7.14924,2025Q4,2025-12-31,66.84191131591797,68.30999755859375
2026-03-31,2.307429,2.03847,8.009536,7.625107,2026Q1,2026-03-31,58.09404754638672,59.369998931884766
