报告期,营收累计_百万元,GAAP归母累计_百万元,毛利累计_百万元,基本EPS累计_人民币,年份,季度,营收单季_百万元,GAAP归母单季_百万元,毛利单季_百万元,基本EPS单季_人民币,披露日,官方URL,GAAP归母TTM_百万元,基本EPS_TTM_人民币,NonIFRS归母单季_百万元,NonIFRS归母TTM_百万元
2015-12-31,102863.000000,28806.000000,61232.000000,3.097000,2015,4,30441.000000,7164.000000,17780.000000,0.769000,2016-03-17,https://static.www.tencent.com/storage/uploads/2019/11/09/06e38b72d8b77f9d1088d59a8160e85d.pdf,,,,
2016-03-31,31995.000000,9183.000000,18589.000000,0.981000,2016,1,31995.000000,9183.000000,18589.000000,0.981000,2016-05-18,https://static.www.tencent.com/storage/uploads/2019/11/09/4a09e966961abfa6b72202f5f9e7791c.pdf,,,,
2016-06-30,67686.000000,19920.000000,39045.000000,2.128000,2016,2,35691.000000,10737.000000,20456.000000,1.147000,2016-08-17,https://static.www.tencent.com/storage/uploads/2019/11/09/1dd19947d4ef01d1dfa38e6833a70916.pdf,,,,
2016-09-30,108074.000000,30566.000000,60873.000000,3.263000,2016,3,40388.000000,10646.000000,21828.000000,1.135000,2016-11-16,https://static.www.tencent.com/storage/uploads/2019/11/09/38adea14212ad3eee2d88fc6e051274a.pdf,37730.000000,4.032000,,
2016-12-31,151938.000000,41095.000000,84499.000000,4.383000,2016,4,43864.000000,10529.000000,23626.000000,1.120000,2017-03-22,https://static.www.tencent.com/storage/uploads/2019/11/09/3d55d78a578884f2d86500c1079bfab9.pdf,41095.000000,4.383000,,
2017-03-31,49552.000000,14476.000000,25443.000000,1.540000,2017,1,49552.000000,14476.000000,25443.000000,1.540000,2017-05-17,https://static.www.tencent.com/storage/uploads/2019/11/09/b3a0fac09c74a5291c28968dc58017a9.pdf,46388.000000,4.942000,,
2017-06-30,106158.000000,32707.000000,53749.000000,3.480000,2017,2,56606.000000,18231.000000,28306.000000,1.940000,2017-08-16,https://static.www.tencent.com/storage/uploads/2019/11/09/bfb827aa2e0964ee26ec57530f62040a.pdf,53882.000000,5.735000,,
2017-09-30,171368.000000,50713.000000,85430.000000,5.391000,2017,3,65210.000000,18006.000000,31681.000000,1.911000,2017-11-15,https://static.www.tencent.com/storage/uploads/2019/11/09/e4113369976d7623501b97da19d1fd52.pdf,61242.000000,6.511000,,
2017-12-31,237760.000000,71510.000000,116925.000000,7.598000,2017,4,66392.000000,20797.000000,31495.000000,2.207000,2018-03-21,https://static.www.tencent.com/storage/uploads/2019/11/09/06bc86c6e61c63aafcb129347819d0d4.pdf,71510.000000,7.598000,,
2018-03-31,73528.000000,23290.000000,37042.000000,2.470000,2018,1,73528.000000,23290.000000,37042.000000,2.470000,2018-05-16,https://static.www.tencent.com/storage/uploads/2019/11/09/3e68a59c9f2568245fd0532efa0d7f78.pdf,80324.000000,8.528000,,
2018-06-30,147203.000000,41157.000000,71488.000000,4.363000,2018,2,73675.000000,17867.000000,34446.000000,1.893000,2018-08-15,https://static.www.tencent.com/storage/uploads/2019/11/09/cb5b5b762f655737be7c6712ac060175.pdf,79960.000000,8.481000,,
2018-09-30,227798.000000,64490.000000,106968.000000,6.832000,2018,3,80595.000000,23333.000000,35480.000000,2.469000,2018-11-14,https://static.www.tencent.com/storage/uploads/2019/11/09/64dc64f73f12bdc40bdf5c74861a3b72.pdf,85287.000000,9.039000,,
2018-12-31,312694.000000,78719.000000,142120.000000,8.336000,2018,4,84896.000000,14229.000000,35152.000000,1.504000,2019-03-21,https://static.www.tencent.com/storage/uploads/2019/11/09/07a7fcd8a2494c502a6edd21d4b8eb66.pdf,78719.000000,8.336000,,
2019-03-31,85465.000000,27210.000000,39820.000000,2.877000,2019,1,85465.000000,27210.000000,39820.000000,2.877000,2019-05-15,https://static.www.tencent.com/storage/uploads/2019/11/09/996a00a688b56c13c220845ed6f63be9.pdf,82639.000000,8.743000,,
2019-06-30,174286.000000,51346.000000,78946.000000,5.427000,2019,2,88821.000000,24136.000000,39126.000000,2.550000,2019-08-14,https://static.www.tencent.com/storage/uploads/2019/11/09/77248c95e2a3295269c2875c8c908f86.pdf,88908.000000,9.400000,,
2019-09-30,271522.000000,71728.000000,121425.000000,7.578000,2019,3,97236.000000,20382.000000,42479.000000,2.151000,2019-11-13,https://static.www.tencent.com/uploads/2019/11/13/8b98062831f2f28d9cb4616222a4d3c3.pdf,85957.000000,9.082000,,
2019-12-31,377289.000000,93310.000000,167533.000000,9.856000,2019,4,105767.000000,21582.000000,46108.000000,2.278000,2020-03-18,https://static.www.tencent.com/uploads/2020/03/18/7fceaf3d1b264debc61342fc1a27dd18.pdf,93310.000000,9.856000,,
2020-03-31,108065.000000,28896.000000,52794.000000,3.049000,2020,1,108065.000000,28896.000000,52794.000000,3.049000,2020-05-13,https://static.www.tencent.com/uploads/2020/05/18/13009f73ecab16501df9062e43e47e67.pdf,94996.000000,10.028000,27079.000000,
2020-06-30,222948.000000,62003.000000,106004.000000,6.541000,2020,2,114883.000000,33107.000000,53210.000000,3.492000,2020-08-12,https://static.www.tencent.com/uploads/2020/08/12/00e999c23314aa085c0b48c533d4d393.pdf,103967.000000,10.970000,30153.000000,
2020-09-30,348395.000000,100545.000000,162651.000000,10.601000,2020,3,125447.000000,38542.000000,56647.000000,4.060000,2020-11-12,https://static.www.tencent.com/uploads/2020/11/12/4c2090d5f6f00fd90ddc9bbd9a1415d1.pdf,122127.000000,12.879000,32303.000000,
2020-12-31,482064.000000,159847.000000,221532.000000,16.844000,2020,4,133669.000000,59302.000000,58881.000000,6.243000,2021-03-24,https://static.www.tencent.com/uploads/2021/03/24/b83f5784d0579b51cf8515cf560b4256.pdf,159847.000000,16.844000,33207.000000,122742.000000
2021-03-31,135303.000000,47767.000000,62635.000000,5.020000,2021,1,135303.000000,47767.000000,62635.000000,5.020000,2021-05-20,https://static.www.tencent.com/uploads/2021/05/20/269facaab659f690ab4e262b4c0bd01d.pdf,178718.000000,18.815000,33118.000000,128781.000000
2021-06-30,273562.000000,90354.000000,125380.000000,9.492000,2021,2,138259.000000,42587.000000,62745.000000,4.472000,2021-08-18,https://static.www.tencent.com/uploads/2021/08/18/236f212d95d7402bacdbdf904a6b2b65.pdf,188198.000000,19.795000,34039.000000,132667.000000
2021-09-30,415930.000000,129864.000000,188127.000000,13.634000,2021,3,142368.000000,39510.000000,62747.000000,4.142000,2021-11-10,https://static.www.tencent.com/uploads/2021/11/10/57d32da50c1d7abe221d7f9ca9ec3dcb.pdf,189166.000000,19.877000,31751.000000,132115.000000
2021-12-31,560118.000000,224822.000000,245944.000000,23.597000,2021,4,144188.000000,94958.000000,57817.000000,9.963000,2022-03-23,https://static.www.tencent.com/uploads/2022/03/23/b107f5a267bf6a7d00fd8373cd841558.pdf,224822.000000,23.597000,24880.000000,123788.000000
