date,label,type,close,adj_close,net_profit,ttm
2020-12-31,2020-12,FY,54.95000076293945,49.59332275390625,52.77,52.77
2021-06-30,2021-06,H1,38.95000076293945,35.33176040649414,40.33,64.5
2021-12-31,2021-12,FY,51.45000076293945,46.67057800292969,71.62,71.62
2022-06-30,2022-06,H1,45.04999923706055,41.389591217041016,46.19,77.48
2022-12-31,2022-12,FY,44.099998474121094,40.51678085327149,84.99,84.99
2023-06-30,2023-06,H1,43.25,40.48613357543945,52.59,91.38999999999999
2023-12-31,2023-12,FY,45.150001525878906,42.26471710205078,120.79,120.79
2024-06-30,2024-06,H1,37.04999923706055,35.316017150878906,62.4,130.6
2024-12-31,2024-12,FY,34.0,32.40876007080078,121.23,121.23
2025-06-30,2025-06,H1,40.099998474121094,39.053993225097656,76.22,135.04999999999998
2025-12-31,2025-12,FY,46.84000015258789,45.61817932128906,158.68,158.68
2026-06-30,2026-06,H1,39.619998931884766,39.619998931884766,88.87,171.33
2026-09-16,"2026-09
(现价)",Latest,39.38,39.38,88.87,171.33
