date,quarter_label,trade_date,close_hkd,adj_close_hkd,profit_q_yi,profit_ttm_yi,profit_cum_yi
2018-09-30,2018Q3,2018-09-28,15.5,15.5,24.987880000000004,-28.847830000000002,101.44983
2018-12-31,2018Q4,2018-12-31,12.920000076293945,12.920000076293945,34.089029999999994,135.53886,135.53886
2019-03-31,2019Q1,2019-03-29,11.380000114440918,11.380000114440918,31.25959,236.84968,31.25959
2019-06-30,2019Q2,2019-06-28,10.0,10.0,19.519560000000002,109.85606,50.77915
2019-09-30,2019Q3,2019-09-30,8.800000190734863,8.800000190734863,25.25063,110.11881,76.02978
2019-12-31,2019Q4,2019-12-31,10.779999732971191,10.779999732971191,24.411860000000004,100.44164,100.44164
2020-03-31,2020Q1,2020-03-31,10.4399995803833,10.4399995803833,21.63515,90.8172,21.63515
2020-06-30,2020Q2,2020-06-30,12.84000015258789,12.84000015258789,44.98128,116.27892,66.61643
2020-09-30,2020Q3,2020-09-30,20.450000762939453,20.450000762939453,48.80596,139.83425,115.42239
2020-12-31,2020Q4,2020-12-31,33.04999923706055,33.04999923706055,88.13265,203.55504,203.55504
2021-03-31,2021Q1,2021-03-31,25.75,25.75,77.92889,259.84878,77.92889
2021-06-30,2021Q2,2021-06-30,27.0,27.0,82.68477000000001,297.55227,160.61366
2021-09-30,2021Q3,2021-09-30,21.350000381469727,21.350000381469727,7.922559999999976,256.66886999999997,168.53622
2021-12-31,2021Q4,2021-12-31,18.899999618530273,18.899999618530273,24.856990000000025,193.39321,193.39321
2022-03-31,2022Q1,2022-03-31,13.9399995803833,13.9399995803833,-5.876,109.58832000000001,-5.876
2022-06-30,2022Q2,2022-06-30,13.640000343322754,13.640000343322754,13.864,40.76755,7.988
2022-09-30,2022Q3,2022-09-30,8.960000038146973,8.960000038146973,-14.7605,18.084490000000024,-6.7725
2022-12-31,2022Q4,2022-12-30,10.9399995803833,10.9399995803833,31.512800000000002,24.7403,24.7403
2023-03-31,2023Q1,2023-03-31,12.100000381469727,12.100000381469727,42.03839,72.65469,42.03839
2023-06-30,2023Q2,2023-06-30,10.720000267028809,10.720000267028809,36.69975,95.49044,78.73814
2023-09-30,2023Q3,2023-09-29,12.34000015258789,12.34000015258789,48.738609999999994,158.98955,127.47675
2023-12-31,2023Q4,2023-12-29,15.600000381469727,15.600000381469727,47.27498000000001,174.75173,174.75173
2024-03-31,2024Q1,2024-03-28,14.9399995803833,14.9399995803833,41.82061,174.53395000000003,41.82061
2024-06-30,2024Q2,2024-06-28,16.479999542236328,16.479999542236328,50.980019999999996,188.81422,92.80063
2024-09-30,2024Q3,2024-09-30,22.5,22.5,53.52404,193.59965,146.32467
2024-12-31,2024Q4,2024-12-31,34.650001525878906,34.650001525878906,90.25658999999999,236.58126,236.58126
2025-03-31,2025Q1,2025-03-31,49.20000076293945,49.20000076293945,109.24321,304.00386,109.24321
2025-06-30,2025Q2,2025-06-30,59.95000076293945,59.95000076293945,119.04405,372.06789,228.28726
2025-09-30,2025Q3,2025-09-30,54.0,54.0,122.70873999999998,441.25258999999994,350.996
2025-12-31,2025Q4,2025-12-31,39.20000076293945,39.20000076293945,65.43789000000004,416.43389,416.43389
2026-03-31,2026Q1,2026-03-31,31.760000228881836,31.760000228881836,47.2312,354.42188000000004,47.2312
