date,全面收益总额,其他全面收益,其他全面收益其他项目,其他支出,其他收入,其他收益,利息收入,少数股东损益,持续经营业务税后利润,本公司拥有人应占全面收益总额,每股基本盈利,每股摊薄盈利,毛利,溢利其他项目,研发费用,税项,经营溢利,股东应占溢利,营业额,营运收入,融资成本,行政开支,重估盈余,销售及分销费用,销售成本,除税前溢利,除税后溢利,非控股权益应占全面收益总额,非运算项目
2015-12-31,-13136127000.0,-5509097000.0,-5509097000.0,92781000.0,522436000.0,-379439000.0,,-45735000.0,,-13098817000.0,-0.783,-0.783,2699933000.0,-8759314000.0,1511815000.0,154519000.0,1372670000.0,-7581295000.0,66811258000.0,66811258000.0,85867000.0,766252000.0,2813353000.0,1912765000.0,64111325000.0,-7472511000.0,-7627030000.0,-37310000.0,
2016-12-31,-6307155000.0,-6798761000.0,-6798761000.0,150445000.0,540493000.0,-528250000.0,,-61644000.0,,-6254475000.0,0.057,0.057,7249355000.0,-2523309000.0,2104226000.0,683903000.0,3785064000.0,553250000.0,68434161000.0,68434161000.0,86246000.0,926833000.0,2727283000.0,3022313000.0,61184806000.0,1175509000.0,491606000.0,-52680000.0,
2017-12-31,-35994749000.0,7894366000.0,7894366000.0,231496000.0,448671000.0,72040000.0,26784000.0,-63099000.0,,-35922124000.0,-4.491,-4.491,15154205000.0,-54071603000.0,3151401000.0,2059763000.0,12215467000.0,-43826016000.0,114624742000.0,114624742000.0,,1216110000.0,6371098000.0,5231540000.0,99470537000.0,-41829352000.0,-43889115000.0,-72625000.0,
2018-12-31,11921632000.0,-1556115000.0,-1556115000.0,,844789000.0,-401639000.0,216373000.0,-76139000.0,13477747000.0,11989243000.0,0.843,0.044,22191939000.0,12514279000.0,5776826000.0,449377000.0,1196472000.0,13553886000.0,174915425000.0,174915425000.0,,12099078000.0,4430359000.0,7993072000.0,152723486000.0,13927124000.0,13477747000.0,-67611000.0,-152723486000.0
2019-12-31,10543383000.0,440433000.0,440433000.0,,1265921000.0,-898221000.0,930889000.0,58786000.0,10102950000.0,10472914000.0,0.423,0.41,28554033000.0,,7492554000.0,2059696000.0,11760217000.0,10044164000.0,205838682000.0,205838682000.0,528460000.0,3103901000.0,3813012000.0,10378073000.0,177284649000.0,12162646000.0,10102950000.0,70469000.0,-177284649000.0
2020-12-31,17949889000.0,-2362821000.0,-2362821000.0,,642930000.0,1008446000.0,963555000.0,-42794000.0,20312710000.0,17986452000.0,0.85,0.83,36751862000.0,,9256139000.0,1320722000.0,24034729000.0,20355504000.0,245865633000.0,245865633000.0,3364852000.0,3746449000.0,13173479000.0,14539400000.0,209113771000.0,21633432000.0,20312710000.0,-36563000.0,-209113771000.0
2021-12-31,17879021000.0,-1404214000.0,-1404214000.0,,826856000.0,-2304494000.0,1229826000.0,-56086000.0,19283235000.0,17940990000.0,0.78,0.76,58260941000.0,,13167088000.0,5133798000.0,26028664000.0,19339321000.0,328309145000.0,328309145000.0,2841457000.0,4738919000.0,8132133000.0,20980765000.0,270048204000.0,24417033000.0,19283235000.0,-61969000.0,-270048204000.0
2022-12-31,6247923000.0,3745355000.0,3745355000.0,,1135560000.0,-1768910000.0,1663941000.0,28538000.0,2502568000.0,6201669000.0,0.1,0.1,47577190000.0,,16028132000.0,1431388000.0,2816498000.0,2474030000.0,280044016000.0,280044016000.0,546483000.0,5113877000.0,-1662010000.0,21323323000.0,232466826000.0,3933956000.0,2502568000.0,46254000.0,-232466826000.0
2023-12-31,18510061000.0,1035865000.0,1035865000.0,,740091000.0,1742326000.0,3558347000.0,-977000.0,17474196000.0,18507548000.0,0.7,0.69,57476239000.0,,19097699000.0,4536851000.0,20008670000.0,17475173000.0,270970141000.0,270970141000.0,1555970000.0,5126798000.0,3501053000.0,19226542000.0,213493902000.0,22011047000.0,17474196000.0,2513000.0,-213493902000.0
2024-12-31,24338685000.0,760236000.0,760236000.0,,1666779000.0,266511000.0,3836204000.0,-79677000.0,23578449000.0,24407696000.0,0.95,0.93,76560194000.0,,24050484000.0,4548204000.0,24502896000.0,23658126000.0,365906350000.0,365906350000.0,212447000.0,5601248000.0,1050772000.0,25389628000.0,289346156000.0,28126653000.0,23578449000.0,-69011000.0,-289346156000.0
2025-12-31,38900700000.0,-2665739000.0,-2665739000.0,,2736940000.0,3045965000.0,5380680000.0,-76950000.0,41566439000.0,38993674000.0,1.62,1.56,101805847000.0,,33132201000.0,8080426000.0,47900920000.0,41643389000.0,457286687000.0,457286687000.0,3634735000.0,6653026000.0,13311733000.0,33214338000.0,355480840000.0,49646865000.0,41566439000.0,-92974000.0,-355480840000.0
