报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其他应收款,存货,其他流动资产,总现金,流动资产合计,非流动资产,可供出售金融资产,其他权益工具投资,投资性房地产,固定资产合计,其中：固定资产,在建工程合计,其中：在建工程,工程物资,无形资产,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,应付票据及应付账款,其中：应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,递延收益-非流动负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2025,,19.78亿,25.39亿,5.61亿,19.78亿,,,3.94亿,2.93亿,3029.42万,2.63亿,1521.92万,209.33万,False,1.89亿,455.83万,3.94亿,9.31亿,,False,1166.67万,1113.24万,9.06亿,False,3.80亿,False,False,2.23亿,339.88万,1968.44万,3887.68万,16.08亿,25.39亿,,7005.10万,3549.33万,False,3549.33万,9.88万,178.52万,8869.08万,7328.03万,2.04亿,False,False,759.99万,1962.57万,5.01亿,,False,5572.44万,6010.19万,5.61亿,,2.46亿,8.30亿,False,141.67万,1.23亿,7.77亿,19.78亿,False,19.78亿,25.39亿
2024,,15.93亿,21.28亿,5.34亿,15.93亿,,,3.70亿,2.62亿,2022.22万,2.42亿,2442.65万,336.83万,336.83万,1.54亿,47.18万,3.70亿,8.30亿,,False,1000.00万,1206.66万,7.79亿,7.79亿,1.97亿,1.53亿,4377.65万,1.35亿,482.86万,2249.72万,6193.03万,12.98亿,21.28亿,,2.00亿,1772.71万,False,1772.71万,24.29万,321.78万,8023.53万,4048.30万,9608.02万,False,9608.02万,627.95万,1704.97万,4.61亿,,False,6413.26万,7299.17万,5.34亿,,1.75亿,8.67亿,False,False,8762.46万,4.64亿,15.93亿,False,15.93亿,21.28亿
2023,,16.90亿,20.24亿,3.34亿,16.90亿,,,4.80亿,2.03亿,2578.91万,1.78亿,3173.69万,392.89万,392.89万,1.36亿,97.61万,4.80亿,9.05亿,,False,False,1300.08万,7.21亿,7.21亿,1.06亿,8264.64万,2350.94万,7828.84万,882.92万,3857.47万,3267.99万,11.19亿,20.24亿,,7005.83万,1756.54万,False,1756.54万,21.49万,654.84万,7759.77万,846.85万,6033.33万,False,6033.33万,686.55万,1246.66万,2.60亿,,False,7158.13万,7380.52万,3.34亿,,1.25亿,8.91亿,False,False,5993.84万,6.14亿,16.90亿,False,16.90亿,20.24亿
2022,,15.52亿,17.83亿,2.31亿,15.52亿,,,5.15亿,1.48亿,2420.98万,1.24亿,1846.84万,462.13万,462.13万,1.22亿,939.80万,5.15亿,8.65亿,,False,False,1150.76万,6.11亿,6.11亿,7012.02万,5393.33万,1618.69万,2765.82万,943.29万,2377.23万,5387.99万,9.18亿,17.83亿,,False,1945.55万,False,1945.55万,23.33万,200.53万,5368.40万,891.48万,4867.22万,False,4867.22万,711.58万,1236.43万,1.52亿,,False,7149.56万,7818.89万,2.31亿,,8855.51万,8.52亿,False,False,4427.75万,5.67亿,15.52亿,False,15.52亿,17.83亿
2021,,13.44亿,16.87亿,3.42亿,13.44亿,,,6.86亿,1.27亿,1894.42万,1.08亿,2312.18万,584.48万,584.48万,9233.10万,614.79万,6.86亿,9.84亿,,False,False,1226.20万,5.00亿,5.00亿,3494.18万,3494.18万,False,2283.38万,975.26万,3044.63万,2751.53万,7.02亿,16.87亿,,1.00亿,1331.21万,False,1331.21万,40.41万,610.74万,5234.62万,2074.30万,5863.58万,62.21万,5801.37万,417.85万,1110.17万,2.67亿,,False,6842.13万,7552.24万,3.42亿,,8809.59万,7.83亿,527.92万,False,4404.79万,4.35亿,13.44亿,False,13.44亿,16.87亿
2020,,6.94亿,9.66亿,2.72亿,6.82亿,,,3721.88万,1.12亿,False,1.12亿,1712.50万,314.72万,314.72万,6830.96万,1019.00万,3721.88万,2.94亿,,False,False,1040.23万,5.06亿,5.06亿,2231.21万,2231.21万,False,2382.87万,661.06万,3387.27万,4727.08万,6.71亿,9.66亿,,8000.00万,666.53万,False,666.53万,37.41万,510.73万,3529.11万,633.96万,6929.69万,62.74万,6866.95万,False,941.92万,2.12亿,,False,5914.86万,5914.86万,2.72亿,,8236.54万,2.88亿,1325.85万,-219.51万,4118.27万,2.86亿,6.82亿,1187.07万,6.94亿,9.66亿
2019,,5.75亿,8.52亿,2.77亿,5.69亿,,,4996.26万,9300.46万,False,9300.46万,1356.88万,191.42万,191.42万,7986.73万,607.27万,4996.26万,2.82亿,,False,219.51万,822.86万,4.22亿,4.22亿,5188.34万,5188.34万,False,2384.27万,778.18万,1328.04万,3977.07万,5.71亿,8.52亿,,9000.00万,2651.93万,1165.55万,1486.38万,635.99万,False,2769.88万,1252.26万,4643.44万,60.75万,4582.69万,False,1153.33万,2.21亿,,False,5639.65万,5639.65万,2.77亿,,8243.00万,2.56亿,1956.15万,False,3585.85万,2.14亿,5.69亿,638.91万,5.75亿,8.52亿
2018,,5.55亿,7.08亿,1.54亿,5.46亿,,,2837.12万,1.07亿,3359.77万,7311.60万,1320.92万,148.71万,148.71万,5631.49万,366.96万,2837.12万,2.10亿,,219.51万,False,575.21万,4.24亿,4.24亿,149.54万,149.54万,False,2349.20万,1011.59万,573.00万,2638.91万,4.99亿,7.08亿,,5000.00万,1057.13万,False,1057.13万,146.31万,False,1463.51万,380.49万,4362.59万,False,4362.59万,False,False,1.24亿,,False,2979.12万,2979.12万,1.54亿,,8243.00万,2.49亿,2016.90万,False,3000.30万,2.04亿,5.46亿,905.04万,5.55亿,7.08亿
2017,,5.53亿,6.76亿,1.23亿,5.50亿,,,2228.62万,1.01亿,3328.12万,6731.96万,1486.23万,158.02万,158.02万,5483.03万,33.06万,2228.62万,1.94亿,,219.51万,False,301.95万,4.16亿,4.16亿,1509.43万,1509.43万,False,2407.47万,128.76万,551.45万,1506.90万,4.82亿,6.76亿,,5000.00万,690.95万,False,690.95万,70.90万,False,242.59万,780.16万,2426.97万,False,2426.97万,False,False,9211.57万,,False,3097.77万,3097.77万,1.23亿,,8000.00万,2.30亿,False,False,2803.51万,2.12亿,5.50亿,300.07万,5.53亿,6.76亿
2016,,5.21亿,7.21亿,2.00亿,5.21亿,,,9061.19万,9714.34万,3483.09万,6231.25万,755.37万,55.00万,55.00万,4810.44万,False,9061.19万,2.44亿,,False,False,315.71万,4.42亿,4.42亿,145.87万,145.87万,False,2403.45万,False,554.66万,151.27万,4.77亿,7.21亿,,8000.00万,1019.43万,False,1019.43万,55.38万,False,119.34万,1163.45万,3661.40万,False,3661.40万,2800.00万,False,1.68亿,,False,3227.83万,3227.83万,2.00亿,,8000.00万,2.30亿,False,False,2381.35万,1.87亿,5.21亿,False,5.21亿,7.21亿
