SECUCODE,SECURITY_CODE,INDUSTRY_CODE,ORG_CODE,SECURITY_NAME_ABBR,INDUSTRY_NAME,MARKET,SECURITY_TYPE_CODE,TRADE_MARKET_CODE,DATE_TYPE_CODE,REPORT_TYPE_CODE,DATA_STATE,NOTICE_DATE,REPORT_DATE,TOTAL_ASSETS,FIXED_ASSET,MONETARYFUNDS,MONETARYFUNDS_RATIO,ACCOUNTS_RECE,ACCOUNTS_RECE_RATIO,INVENTORY,INVENTORY_RATIO,TOTAL_LIABILITIES,ACCOUNTS_PAYABLE,ACCOUNTS_PAYABLE_RATIO,ADVANCE_RECEIVABLES,ADVANCE_RECEIVABLES_RATIO,TOTAL_EQUITY,TOTAL_EQUITY_RATIO,TOTAL_ASSETS_RATIO,TOTAL_LIAB_RATIO,CURRENT_RATIO,DEBT_ASSET_RATIO,CASH_DEPOSIT_PBC,CDP_RATIO,LOAN_ADVANCE,LOAN_ADVANCE_RATIO,AVAILABLE_SALE_FINASSET,ASF_RATIO,LOAN_PBC,LOAN_PBC_RATIO,ACCEPT_DEPOSIT,ACCEPT_DEPOSIT_RATIO,SELL_REPO_FINASSET,SRF_RATIO,SETTLE_EXCESS_RESERVE,SER_RATIO,BORROW_FUND,BORROW_FUND_RATIO,AGENT_TRADE_SECURITY,ATS_RATIO,PREMIUM_RECE,PREMIUM_RECE_RATIO,SHORT_LOAN,SHORT_LOAN_RATIO,ADVANCE_PREMIUM,ADVANCE_PREMIUM_RATIO
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,003,001,2,2026-04-29 00:00:00,2026-03-31 00:00:00,59614755270,7827796412.0,17792797168.0,0.460500879,3574025664.0,2.6749941323,5254258350.0,1.5766942672,14769192004,3545265141.0,13.1329845303,159350.0,-91.7472135517,44845563266.0,2.9568469371,2.1415099575,-0.2569220914,238.8584128646,24.7743900602,,,,,,,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,001,001,2,2026-04-29 00:00:00,2025-12-31 00:00:00,59266767707,7670128102.0,17690372308.0,6.2863605805,3408119891.0,5.8652305789,5003717480.0,5.1770060978,16255447654,3242266059.0,16.105599169,148300.0,-67.5242199681,43011320053.0,5.5280746679,4.6311059051,2.3296916056,236.302444477,27.4275927015,,,,,,,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,004,001,2,2025-10-30 00:00:00,2025-09-30 00:00:00,59265123962,7542296285.0,17133259546.0,-0.9598163553,3834696063.0,6.4151576591,5178319590.0,6.6128238593,15020317675,3270904342.0,-14.1376574177,156310.0,-88.3799419257,44244806287.0,5.310727303,2.8881850607,-3.641214478,254.499842179,25.344277833,,,,,,,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,002,001,2,2025-08-28 00:00:00,2025-06-30 00:00:00,58774641210,7369514264.0,16967307912.0,-17.6289127074,3650298506.0,-7.7215062454,5343899619.0,18.2380799156,14753221068,3478285223.0,-10.3484102832,467081.0,-89.3449732051,44021420142.0,0.8451205322,-3.0532595479,-13.0793052008,256.2824246668,25.1013375229,,,,,,,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,003,001,2,2025-04-29 00:00:00,2025-03-31 00:00:00,58364865856,7106913341.0,17711236767.0,-16.4338071233,3480911486.0,-4.6285254101,5172700675.0,30.679381794,14807235062,3133714854.0,10.6384691989,1930863.0,-50.1806241771,43557630794.0,19.5632807174,14.8171070228,2.8116570537,254.2521646719,25.3701175268,,,,,,,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,001,001,2,2026-03-31 00:00:00,2024-12-31 00:00:00,56643545143,7086159663.0,16644066286.0,-11.4073207398,3219300494.0,-2.3011048235,4757425283.0,19.5744111346,15885367579,2792514816.0,3.795263235,456648.0,-42.4467032586,40758177564.0,22.2279402665,18.1550720198,8.8488935851,245.9605332133,28.0444444974,,,,,,,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,004,001,2,2024-10-30 00:00:00,2024-09-30 00:00:00,57601486436,6494822718.0,17299301067.0,-12.0401309614,3603524298.0,-0.4785304661,4857126378.0,20.6198864054,15587906794,3809474845.0,48.091611504,1345174.0,-15.3684268805,42013579642.0,14.101101206,15.2197527348,18.3470140688,234.4773583167,27.0616398265,,,,,,,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,002,001,2,2024-08-30 00:00:00,2024-06-30 00:00:00,60625701221,6434125200.0,20598620790.0,1.9741429793,3955741319.0,6.7626366712,4519609607.0,2.1191210829,16973197352,3879780865.0,29.2204491361,4383668.0,27924.9840173891,43652503869.0,30.2925449473,27.5235100397,20.9145528834,234.9930660321,27.9967027352,,,,,,,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,003,001,2,2024-04-27 00:00:00,2024-03-31 00:00:00,50832900575,5740807068.0,21194260690.0,-11.3398462949,3649845513.0,36.1797760242,3958314314.0,-18.7143945942,14402292003,2832391732.0,-2.775980145,3875727.0,2129.9668588394,36430608572.0,5.0721528827,4.6833737077,3.7126803992,268.692347008,28.3326189143,,,,,,,,,,,,,,,,,,,,,,,,
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,001,001,2,2025-04-29 00:00:00,2023-12-31 00:00:00,47940003061,5489583887.0,18787180188.0,-18.9707021065,3295124769.0,23.9369046073,3978631580.0,-1.1499434003,14593963297,2690406796.0,17.4533264289,793435.0,163.7302186132,33346039764.0,4.2092655388,2.5559101495,-1.0318734763,266.0216009788,30.4421409369,,,,,,,,,,,,,,,,,,,,,,,,
