SECUCODE,SECURITY_CODE,INDUSTRY_CODE,ORG_CODE,SECURITY_NAME_ABBR,INDUSTRY_NAME,MARKET,SECURITY_TYPE_CODE,TRADE_MARKET_CODE,DATE_TYPE_CODE,REPORT_TYPE_CODE,DATA_STATE,NOTICE_DATE,REPORT_DATE,PARENT_NETPROFIT,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_COST,TOE_RATIO,OPERATE_COST,OPERATE_EXPENSE,OPERATE_EXPENSE_RATIO,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,OPERATE_PROFIT,TOTAL_PROFIT,INCOME_TAX,OPERATE_INCOME,INTEREST_NI,INTEREST_NI_RATIO,FEE_COMMISSION_NI,FCN_RATIO,OPERATE_TAX_ADD,MANAGE_EXPENSE_BANK,FCN_CALCULATE,INTEREST_NI_CALCULATE,EARNED_PREMIUM,EARNED_PREMIUM_RATIO,INVEST_INCOME,SURRENDER_VALUE,COMPENSATE_EXPENSE,TOI_RATIO,OPERATE_PROFIT_RATIO,PARENT_NETPROFIT_RATIO,DEDUCT_PARENT_NETPROFIT,DPN_RATIO
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,003,001,2,2026-04-29 00:00:00,2026-03-31 00:00:00,2329658005,8352015912,5905265678.0,11.1518527892,3184616660.0,3184616660.0,3.1683852218,1239689610.0,343826411.0,241041353.0,2524411338,2541347680,114809554.0,,,,,,94353056.0,,,,,,,,,1.3941290693,-17.180192561303,-11.37,2296470040.0,-9.251277035436
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,001,001,2,2026-03-31 00:00:00,2025-12-31 00:00:00,8135775409,33282159404,23608910747.0,-2.0232671059,13207838172.0,13207838172.0,-2.5073314337,5145135431.0,1550675756.0,-262908161.0,9794893991,9673965739,1222494334.0,,,,,,389477342.0,,,,,,,,,-9.376500647,-25.297245450677,-30.28,8068550808.0,-29.483260239077
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,004,001,2,2025-10-30 00:00:00,2025-09-30 00:00:00,7570044518,25833906543,17055866071.0,-4.5412883538,9829018551.0,9829018551.0,-5.1117779052,3735210386.0,1046880948.0,-293078146.0,8947412013,8901611832,1087718256.0,,,,,,302964242.0,,,,,,,,,-12.3823063743,-26.025934135373,-28.83,7462681541.0,-28.497449014405
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,002,001,2,2025-08-28 00:00:00,2025-06-30 00:00:00,5068767098,16743003854,10992966764.0,-11.2802914489,6418018807.0,6418018807.0,-11.9087879048,2423934190.0,682196711.0,-335655268.0,5922406071,5916906081,684213893.0,,,,,,197869656.0,,,,,,,,,-18.4485282239,-30.975820014579,-32.96,4949323103.0,-32.935380039719
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,003,001,2,2026-04-29 00:00:00,2025-03-31 00:00:00,2628580553,8237179005,5312791042.0,-12.5246411029,3086814486.0,3086814486.0,-8.0475450788,1178303701.0,341910867.0,-162352779.0,3048076802,3054221938,361670908.0,,,,,,101576655.0,,,,,,,,,-12.1162389669,-14.674155961754,-16.81,2530581109.0,-16.675229015378
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,001,001,2,2026-03-31 00:00:00,2024-12-31 00:00:00,11668487164,36725749548,24096446217.0,9.5731059483,13547519384.0,13547519384.0,8.2663792246,5282806736.0,1599747932.0,-400027875.0,13111824390,13019696199,1279729557.0,,,,,,400539455.0,,,,,,,,,5.1352735425,0.321094211859,0.74,11442036083.0,0.072602050259
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,004,001,2,2025-10-30 00:00:00,2024-09-30 00:00:00,10637075305,29484805493,17867270338.0,7.9709391053,10358523254.0,10358523254.0,5.8446468066,3664616797.0,1119339140.0,-182371253.0,12095336262,12050586789,1347936867.0,,,,,,314817220.0,,,,,,,,,7.9879272908,7.987404764633,8.16,10436944470.0,7.753628182096
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,002,001,2,2025-08-28 00:00:00,2024-06-30 00:00:00,7560737744,20530596799,12390670510.0,8.2010085526,7285651604.0,7285651604.0,14.6222520056,2577708329.0,822534756.0,-292748890.0,8580190409,8541545629,965607097.0,,,,,,222224136.0,,,,,,,,,11.1217173313,17.056313942756,17.37,7379931633.0,16.389881273922
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,003,001,2,2025-04-29 00:00:00,2024-03-31 00:00:00,3159898674,9372811209,6073471557.0,8.9865517436,3356967999.0,3356967999.0,19.4361913983,1318648132.0,473351126.0,-123736173.0,3572278524,3557714809,395924083.0,,,,,,100808593.0,,,,,,,,,12.0575727501,23.195417142383,22.9,3037009378.0,20.081266448298
300760.SZ,300760,1041,10091420,迈瑞医疗,医疗器械,cyb,058001001,069001002002,001,001,2,2025-04-29 00:00:00,2023-12-31 00:00:00,11582226085,34931900884,21991204875.0,10.9167841227,12513136101.0,12513136101.0,14.9545554051,5010496358.0,1523748134.0,-854911713.0,13069857833,13010930027,1432516623.0,,,,,,366077263.0,,,,,,,,,15.0375770111,18.919430037036,20.56,11433734957.0,20.037731013706
