SECURITY_CODE,SECUCODE,SECURITY_NAME_ABBR,ORG_CODE,TRADE_MARKET,BOARD_CODE,BOARD_NAME,ORIG_BOARD_CODE,TOTAL_MARKET_CAP,NOTLIMITED_MARKETCAP_A,CLOSE_PRICE,CHANGE_RATE,TOTAL_SHARES,FREE_SHARES_A,PE_TTM,PE_LAR,PB_MRQ,PCF_OCF_LAR,PCF_OCF_TTM,PS_TTM,PEG_CAR,TRADE_DATE
300760,300760.SZ,迈瑞医疗,10091420,069001002002,016082,医疗器械,1041,85426625261.82,8544832000.0,70.27,43.995901639344,1215691266,121600000,26.24286001,32.99402063,9.95809504,25.88397816,24.83175835,6.8303463,0.52624474,2018-10-16 00:00:00
300760,300760.SZ,迈瑞医疗,10091420,069001002002,016082,医疗器械,1041,93972934861.8,9399680000.0,77.3,10.004269247189,1215691266,121600000,28.86826639,36.29483129,10.95432967,28.47348103,27.31599431,7.51367254,0.57889168,2018-10-17 00:00:00
300760,300760.SZ,迈瑞医疗,10091420,069001002002,016082,医疗器械,1041,98434521808.02,9845952000.0,80.97,4.747736093144,1215691266,121600000,30.23885549,38.01801409,11.47441234,29.82532677,28.61288563,7.87040188,0.60637593,2018-10-18 00:00:00
300760,300760.SZ,迈瑞医疗,10091420,069001002002,016082,医疗器械,1041,108281621062.62,10830912000.0,89.07,10.003705075954,1215691266,121600000,33.26386141,41.8212241,12.62227871,32.80896449,31.47523432,8.65773367,0.66703599,2018-10-19 00:00:00
300760,300760.SZ,迈瑞医疗,10091420,069001002002,016082,医疗器械,1041,119113430242.68,11914368000.0,97.98,10.00336813742,1215691266,121600000,36.59136792,46.0047551,13.88493171,36.09096599,34.62381789,9.52379864,0.73376206,2018-10-22 00:00:00
300760,300760.SZ,迈瑞医疗,10091420,069001002002,016082,医疗器械,1041,115125962890.2,11515520000.0,94.7,-3.347621963666,1215691266,121600000,35.36642725,44.46468982,13.42011669,34.88277689,33.46474335,9.20497787,0.70919848,2018-10-23 00:00:00
300760,300760.SZ,迈瑞医疗,10091420,069001002002,016082,医疗器械,1041,117982837365.3,11801280000.0,97.05,2.481520591341,1215691266,121600000,36.24405243,45.56809025,13.75313965,35.74840018,34.29517785,9.43340129,0.72679738,2018-10-24 00:00:00
300760,300760.SZ,迈瑞医疗,10091420,069001002002,016082,医疗器械,1041,121058536268.28,12108928000.0,99.58,2.606903657908,1215691266,121600000,37.18889996,46.75600646,14.11167075,36.68032653,35.1892201,9.67932097,0.74574429,2018-10-25 00:00:00
300760,300760.SZ,迈瑞医疗,10091420,069001002002,016082,医疗器械,1041,118165191055.2,11819520000.0,97.2,-2.390038160273,1215691266,121600000,36.30007106,45.63852007,13.77439643,35.80365273,34.34818431,9.44798151,0.72792072,2018-10-26 00:00:00
300760,300760.SZ,迈瑞医疗,10091420,069001002002,016082,医疗器械,1041,118554212260.32,11858432000.0,97.52,0.329218106996,1215691266,121600000,36.41957746,45.78877034,13.81974424,35.92152484,34.46126475,9.47908597,0.73031716,2018-10-29 00:00:00
