项目,金额(亿元),年报来源,是否计入现金头寸,说明
货币资金,256.8754,合并资产负债表/附注七1,是,其中58.7050亿元受限
受限货币资金,-58.7050,附注七1/七31,可用现金口径扣除,含票据保证金/保函保证金/环境恢复治理保障基金/定期及通知存款等
交易性金融资产,2.7126,合并资产负债表/附注七2,是,其中金融理财产品0.0678亿元、权益工具等
一年内到期的大额存单,2.1860,附注七12,是,一年内到期非流动资产
其他流动资产中的大额存单,7.0242,附注七13,是,其他流动资产不全是现金，仅该项计入
长期借款,-372.1189,合并资产负债表/附注七45,扣除,长期负债
一年内到期的非流动负债,-72.2977,合并资产负债表/附注七43,扣除,长期负债的一年内到期部分
应付债券,-14.0570,合并资产负债表/附注七46,扣除,长期负债
租赁负债,-4.3266,合并资产负债表/附注七47,扣除,长期负债
形式现金头寸,-194.0021,按年报附注计算,结果,不扣受限货币资金
可用现金头寸,-252.7071,按年报附注计算,结果,扣除受限货币资金，更保守
