date,net_profit_yi,non_gaap_yi,net_profit_ttm_yi,non_gaap_ttm_yi,quarter,trade_date,adj_close,close
2015-12-31,-10.49,-12.86,161.44,151.09,2015Q4,2015-12-31,7.050893783569336,14.970000267028809
2016-03-31,46.07,46.73,148.92,141.54,2016Q1,2016-03-31,6.622281551361084,14.0600004196167
2016-06-30,52.21,52.49,138.94,133.84,2016Q2,2016-06-30,6.626992225646973,14.069999694824219
2016-09-30,74.79,75.66,162.57999999999998,162.02,2016Q3,2016-09-30,7.324276924133301,15.199999809265137
2016-12-31,54.05,58.86,227.12,233.74,2016Q4,2016-12-30,7.796499252319336,16.18000030517578
2017-03-31,122.35,121.13,303.4,308.14,2017Q1,2017-03-31,9.328817367553711,19.360000610351562
2017-06-30,120.8,116.63,371.99,372.28,2017Q2,2017-06-30,10.740668296813965,22.290000915527344
2017-09-30,113.34,112.52,410.53999999999996,409.14,2017Q3,2017-09-29,11.64128303527832,20.940000534057617
2017-12-31,93.88,100.76,450.37,451.04,2017Q4,2017-12-29,12.88101863861084,23.170000076293945
2018-03-31,116.33,116.39,444.35,446.3,2018Q1,2018-03-30,11.591248512268066,20.850000381469727
2018-06-30,113.44,113.78,436.99,443.45000000000005,2018Q2,2018-06-29,11.085348129272461,19.940000534057617
2018-09-30,123.01,127.08,446.66,458.01000000000005,2018Q3,2018-09-28,11.896438598632812,20.389999389648438
2018-12-31,85.89,103.4,438.67,460.65,2018Q4,2018-12-28,10.478668212890625,17.959999084472656
2019-03-31,125.87,113.46,448.21000000000004,457.72,2019Q1,2019-03-29,11.441351890563965,19.610000610351562
2019-06-30,116.56,113.36,451.33,457.3,2019Q2,2019-06-28,11.890604019165039,20.3799991607666
2019-09-30,128.45,126.87,456.77,457.09,2019Q3,2019-09-30,11.44580364227295,18.780000686645508
2019-12-31,61.62,57.5,432.5,411.19,2019Q4,2019-12-31,11.122784614562988,18.25
2020-03-31,98.07,95.42,404.7,393.15000000000003,2020Q1,2020-03-31,9.89775562286377,16.239999771118164
2020-06-30,108.51,108.14,396.65,387.93,2020Q2,2020-06-30,9.486140251159668,14.359999656677246
2020-09-30,129.04,115.78,397.24,376.84000000000003,2020Q3,2020-09-30,10.879995346069336,16.469999313354492
2020-12-31,56.08,62.31,391.7,381.65000000000003,2020Q4,2020-12-31,11.89731216430664,18.010000228881836
2021-03-31,116.11,115.83,409.74,402.06,2021Q1,2021-03-31,13.277955055236816,20.100000381469727
2021-06-30,144.15,139.79,445.38,433.71000000000004,2021Q2,2021-06-30,12.894808769226074,19.520000457763672
2021-09-30,147.44,148.07,463.78,466.0,2021Q3,2021-09-30,16.46021842956543,22.65999984741211
2021-12-31,93.14,96.67,500.84000000000003,500.35999999999996,2021Q4,2021-12-31,16.358522415161133,22.520000457763672
2022-03-31,189.82,186.17,574.55,570.7,2022Q1,2022-03-31,21.624919891357422,29.770000457763672
2022-06-30,221.8,218.93,652.2,649.84,2022Q2,2022-06-30,24.189109802246094,33.29999923706055
2022-09-30,179.9,178.97,684.66,680.74,2022Q3,2022-09-30,24.871917724609375,31.639999389648438
2022-12-31,104.96,119.3,696.48,703.37,2022Q4,2022-12-30,21.711833953857422,27.6200008392334
2023-03-31,186.12,185.29,692.78,702.49,2023Q1,2023-03-31,22.144182205200195,28.170000076293945
2023-06-30,146.67,144.41,617.65,627.97,2023Q2,2023-06-30,24.17229652404785,30.75
2023-09-30,149.9,148.41,587.6500000000001,597.41,2023Q3,2023-09-28,26.715864181518555,31.200000762939453
2023-12-31,114.25,150.57,596.94,628.6800000000001,2023Q4,2023-12-29,26.84430503845215,31.350000381469727
2024-03-31,145.64,164.6,556.46,607.99,2024Q1,2024-03-29,33.471893310546875,39.09000015258789
2024-06-30,134.48,130.21,544.27,593.79,2024Q2,2024-06-28,37.993038177490234,44.369998931884766
2024-09-30,153.7,165.53,548.0699999999999,610.91,2024Q3,2024-09-30,39.28952407836914,43.599998474121094
2024-12-31,124.23,140.91,558.05,601.25,2024Q4,2024-12-31,39.18138885498047,43.47999954223633
2025-03-31,119.49,117.05,531.9,553.6999999999999,2025Q1,2025-03-31,34.55856704711914,38.349998474121094
2025-06-30,126.92,126.07,524.3399999999999,549.56,2025Q2,2025-06-30,36.53205108642578,40.540000915527344
2025-09-30,144.11,143.92,514.75,527.95,2025Q3,2025-09-30,36.71507263183594,38.5
2025-12-31,137.97,98.85,528.49,485.89,2025Q4,2025-12-31,39.507728576660156,40.5
2026-03-31,106.67,107.12,515.6700000000001,475.9599999999999,2026Q1,2026-03-31,45.6046028137207,46.75
