日期,ETF复权净值,全收益指数点位,ETF归一化,全收益指数归一化,累计收益差(百分点)
2020-07-03,1.07020000,13108.8600,100.000000,100.000000,0.000000
2020-07-06,1.13370000,13973.3500,105.933470,106.594700,-0.661230
2020-07-07,1.13000000,13941.9300,105.587741,106.355015,-0.767274
2020-07-08,1.14380000,14126.3000,106.877219,107.761468,-0.884249
2020-07-09,1.15350000,14270.2300,107.783592,108.859428,-1.075836
2020-07-10,1.13400000,14001.9000,105.961503,106.812492,-0.850989
2020-07-13,1.14910000,14210.1200,107.372454,108.400883,-1.028429
2020-07-14,1.13720000,14046.0300,106.260512,107.149134,-0.888622
2020-07-15,1.11900000,13769.6600,104.559895,105.040865,-0.480970
2020-07-16,1.12810000,13401.2900,105.410204,102.230781,3.179422
2020-07-17,1.12330000,13335.5400,104.961689,101.729212,3.232477
2020-07-20,1.16580000,13820.6100,108.932910,105.429534,3.503376
2020-07-21,1.16060000,13751.7400,108.447019,104.904164,3.542855
2020-07-22,1.16160000,13724.2700,108.540460,104.694611,3.845849
2020-07-23,1.15080000,13595.3800,107.531303,103.711383,3.819920
2020-07-24,1.12250000,13218.3900,104.886937,100.835542,4.051395
2020-07-27,1.11910000,13176.6200,104.569239,100.516902,4.052337
2020-07-28,1.12480000,13252.0000,105.101850,101.091933,4.009917
2020-07-29,1.14090000,13440.0200,106.606242,102.526230,4.080011
2020-07-30,1.14120000,13445.1600,106.634274,102.565440,4.068833
2020-07-31,1.14650000,13468.9400,107.129509,102.746845,4.382664
2020-08-03,1.16640000,13721.8100,108.988974,104.675845,4.313129
2020-08-04,1.16970000,13766.2900,109.297328,105.015158,4.282170
2020-08-05,1.16060000,13649.8700,108.447019,104.127056,4.319963
2020-08-06,1.16190000,13646.7500,108.568492,104.103255,4.465237
2020-08-07,1.15400000,13538.0100,107.830312,103.273740,4.556572
2020-08-10,1.16980000,13710.8300,109.306672,104.592085,4.714587
2020-08-11,1.16230000,13610.6000,108.605868,103.827488,4.778380
2020-08-12,1.16720000,13659.8100,109.063726,104.202883,4.860844
2020-08-13,1.17360000,13731.4500,109.661745,104.749383,4.912362
2020-08-14,1.17930000,13794.6900,110.194356,105.231805,4.962551
2020-08-17,1.20460000,14087.6400,112.558400,107.466553,5.091847
2020-08-18,1.20870000,14096.2300,112.941506,107.532081,5.409425
2020-08-19,1.20540000,14053.2900,112.633153,107.204517,5.428636
2020-08-20,1.19280000,13886.6100,111.455803,105.933010,5.522792
2020-08-21,1.20030000,13981.7900,112.156606,106.659084,5.497522
2020-08-24,1.20710000,13986.6900,112.792001,106.696463,6.095538
2020-08-25,1.20230000,13919.2500,112.343487,106.182002,6.161485
2020-08-26,1.19110000,13766.6000,111.296954,105.017523,6.279431
2020-08-27,1.19310000,13791.1200,111.483835,105.204572,6.279263
2020-08-28,1.20780000,13957.8300,112.857410,106.476307,6.381103
2020-08-31,1.20330000,13902.7200,112.436928,106.055904,6.381024
2020-09-01,1.20590000,13936.7400,112.679873,106.315423,6.364450
2020-09-02,1.20230000,13887.0200,112.343487,105.936138,6.407349
2020-09-03,1.19890000,13846.7300,112.025790,105.628788,6.397001
2020-09-04,1.19090000,13744.5300,111.278266,104.849163,6.429103
2020-09-07,1.17860000,13602.8200,110.128948,103.768138,6.360809
2020-09-08,1.19200000,13761.8000,111.381050,104.980906,6.400144
2020-09-09,1.17960000,13614.3800,110.222388,103.856323,6.366065
2020-09-10,1.17250000,13531.0500,109.558961,103.220646,6.338315
2020-09-11,1.16980000,13509.4000,109.306672,103.055491,6.251181
2020-09-14,1.17070000,13534.6400,109.390768,103.248032,6.142736
2020-09-15,1.16900000,13515.5900,109.231919,103.102711,6.129209
2020-09-16,1.17160000,13543.4800,109.474865,103.315468,6.159397
2020-09-17,1.16970000,13518.0700,109.297328,103.121629,6.175698
2020-09-18,1.19300000,13792.4500,111.474491,105.214717,6.259773
2020-09-21,1.18760000,13725.0500,110.969912,104.700561,6.269351
2020-09-22,1.17220000,13527.5000,109.530929,103.193565,6.337364
2020-09-23,1.16960000,13493.8500,109.287984,102.936869,6.351115
2020-09-24,1.15010000,13260.8300,107.465894,101.159292,6.306602
2020-09-25,1.14810000,13234.5300,107.279013,100.958665,6.320349
