日期,ETF复权净值,全收益指数点位,ETF归一化,全收益指数归一化,累计收益差(百分点)
2019-12-20,1.00060000,6761.4900,100.000000,100.000000,0.000000
2019-12-23,0.98960000,6677.0800,98.900660,98.751607,0.149053
2019-12-24,0.99460000,6714.5300,99.400360,99.305479,0.094881
2019-12-25,0.99350000,6705.3300,99.290426,99.169414,0.121012
2019-12-26,1.00360000,6781.5000,100.299820,100.295941,0.003879
2019-12-27,1.00190000,6768.7900,100.129922,100.107964,0.021958
2019-12-30,1.01390000,6858.9800,101.329202,101.441842,-0.112639
2019-12-31,1.01970000,6902.5300,101.908855,102.085931,-0.177076
2020-01-02,1.03360000,6999.6800,103.298021,103.522744,-0.224723
2020-01-03,1.03330000,6997.4200,103.268039,103.489320,-0.221280
2020-01-06,1.02970000,6972.7700,102.908255,103.124755,-0.216500
2020-01-07,1.03790000,7029.4200,103.727763,103.962588,-0.234825
2020-01-08,1.02620000,6947.4300,102.558465,102.749986,-0.191521
2020-01-09,1.03870000,7035.1000,103.807715,104.046593,-0.238878
2020-01-10,1.03500000,7008.5500,103.437937,103.653928,-0.215991
2020-01-13,1.04200000,7057.7500,104.137517,104.381579,-0.244061
2020-01-14,1.04300000,7065.0800,104.237458,104.489987,-0.252529
2020-01-15,1.03790000,7028.6500,103.727763,103.951200,-0.223437
2020-01-16,1.03260000,6991.9300,103.198081,103.408125,-0.210043
2020-01-17,1.03310000,6994.8700,103.248051,103.451606,-0.203555
2020-01-20,1.03500000,7003.2600,103.437937,103.575691,-0.137754
2020-01-21,1.01690000,6874.5100,101.629023,101.671525,-0.042502
2020-01-22,1.02060000,6898.5800,101.998801,102.027512,-0.028711
2020-01-23,0.99560000,6712.0400,99.500300,99.268652,0.231647
2020-02-03,0.91000000,6114.1200,90.945433,90.425631,0.519802
2020-02-04,0.92850000,6242.0900,92.794323,92.318261,0.476062
2020-02-05,0.93930000,6314.3200,93.873676,93.386517,0.487159
2020-02-06,0.95100000,6393.5000,95.042974,94.557561,0.485414
2020-02-07,0.95440000,6415.2600,95.382770,94.879383,0.503387
2020-02-10,0.96860000,6512.8400,96.801919,96.322556,0.479363
2020-02-11,0.97240000,6535.1300,97.181691,96.652217,0.529474
2020-02-12,0.97900000,6576.7500,97.841295,97.267762,0.573533
2020-02-13,0.97370000,6536.5000,97.311613,96.672479,0.639134
2020-02-14,0.98080000,6585.9300,98.021187,97.403531,0.617656
2020-02-17,1.00040000,6722.5400,99.980012,99.423944,0.556068
2020-02-18,1.00350000,6736.4500,100.289826,99.629667,0.660159
2020-02-19,0.99930000,6709.5700,99.870078,99.232122,0.637956
2020-02-20,1.01310000,6804.6000,101.249250,100.637581,0.611669
