报告期,排名,证券代码,证券名称,同花顺行业大类,占基金净值比例(%),前十大持仓合计(%)
20200331,1,600507,方大特钢,周期,2.47,19.00
20200331,2,603328,依顿电子,科技,2.27,19.00
20200331,3,002367,康力电梯,制造,2.12,19.00
20200331,4,002110,三钢闽光,周期,2.09,19.00
20200331,5,002601,龙佰集团,周期,2.06,19.00
20200331,6,002242,九阳股份,制造,1.77,19.00
20200331,7,600873,梅花生物,周期,1.60,19.00
20200331,8,601003,柳钢股份,周期,1.56,19.00
20200331,9,601636,旗滨集团,基建,1.56,19.00
20200331,10,002233,塔牌集团,基建,1.50,19.00
20200630,1,002601,龙佰集团,周期,2.47,20.39
20200630,2,600507,方大特钢,周期,2.28,20.39
20200630,3,002242,九阳股份,制造,2.27,20.39
20200630,4,603328,依顿电子,科技,2.21,20.39
20200630,5,002367,康力电梯,制造,2.18,20.39
20200630,6,000429,粤高速A,基建,2.03,20.39
20200630,7,601636,旗滨集团,基建,1.84,20.39
20200630,8,000036,华联控股,基建,1.76,20.39
20200630,9,002110,三钢闽光,周期,1.68,20.39
20200630,10,600114,东睦股份,制造,1.67,20.39
20200930,1,002601,龙佰集团,周期,2.89,21.30
20200930,2,002367,康力电梯,制造,2.55,21.30
20200930,3,601636,旗滨集团,基建,2.47,21.30
20200930,4,002242,九阳股份,制造,2.28,21.30
20200930,5,600507,方大特钢,周期,2.21,21.30
20200930,6,002335,科华数据,制造,1.85,21.30
20200930,7,000429,粤高速A,基建,1.83,21.30
20200930,8,000895,双汇发展,消费,1.79,21.30
20200930,9,603328,依顿电子,科技,1.73,21.30
20200930,10,600873,梅花生物,周期,1.70,21.30
20201231,1,600327,大东方,医疗,1.95,17.17
20201231,2,600188,兖矿能源,周期,1.93,17.17
20201231,3,601003,柳钢股份,周期,1.80,17.17
20201231,4,002238,天威视讯,科技,1.73,17.17
20201231,5,000718,苏宁环球,基建,1.72,17.17
20201231,6,000036,华联控股,基建,1.69,17.17
20201231,7,603328,依顿电子,科技,1.65,17.17
20201231,8,002110,三钢闽光,周期,1.58,17.17
20201231,9,002756,永兴材料,周期,1.57,17.17
20201231,10,600282,南钢股份,周期,1.55,17.17
20210331,1,600188,兖矿能源,周期,2.40,18.26
20210331,2,601003,柳钢股份,周期,2.13,18.26
20210331,3,000718,苏宁环球,基建,1.90,18.26
20210331,4,600282,南钢股份,周期,1.83,18.26
20210331,5,600327,大东方,医疗,1.82,18.26
20210331,6,002756,永兴材料,周期,1.73,18.26
20210331,7,000036,华联控股,基建,1.66,18.26
20210331,8,002110,三钢闽光,周期,1.65,18.26
20210331,9,600019,宝钢股份,周期,1.57,18.26
20210331,10,002088,鲁阳节能,基建,1.57,18.26
20210630,1,000718,苏宁环球,基建,3.65,22.58
20210630,2,600327,大东方,医疗,3.59,22.58
20210630,3,600188,兖矿能源,周期,2.58,22.58
20210630,4,002756,永兴材料,周期,2.09,22.58
20210630,5,002088,鲁阳节能,基建,1.91,22.58
20210630,6,601003,柳钢股份,周期,1.79,22.58
20210630,7,002516,旷达科技,制造,1.77,22.58
20210630,8,600808,马钢股份,周期,1.75,22.58
20210630,9,000036,华联控股,基建,1.73,22.58
20210630,10,603355,莱克电气,制造,1.72,22.58
20210930,1,600188,兖矿能源,周期,4.74,25.41
20210930,2,002756,永兴材料,周期,3.21,25.41
20210930,3,600985,淮北矿业,周期,2.89,25.41
20210930,4,002088,鲁阳节能,基建,2.64,25.41
20210930,5,600327,大东方,医疗,2.24,25.41
20210930,6,000718,苏宁环球,基建,2.06,25.41
20210930,7,600348,华阳股份,周期,2.02,25.41
