交易日期,指数代码,指数名称,收盘点位
2016-06-30,399324,深证红利指数,5849.1797
2016-07-01,399324,深证红利指数,5850.4191
2016-07-04,399324,深证红利指数,5847.2239
2016-07-05,399324,深证红利指数,5786.8075
2016-07-06,399324,深证红利指数,5840.8866
2016-07-07,399324,深证红利指数,5751.2394
2016-07-08,399324,深证红利指数,5749.8077
2016-07-11,399324,深证红利指数,5782.2059
2016-07-12,399324,深证红利指数,5913.1749
2016-07-13,399324,深证红利指数,5920.7192
2016-07-14,399324,深证红利指数,5880.6075
2016-07-15,399324,深证红利指数,5919.5679
2016-07-18,399324,深证红利指数,5869.4543
2016-07-19,399324,深证红利指数,5799.7676
2016-07-20,399324,深证红利指数,5791.6475
2016-07-21,399324,深证红利指数,5829.0637
2016-07-22,399324,深证红利指数,5763.4532
2016-07-25,399324,深证红利指数,5768.7702
2016-07-26,399324,深证红利指数,5858.7632
2016-07-27,399324,深证红利指数,5730.1242
2016-07-28,399324,深证红利指数,5794.3634
2016-07-29,399324,深证红利指数,5796.3118
2016-08-01,399324,深证红利指数,5742.6476
2016-08-02,399324,深证红利指数,5763.832
2016-08-03,399324,深证红利指数,5792.7798
2016-08-04,399324,深证红利指数,5841.7001
2016-08-05,399324,深证红利指数,5904.5703
2016-08-08,399324,深证红利指数,5970.229
2016-08-09,399324,深证红利指数,5998.5311
2016-08-10,399324,深证红利指数,5949.267
2016-08-11,399324,深证红利指数,5940.1945
2016-08-12,399324,深证红利指数,6081.1745
2016-08-15,399324,深证红利指数,6296.8818
2016-08-16,399324,深证红利指数,6355.1756
2016-08-17,399324,深证红利指数,6290.4054
2016-08-18,399324,深证红利指数,6281.4258
2016-08-19,399324,深证红利指数,6230.7566
2016-08-22,399324,深证红利指数,6194.7355
2016-08-23,399324,深证红利指数,6208.0119
2016-08-24,399324,深证红利指数,6138.3281
2016-08-25,399324,深证红利指数,6094.6128
2016-08-26,399324,深证红利指数,6051.2985
2016-08-29,399324,深证红利指数,6057.8525
2016-08-30,399324,深证红利指数,6053.1093
2016-08-31,399324,深证红利指数,6157.7747
2016-09-01,399324,深证红利指数,6061.4908
2016-09-02,399324,深证红利指数,6099.5512
2016-09-05,399324,深证红利指数,6163.7434
2016-09-06,399324,深证红利指数,6232.0637
2016-09-07,399324,深证红利指数,6218.3426
2016-09-08,399324,深证红利指数,6209.4661
2016-09-09,399324,深证红利指数,6158.5331
2016-09-12,399324,深证红利指数,6033.026
2016-09-13,399324,深证红利指数,6045.043
2016-09-14,399324,深证红利指数,5975.89
2016-09-19,399324,深证红利指数,6042.7152
2016-09-20,399324,深证红利指数,6036.398
2016-09-21,399324,深证红利指数,6091.5835
2016-09-22,399324,深证红利指数,6212.1212
2016-09-23,399324,深证红利指数,6141.5409
2016-09-26,399324,深证红利指数,6042.0142
2016-09-27,399324,深证红利指数,6112.4697
2016-09-28,399324,深证红利指数,6114.02
2016-09-29,399324,深证红利指数,6152.1116
2016-09-30,399324,深证红利指数,6207.8583
2016-10-10,399324,深证红利指数,6227.9069
2016-10-11,399324,深证红利指数,6239.7583
2016-10-12,399324,深证红利指数,6231.2174
2016-10-13,399324,深证红利指数,6220.2664
2016-10-14,399324,深证红利指数,6226.7158
2016-10-17,399324,深证红利指数,6154.4088
2016-10-18,399324,深证红利指数,6219.1289
2016-10-19,399324,深证红利指数,6193.6993
2016-10-20,399324,深证红利指数,6203.675
2016-10-21,399324,深证红利指数,6207.7682
2016-10-24,399324,深证红利指数,6265.3731
2016-10-25,399324,深证红利指数,6301.5404
2016-10-26,399324,深证红利指数,6295.5801
2016-10-27,399324,深证红利指数,6261.8223
2016-10-28,399324,深证红利指数,6245.7396
2016-10-31,399324,深证红利指数,6252.311
2016-11-01,399324,深证红利指数,6322.797
2016-11-02,399324,深证红利指数,6246.7024
2016-11-03,399324,深证红利指数,6284.3457
2016-11-04,399324,深证红利指数,6258.49
2016-11-07,399324,深证红利指数,6241.716
2016-11-08,399324,深证红利指数,6279.458
2016-11-09,399324,深证红利指数,6310.054
2016-11-10,399324,深证红利指数,6392.817
2016-11-11,399324,深证红利指数,6412.677
2016-11-14,399324,深证红利指数,6415.401
2016-11-15,399324,深证红利指数,6468.147
2016-11-16,399324,深证红利指数,6447.035
2016-11-17,399324,深证红利指数,6498.138
2016-11-18,399324,深证红利指数,6466.407
2016-11-21,399324,深证红利指数,6491.218
2016-11-22,399324,深证红利指数,6525.463
2016-11-23,399324,深证红利指数,6618.376
2016-11-24,399324,深证红利指数,6674.357
2016-11-25,399324,深证红利指数,6733.781
2016-11-28,399324,深证红利指数,6776.728
2016-11-29,399324,深证红利指数,6818.485
2016-11-30,399324,深证红利指数,6772.1464
2016-12-01,399324,深证红利指数,6893.814
2016-12-02,399324,深证红利指数,6737.955
2016-12-05,399324,深证红利指数,6523.248
2016-12-06,399324,深证红利指数,6551.56
2016-12-07,399324,深证红利指数,6555.79
2016-12-08,399324,深证红利指数,6543.348
2016-12-09,399324,深证红利指数,6594.999
2016-12-12,399324,深证红利指数,6325.797
2016-12-13,399324,深证红利指数,6329.846
2016-12-14,399324,深证红利指数,6249.327
2016-12-15,399324,深证红利指数,6200.186
2016-12-16,399324,深证红利指数,6253.206
2016-12-19,399324,深证红利指数,6178.847
2016-12-20,399324,深证红利指数,6104.436
2016-12-21,399324,深证红利指数,6147.765
2016-12-22,399324,深证红利指数,6158.627
2016-12-23,399324,深证红利指数,6065.234
2016-12-26,399324,深证红利指数,6111.878
2016-12-27,399324,深证红利指数,6147.216
2016-12-28,399324,深证红利指数,6109.635
2016-12-29,399324,深证红利指数,6094.967
2016-12-30,399324,深证红利指数,6103.418
2017-01-03,399324,深证红利指数,6186.687
2017-01-04,399324,深证红利指数,6251.308
2017-01-05,399324,深证红利指数,6254.945
2017-01-06,399324,深证红利指数,6202.977
2017-01-09,399324,深证红利指数,6216.395
2017-01-10,399324,深证红利指数,6222.358
2017-01-11,399324,深证红利指数,6161.852
2017-01-12,399324,深证红利指数,6109.216
2017-01-13,399324,深证红利指数,6120.738
2017-01-16,399324,深证红利指数,6038.326
2017-01-17,399324,深证红利指数,6091.128
2017-01-18,399324,深证红利指数,6156.709
2017-01-19,399324,深证红利指数,6134.658
2017-01-20,399324,深证红利指数,6197.028
2017-01-23,399324,深证红利指数,6216.192
2017-01-24,399324,深证红利指数,6230.352
2017-01-25,399324,深证红利指数,6242.9
2017-01-26,399324,深证红利指数,6270.612
2017-02-03,399324,深证红利指数,6230.317
2017-02-06,399324,深证红利指数,6253.497
2017-02-07,399324,深证红利指数,6250.854
2017-02-08,399324,深证红利指数,6294.547
2017-02-09,399324,深证红利指数,6327.304
2017-02-10,399324,深证红利指数,6385.236
2017-02-13,399324,深证红利指数,6505.479
2017-02-14,399324,深证红利指数,6504.554
2017-02-15,399324,深证红利指数,6485.276
2017-02-16,399324,深证红利指数,6555.401
2017-02-17,399324,深证红利指数,6529.344
2017-02-20,399324,深证红利指数,6684.831
2017-02-21,399324,深证红利指数,6684.751
2017-02-22,399324,深证红利指数,6727.609
2017-02-23,399324,深证红利指数,6665.265
2017-02-24,399324,深证红利指数,6629.764
2017-02-27,399324,深证红利指数,6524.561
2017-02-28,399324,深证红利指数,6563.392
2017-03-01,399324,深证红利指数,6582.562
2017-03-02,399324,深证红利指数,6545.085
2017-03-03,399324,深证红利指数,6537.996
2017-03-06,399324,深证红利指数,6629.986
2017-03-07,399324,深证红利指数,6661.544
2017-03-08,399324,深证红利指数,6652.941
2017-03-09,399324,深证红利指数,6601.561
2017-03-10,399324,深证红利指数,6663.334
2017-03-13,399324,深证红利指数,6720.977
2017-03-14,399324,深证红利指数,6723.02
2017-03-15,399324,深证红利指数,6762.491
2017-03-16,399324,深证红利指数,6765.626
2017-03-17,399324,深证红利指数,6690.856
2017-03-20,399324,深证红利指数,6709.831
2017-03-21,399324,深证红利指数,6810.585
2017-03-22,399324,深证红利指数,6797.72
2017-03-23,399324,深证红利指数,6838.78
2017-03-24,399324,深证红利指数,6875.66
2017-03-27,399324,深证红利指数,6791.886
2017-03-28,399324,深证红利指数,6781.12
2017-03-29,399324,深证红利指数,6786.784
2017-03-30,399324,深证红利指数,6702.381
2017-03-31,399324,深证红利指数,6763.175
2017-04-05,399324,深证红利指数,6834.618
2017-04-06,399324,深证红利指数,6872.301
2017-04-07,399324,深证红利指数,6867.749
2017-04-10,399324,深证红利指数,6823.597
2017-04-11,399324,深证红利指数,6824.338
2017-04-12,399324,深证红利指数,6830.549
2017-04-13,399324,深证红利指数,6884.779
2017-04-14,399324,深证红利指数,6790.765
2017-04-17,399324,深证红利指数,6815.975
2017-04-18,399324,深证红利指数,6863.776
2017-04-19,399324,深证红利指数,6861.508
2017-04-20,399324,深证红利指数,6906.601
2017-04-21,399324,深证红利指数,6894.597
2017-04-24,399324,深证红利指数,6754.954
2017-04-25,399324,深证红利指数,6894.403
2017-04-26,399324,深证红利指数,6884.715
2017-04-27,399324,深证红利指数,6856.305
2017-04-28,399324,深证红利指数,6795.373
2017-05-02,399324,深证红利指数,6781.748
2017-05-03,399324,深证红利指数,6753.85
2017-05-04,399324,深证红利指数,6748.836
2017-05-05,399324,深证红利指数,6712.16
2017-05-08,399324,深证红利指数,6570.837
2017-05-09,399324,深证红利指数,6594.426
2017-05-10,399324,深证红利指数,6569.162
2017-05-11,399324,深证红利指数,6664.177
2017-05-12,399324,深证红利指数,6704.862
2017-05-15,399324,深证红利指数,6732.025
2017-05-16,399324,深证红利指数,6816.95
2017-05-17,399324,深证红利指数,6744.659
2017-05-18,399324,深证红利指数,6716.592
