交易日期,全收益指数代码,指数名称,收盘点位
20160630,H21157,中证沪港深红利成长低波动全收益指数,4245.1
20160701,H21157,中证沪港深红利成长低波动全收益指数,4246.17
20160704,H21157,中证沪港深红利成长低波动全收益指数,4307.01
20160705,H21157,中证沪港深红利成长低波动全收益指数,4299.87
20160706,H21157,中证沪港深红利成长低波动全收益指数,4290.21
20160707,H21157,中证沪港深红利成长低波动全收益指数,4311.83
20160708,H21157,中证沪港深红利成长低波动全收益指数,4293.71
20160711,H21157,中证沪港深红利成长低波动全收益指数,4332.83
20160712,H21157,中证沪港深红利成长低波动全收益指数,4424.77
20160713,H21157,中证沪港深红利成长低波动全收益指数,4448.5
20160714,H21157,中证沪港深红利成长低波动全收益指数,4451.95
20160715,H21157,中证沪港深红利成长低波动全收益指数,4464.81
20160718,H21157,中证沪港深红利成长低波动全收益指数,4462.91
20160719,H21157,中证沪港深红利成长低波动全收益指数,4438.25
20160720,H21157,中证沪港深红利成长低波动全收益指数,4454.24
20160721,H21157,中证沪港深红利成长低波动全收益指数,4481.71
20160722,H21157,中证沪港深红利成长低波动全收益指数,4438.88
20160725,H21157,中证沪港深红利成长低波动全收益指数,4456.08
20160726,H21157,中证沪港深红利成长低波动全收益指数,4505.87
20160727,H21157,中证沪港深红利成长低波动全收益指数,4467.24
20160728,H21157,中证沪港深红利成长低波动全收益指数,4498.19
20160729,H21157,中证沪港深红利成长低波动全收益指数,4471.69
20160801,H21157,中证沪港深红利成长低波动全收益指数,4447.77
20160802,H21157,中证沪港深红利成长低波动全收益指数,4468.24
20160803,H21157,中证沪港深红利成长低波动全收益指数,4452.55
20160804,H21157,中证沪港深红利成长低波动全收益指数,4475.12
20160805,H21157,中证沪港深红利成长低波动全收益指数,4497.43
20160808,H21157,中证沪港深红利成长低波动全收益指数,4560.38
20160809,H21157,中证沪港深红利成长低波动全收益指数,4600.33
20160810,H21157,中证沪港深红利成长低波动全收益指数,4586.96
20160811,H21157,中证沪港深红利成长低波动全收益指数,4579.9
20160812,H21157,中证沪港深红利成长低波动全收益指数,4652.83
20160815,H21157,中证沪港深红利成长低波动全收益指数,4727.72
20160816,H21157,中证沪港深红利成长低波动全收益指数,4713.57
20160817,H21157,中证沪港深红利成长低波动全收益指数,4701.77
20160818,H21157,中证沪港深红利成长低波动全收益指数,4709.67
20160819,H21157,中证沪港深红利成长低波动全收益指数,4720.43
20160822,H21157,中证沪港深红利成长低波动全收益指数,4698.05
20160823,H21157,中证沪港深红利成长低波动全收益指数,4680.89
20160824,H21157,中证沪港深红利成长低波动全收益指数,4683.96
20160825,H21157,中证沪港深红利成长低波动全收益指数,4645.45
20160826,H21157,中证沪港深红利成长低波动全收益指数,4676.82
20160829,H21157,中证沪港深红利成长低波动全收益指数,4683.17
20160830,H21157,中证沪港深红利成长低波动全收益指数,4702.78
20160831,H21157,中证沪港深红利成长低波动全收益指数,4710.27
20160901,H21157,中证沪港深红利成长低波动全收益指数,4678.5
20160902,H21157,中证沪港深红利成长低波动全收益指数,4699.72
20160905,H21157,中证沪港深红利成长低波动全收益指数,4730.21
20160906,H21157,中证沪港深红利成长低波动全收益指数,4786.98
20160907,H21157,中证沪港深红利成长低波动全收益指数,4777.57
20160908,H21157,中证沪港深红利成长低波动全收益指数,4800.05
20160909,H21157,中证沪港深红利成长低波动全收益指数,4781.81
20160912,H21157,中证沪港深红利成长低波动全收益指数,4664.44
20160913,H21157,中证沪港深红利成长低波动全收益指数,4665.03
20160914,H21157,中证沪港深红利成长低波动全收益指数,4638.58
20160915,H21157,中证沪港深红利成长低波动全收益指数,4641.36
20160916,H21157,中证沪港深红利成长低波动全收益指数,4641.36
20160919,H21157,中证沪港深红利成长低波动全收益指数,4690.74
20160920,H21157,中证沪港深红利成长低波动全收益指数,4689.06
20160921,H21157,中证沪港深红利成长低波动全收益指数,4707.27
20160922,H21157,中证沪港深红利成长低波动全收益指数,4737.97
20160923,H21157,中证沪港深红利成长低波动全收益指数,4714.84
20160926,H21157,中证沪港深红利成长低波动全收益指数,4616.28
20160927,H21157,中证沪港深红利成长低波动全收益指数,4653.42
20160928,H21157,中证沪港深红利成长低波动全收益指数,4637.88
20160929,H21157,中证沪港深红利成长低波动全收益指数,4655.94
20160930,H21157,中证沪港深红利成长低波动全收益指数,4632.9
20161003,H21157,中证沪港深红利成长低波动全收益指数,4644.66
