交易日期,收盘点位
2016-06-30,3722.89
2016-07-01,3724.72
2016-07-04,3784.63
2016-07-05,3789.89
2016-07-06,3802.36
2016-07-07,3801.65
2016-07-08,3787.05
2016-07-11,3801.35
2016-07-12,3884.74
2016-07-13,3904.27
2016-07-14,3897.19
2016-07-15,3899.08
2016-07-18,3882.27
2016-07-19,3867.63
2016-07-20,3855.23
2016-07-21,3873.09
2016-07-22,3841.05
2016-07-25,3848.99
2016-07-26,3895.39
2016-07-27,3834.76
2016-07-28,3838.23
2016-07-29,3820.43
2016-08-01,3788.09
2016-08-02,3802.69
2016-08-03,3808.0
2016-08-04,3817.28
2016-08-05,3823.19
2016-08-08,3857.86
2016-08-09,3885.06
2016-08-10,3868.96
2016-08-11,3858.45
2016-08-12,3932.07
2016-08-15,4050.47
2016-08-16,4032.35
2016-08-17,4026.14
2016-08-18,4016.11
2016-08-19,4018.57
2016-08-22,3984.87
2016-08-23,3991.12
2016-08-24,3977.88
2016-08-25,3952.93
2016-08-26,3950.97
2016-08-29,3951.8
2016-08-30,3956.82
2016-08-31,3975.84
2016-09-01,3944.51
2016-09-02,3959.49
2016-09-05,3967.1
2016-09-06,3994.52
2016-09-07,3992.36
2016-09-08,3990.86
2016-09-09,3965.15
2016-09-12,3898.89
2016-09-13,3896.18
2016-09-14,3870.36
2016-09-19,3899.52
2016-09-20,3892.68
2016-09-21,3904.21
2016-09-22,3933.47
2016-09-23,3915.0
2016-09-26,3850.33
2016-09-27,3874.8
2016-09-28,3863.01
2016-09-29,3879.34
2016-09-30,3890.09
2016-10-10,3938.62
2016-10-11,3953.79
2016-10-12,3945.96
2016-10-13,3949.11
2016-10-14,3952.94
2016-10-17,3919.5
2016-10-18,3971.46
2016-10-19,3965.37
2016-10-20,3968.3
2016-10-21,3979.23
2016-10-24,4026.86
2016-10-25,4026.73
2016-10-26,4011.6
2016-10-27,4000.71
2016-10-28,3994.05
2016-10-31,3989.45
2016-11-01,4016.68
2016-11-02,3985.95
2016-11-03,4023.97
2016-11-04,4010.92
2016-11-07,4013.81
2016-11-08,4031.28
2016-11-09,4009.68
2016-11-10,4054.59
2016-11-11,4086.41
2016-11-14,4101.99
2016-11-15,4101.54
2016-11-16,4101.21
2016-11-17,4109.51
2016-11-18,4086.7
2016-11-21,4114.98
2016-11-22,4147.57
2016-11-23,4155.18
2016-11-24,4171.94
2016-11-25,4210.87
2016-11-28,4227.43
2016-11-29,4262.06
2016-11-30,4230.92
2016-12-01,4263.25
2016-12-02,4220.1
2016-12-05,4148.89
2016-12-06,4136.63
2016-12-07,4156.56
2016-12-08,4149.86
2016-12-09,4178.03
2016-12-12,4076.96
2016-12-13,4072.09
2016-12-14,4040.89
2016-12-15,3994.83
2016-12-16,4001.52
2016-12-19,3981.14
2016-12-20,3957.31
2016-12-21,3992.56
2016-12-22,3989.14
2016-12-23,3955.56
2016-12-26,3973.26
2016-12-27,3966.07
2016-12-28,3948.73
2016-12-29,3943.8
2016-12-30,3958.53
2017-01-03,3996.97
2017-01-04,4028.17
2017-01-05,4027.54
2017-01-06,4003.48
2017-01-09,4022.89
2017-01-10,4016.16
2017-01-11,3987.73
2017-01-12,3967.55
2017-01-13,3970.29
2017-01-16,3969.73
2017-01-17,3977.99
2017-01-18,3993.55
2017-01-19,3981.5
2017-01-20,4012.12
2017-01-23,4023.11
2017-01-24,4023.55
2017-01-25,4037.25
2017-01-26,4051.67
2017-02-03,4023.6
2017-02-06,4034.02
2017-02-07,4025.03
2017-02-08,4046.08
2017-02-09,4061.63
2017-02-10,4082.19
2017-02-13,4109.45
2017-02-14,4108.88
2017-02-15,4092.03
2017-02-16,4115.02
2017-02-17,4091.71
2017-02-20,4151.44
2017-02-21,4165.11
2017-02-22,4173.41
2017-02-23,4153.75
2017-02-24,4154.38
2017-02-27,4121.34
2017-02-28,4129.22
2017-03-01,4135.95
2017-03-02,4108.04
2017-03-03,4099.39
2017-03-06,4121.87
2017-03-07,4130.8
2017-03-08,4124.56
2017-03-09,4098.5
2017-03-10,4099.63
2017-03-13,4135.76
2017-03-14,4134.08
2017-03-15,4142.47
2017-03-16,4163.84
2017-03-17,4121.14
2017-03-20,4125.69
2017-03-21,4145.71
2017-03-22,4126.22
2017-03-23,4140.48
2017-03-24,4173.52
2017-03-27,4159.69
2017-03-28,4149.85
2017-03-29,4145.09
2017-03-30,4111.08
2017-03-31,4134.15
2017-04-05,4191.38
2017-04-06,4203.53
2017-04-07,4207.7
2017-04-10,4193.07
2017-04-11,4207.89
2017-04-12,4198.45
2017-04-13,4204.59
2017-04-14,4171.02
2017-04-17,4163.16
2017-04-18,4142.64
2017-04-19,4122.52
2017-04-20,4141.27
2017-04-21,4147.58
2017-04-24,4105.1
2017-04-25,4116.77
2017-04-26,4121.85
2017-04-27,4123.69
2017-04-28,4115.46
2017-05-02,4099.7
2017-05-03,4083.66
2017-05-04,4073.2
2017-05-05,4047.09
2017-05-08,4018.69
2017-05-09,4012.73
2017-05-10,3997.17
2017-05-11,4020.44
2017-05-12,4055.89
2017-05-15,4072.89
2017-05-16,4108.66
2017-05-17,4086.32
2017-05-18,4072.63
2017-05-19,4079.64
2017-05-22,4088.83
2017-05-23,4104.51
2017-05-24,4104.66
2017-05-25,4179.54
2017-05-26,4173.69
2017-05-31,4188.8
2017-06-01,4194.87
2017-06-02,4181.48
2017-06-05,4161.4
2017-06-06,4190.59
2017-06-07,4240.59
2017-06-08,4273.57
2017-06-09,4293.56
2017-06-12,4291.6
2017-06-13,4301.59
2017-06-14,4253.38
2017-06-15,4246.17
2017-06-16,4239.54
2017-06-19,4282.16
2017-06-20,4273.55
2017-06-21,4324.15
2017-06-22,4327.8
2017-06-23,4367.1
2017-06-26,4421.88
2017-06-27,4429.88
2017-06-28,4395.54
2017-06-29,4424.56
2017-06-30,4423.11
2017-07-03,4403.88
2017-07-04,4367.27
2017-07-05,4420.04
2017-07-06,4422.78
2017-07-07,4422.48
2017-07-10,4422.94
2017-07-11,4448.79
2017-07-12,4435.96
2017-07-13,4473.59
2017-07-14,4498.0
2017-07-17,4450.13
2017-07-18,4456.08
2017-07-19,4533.4
2017-07-20,4555.75
2017-07-21,4533.55
2017-07-24,4552.0
2017-07-25,4523.22
2017-07-26,4506.23
2017-07-27,4515.49
2017-07-28,4527.32
2017-07-31,4546.76
2017-08-01,4586.64
2017-08-02,4576.49
2017-08-03,4536.36
2017-08-04,4512.32
2017-08-07,4535.7
2017-08-08,4543.45
2017-08-09,4542.21
2017-08-10,4524.06
2017-08-11,4441.44
2017-08-14,4499.2
2017-08-15,4513.05
2017-08-16,4507.48
2017-08-17,4531.66
2017-08-18,4537.26
2017-08-21,4557.14
2017-08-22,4570.91
2017-08-23,4575.53
2017-08-24,4549.75
2017-08-25,4624.85
2017-08-28,4682.06
2017-08-29,4674.4
2017-08-30,4674.12
2017-08-31,4659.23
2017-09-01,4669.53
2017-09-04,4690.25
2017-09-05,4704.19
2017-09-06,4694.92
2017-09-07,4671.04
2017-09-08,4666.31
2017-09-11,4665.89
2017-09-12,4680.88
2017-09-13,4686.58
2017-09-14,4671.15
2017-09-15,4672.93
2017-09-18,4687.38
2017-09-19,4673.93
2017-09-20,4686.97
2017-09-21,4681.33
2017-09-22,4681.23
2017-09-25,4656.91
2017-09-26,4661.77
2017-09-27,4662.28
2017-09-28,4663.92
2017-09-29,4680.95
2017-10-09,4736.72
2017-10-10,4746.06
2017-10-11,4761.71
2017-10-12,4774.23
2017-10-13,4784.05
2017-10-16,4774.84
2017-10-17,4774.37
2017-10-18,4812.31
2017-10-19,4796.56
2017-10-20,4791.5
2017-10-23,4796.32
2017-10-24,4831.25
2017-10-25,4852.66
2017-10-26,4872.95
2017-10-27,4907.62
2017-10-30,4892.68
2017-10-31,4889.01
2017-11-01,4876.69
2017-11-02,4877.32
2017-11-03,4871.91
2017-11-06,4906.31
2017-11-07,4947.01
2017-11-08,4939.39
2017-11-09,4973.43
2017-11-10,5017.37
2017-11-13,5037.09
2017-11-14,5002.04
2017-11-15,4970.71
2017-11-16,5008.95
2017-11-17,5028.28
2017-11-20,5056.34
2017-11-21,5146.48
2017-11-22,5158.51
2017-11-23,5005.78
2017-11-24,5008.01
2017-11-27,4941.8
2017-11-28,4948.97
2017-11-29,4946.45
2017-11-30,4888.3
2017-12-01,4878.58
2017-12-04,4903.87
2017-12-05,4929.87
2017-12-06,4900.17
2017-12-07,4845.55
2017-12-08,4884.99
2017-12-11,4965.67
2017-12-12,4900.41
2017-12-13,4941.99
2017-12-14,4912.78
2017-12-15,4857.51
2017-12-18,4862.92
2017-12-19,4923.98
2017-12-20,4918.07
2017-12-21,4963.66
2017-12-22,4947.49
2017-12-25,4931.56
2017-12-26,4946.3
2017-12-27,4870.14
2017-12-28,4903.93
2017-12-29,4918.52
2018-01-02,4987.52
2018-01-03,5016.79
2018-01-04,5038.05
2018-01-05,5050.17
2018-01-08,5076.3
2018-01-09,5111.85
2018-01-10,5134.45
2018-01-11,5131.73
2018-01-12,5155.42
2018-01-15,5155.71
2018-01-16,5196.26
2018-01-17,5183.62
2018-01-18,5212.06
2018-01-19,5229.11
2018-01-22,5291.59
2018-01-23,5347.74
2018-01-24,5356.61
2018-01-25,5326.34
2018-01-26,5347.0
2018-01-29,5250.24
2018-01-30,5194.21
2018-01-31,5218.37
2018-02-01,5181.75
2018-02-02,5212.67
2018-02-05,5216.23
2018-02-06,5063.36
2018-02-07,4943.28
2018-02-08,4896.38
2018-02-09,4687.21
2018-02-12,4747.56
2018-02-13,4803.13
2018-02-14,4841.36
2018-02-22,4946.04
2018-02-23,4968.44
2018-02-26,5026.2
2018-02-27,4953.66
2018-02-28,4910.53
2018-03-01,4941.59
2018-03-02,4901.77
2018-03-05,4903.77
2018-03-06,4962.92
2018-03-07,4926.41
2018-03-08,4976.39
2018-03-09,5014.54
2018-03-12,5037.49
2018-03-13,4993.05
2018-03-14,4971.19
2018-03-15,4999.04
2018-03-16,4950.54
2018-03-19,4972.29
2018-03-20,4976.51
2018-03-21,4956.19
2018-03-22,4906.52
2018-03-23,4765.66
2018-03-26,4735.1
2018-03-27,4775.83
2018-03-28,4689.73
2018-03-29,4752.38
2018-03-30,4757.89
2018-04-02,4743.76
2018-04-03,4713.93
2018-04-04,4704.63
2018-04-09,4702.27
2018-04-10,4792.88
2018-04-11,4806.52
2018-04-12,4758.05
2018-04-13,4724.5
2018-04-16,4648.51
2018-04-17,4575.02
2018-04-18,4596.58
2018-04-19,4652.18
2018-04-20,4589.95
2018-04-23,4596.63
2018-04-24,4690.8
2018-04-25,4672.86
2018-04-26,4583.51
2018-04-27,4585.66
2018-05-02,4593.99
2018-05-03,4629.82
2018-05-04,4610.44
2018-05-07,4683.38
2018-05-08,4737.72
2018-05-09,4729.87
2018-05-10,4756.35
2018-05-11,4731.79
2018-05-14,4776.37
2018-05-15,4794.61
2018-05-16,4756.6
2018-05-17,4721.64
2018-05-18,4769.41
2018-05-21,4792.02
2018-05-22,4774.5
2018-05-23,4711.4
2018-05-24,4678.11
2018-05-25,4668.07
2018-05-28,4688.66
2018-05-29,4653.6
2018-05-30,4555.13
2018-05-31,4652.62
2018-06-01,4614.12
2018-06-04,4659.41
2018-06-05,4707.54
2018-06-06,4697.89
2018-06-07,4696.63
2018-06-08,4637.03
2018-06-11,4637.67
2018-06-12,4694.16
2018-06-13,4648.48
2018-06-14,4630.35
2018-06-15,4613.77
2018-06-18,4614.35
2018-06-19,4451.68
2018-06-20,4470.27
2018-06-21,4418.77
2018-06-22,4441.3
2018-06-25,4382.06
2018-06-26,4346.47
2018-06-27,4258.53
2018-06-28,4215.85
2018-06-29,4327.29
2018-07-02,4200.49
2018-07-03,4202.58
2018-07-04,4147.18
2018-07-05,4122.76
2018-07-06,4152.84
2018-07-09,4269.9
2018-07-10,4282.44
2018-07-11,4209.09
2018-07-12,4306.76
2018-07-13,4325.88
2018-07-16,4305.34
2018-07-17,4282.34
2018-07-18,4260.8
2018-07-19,4257.36
2018-07-20,4337.83
2018-07-23,4378.92
2018-07-24,4448.5
2018-07-25,4443.75
2018-07-26,4392.36
2018-07-27,4375.19
2018-07-30,4367.65
2018-07-31,4371.37
2018-08-01,4284.82
2018-08-02,4189.84
2018-08-03,4120.9
2018-08-06,4068.72
2018-08-07,4187.84
2018-08-08,4122.25
2018-08-09,4225.93
2018-08-10,4235.43
2018-08-13,4217.36
2018-08-14,4195.68
2018-08-15,4095.61
2018-08-16,4076.67
2018-08-17,4018.74
2018-08-20,4065.56
2018-08-21,4139.78
2018-08-22,4116.8
2018-08-23,4133.85
2018-08-24,4142.12
2018-08-27,4243.47
2018-08-28,4235.62
2018-08-29,4218.68
2018-08-30,4174.48
2018-08-31,4153.82
2018-09-03,4138.02
2018-09-04,4190.44
2018-09-05,4108.52
2018-09-06,4067.32
2018-09-07,4085.72
2018-09-10,4026.42
2018-09-11,4019.12
2018-09-12,3992.14
2018-09-13,4035.21
2018-09-14,4042.1
2018-09-17,3995.78
2018-09-18,4076.25
2018-09-19,4129.92
2018-09-20,4126.98
2018-09-21,4252.35
2018-09-25,4214.1
2018-09-26,4260.78
2018-09-27,4243.86
2018-09-28,4287.99
2018-10-08,4103.48
2018-10-09,4100.73
2018-10-10,4091.89
2018-10-11,3895.52
2018-10-12,3953.66
2018-10-15,3898.45
2018-10-16,3866.68
2018-10-17,3888.22
2018-10-18,3796.13
2018-10-19,3909.04
2018-10-22,4078.02
2018-10-23,3970.06
2018-10-24,3976.25
2018-10-25,3984.03
2018-10-26,3958.35
2018-10-29,3837.68
2018-10-30,3879.3
2018-10-31,3933.69
2018-11-01,3962.64
2018-11-02,4103.85
2018-11-05,4069.66
2018-11-06,4045.11
2018-11-07,4018.61
2018-11-08,4007.22
2018-11-09,3950.68
2018-11-12,3997.7
2018-11-13,4037.91
2018-11-14,3997.45
2018-11-15,4044.54
2018-11-16,4063.63
2018-11-19,4109.7
2018-11-20,4014.65
2018-11-21,4024.73
2018-11-22,4009.68
2018-11-23,3921.18
2018-11-26,3918.39
2018-11-27,3913.4
2018-11-28,3965.41
2018-11-29,3913.92
2018-11-30,3957.62
2018-12-03,4067.72
2018-12-04,4076.15
2018-12-05,4056.56
2018-12-06,3968.83
2018-12-07,3969.06
2018-12-10,3923.15
2018-12-11,3941.92
2018-12-12,3955.39
2018-12-13,4016.62
2018-12-14,3949.53
2018-12-17,3943.65
2018-12-18,3902.77
2018-12-19,3856.23
2018-12-20,3826.65
2018-12-21,3779.22
2018-12-24,3790.2
