交易日期,全收益指数代码,指数名称,收盘点位
20160630,H20269,中证红利低波动全收益指数,9293.5
20160701,H20269,中证红利低波动全收益指数,9320.33
20160704,H20269,中证红利低波动全收益指数,9436.2
20160705,H20269,中证红利低波动全收益指数,9424.45
20160706,H20269,中证红利低波动全收益指数,9436.6
20160707,H20269,中证红利低波动全收益指数,9427.01
20160708,H20269,中证红利低波动全收益指数,9396.03
20160711,H20269,中证红利低波动全收益指数,9431.92
20160712,H20269,中证红利低波动全收益指数,9651.57
20160713,H20269,中证红利低波动全收益指数,9716.0
20160714,H20269,中证红利低波动全收益指数,9677.77
20160715,H20269,中证红利低波动全收益指数,9708.73
20160718,H20269,中证红利低波动全收益指数,9764.64
20160719,H20269,中证红利低波动全收益指数,9691.3
20160720,H20269,中证红利低波动全收益指数,9667.17
20160721,H20269,中证红利低波动全收益指数,9715.83
20160722,H20269,中证红利低波动全收益指数,9617.95
20160725,H20269,中证红利低波动全收益指数,9669.76
20160726,H20269,中证红利低波动全收益指数,9793.03
20160727,H20269,中证红利低波动全收益指数,9735.97
20160728,H20269,中证红利低波动全收益指数,9867.77
20160729,H20269,中证红利低波动全收益指数,9860.15
20160801,H20269,中证红利低波动全收益指数,9820.26
20160802,H20269,中证红利低波动全收益指数,9845.39
20160803,H20269,中证红利低波动全收益指数,9857.6
20160804,H20269,中证红利低波动全收益指数,9874.34
20160805,H20269,中证红利低波动全收益指数,9897.28
20160808,H20269,中证红利低波动全收益指数,9994.71
20160809,H20269,中证红利低波动全收益指数,10032.75
20160810,H20269,中证红利低波动全收益指数,9983.74
20160811,H20269,中证红利低波动全收益指数,9984.07
20160812,H20269,中证红利低波动全收益指数,10208.33
20160815,H20269,中证红利低波动全收益指数,10471.91
20160816,H20269,中证红利低波动全收益指数,10399.65
20160817,H20269,中证红利低波动全收益指数,10378.61
20160818,H20269,中证红利低波动全收益指数,10350.2
20160819,H20269,中证红利低波动全收益指数,10356.97
20160822,H20269,中证红利低波动全收益指数,10300.17
20160823,H20269,中证红利低波动全收益指数,10324.74
20160824,H20269,中证红利低波动全收益指数,10310.19
20160825,H20269,中证红利低波动全收益指数,10251.66
20160826,H20269,中证红利低波动全收益指数,10227.16
20160829,H20269,中证红利低波动全收益指数,10198.36
20160830,H20269,中证红利低波动全收益指数,10237.06
20160831,H20269,中证红利低波动全收益指数,10293.69
20160901,H20269,中证红利低波动全收益指数,10211.53
20160902,H20269,中证红利低波动全收益指数,10256.21
20160905,H20269,中证红利低波动全收益指数,10296.51
20160906,H20269,中证红利低波动全收益指数,10365.04
20160907,H20269,中证红利低波动全收益指数,10359.01
20160908,H20269,中证红利低波动全收益指数,10374.35
20160909,H20269,中证红利低波动全收益指数,10283.52
20160912,H20269,中证红利低波动全收益指数,10120.21
20160913,H20269,中证红利低波动全收益指数,10122.45
20160914,H20269,中证红利低波动全收益指数,10022.33
20160919,H20269,中证红利低波动全收益指数,10114.55
20160920,H20269,中证红利低波动全收益指数,10130.1
20160921,H20269,中证红利低波动全收益指数,10151.26
20160922,H20269,中证红利低波动全收益指数,10251.21
20160923,H20269,中证红利低波动全收益指数,10192.51
20160926,H20269,中证红利低波动全收益指数,10072.02
20160927,H20269,中证红利低波动全收益指数,10118.91
20160928,H20269,中证红利低波动全收益指数,10118.37
20160929,H20269,中证红利低波动全收益指数,10156.23
20160930,H20269,中证红利低波动全收益指数,10177.73
20161010,H20269,中证红利低波动全收益指数,10321.8
20161011,H20269,中证红利低波动全收益指数,10340.14
20161012,H20269,中证红利低波动全收益指数,10325.5
20161013,H20269,中证红利低波动全收益指数,10343.55
20161014,H20269,中证红利低波动全收益指数,10330.5
20161017,H20269,中证红利低波动全收益指数,10246.2
20161018,H20269,中证红利低波动全收益指数,10363.07
20161019,H20269,中证红利低波动全收益指数,10342.52
20161020,H20269,中证红利低波动全收益指数,10373.71
20161021,H20269,中证红利低波动全收益指数,10454.9
20161024,H20269,中证红利低波动全收益指数,10541.3
20161025,H20269,中证红利低波动全收益指数,10579.74
20161026,H20269,中证红利低波动全收益指数,10482.81
20161027,H20269,中证红利低波动全收益指数,10445.62
20161028,H20269,中证红利低波动全收益指数,10409.24
20161031,H20269,中证红利低波动全收益指数,10426.68
20161101,H20269,中证红利低波动全收益指数,10481.65
20161102,H20269,中证红利低波动全收益指数,10380.77
20161103,H20269,中证红利低波动全收益指数,10436.6
20161104,H20269,中证红利低波动全收益指数,10407.22
20161107,H20269,中证红利低波动全收益指数,10406.68
20161108,H20269,中证红利低波动全收益指数,10440.98
20161109,H20269,中证红利低波动全收益指数,10376.88
20161110,H20269,中证红利低波动全收益指数,10494.36
20161111,H20269,中证红利低波动全收益指数,10509.3
20161114,H20269,中证红利低波动全收益指数,10522.38
20161115,H20269,中证红利低波动全收益指数,10528.51
20161116,H20269,中证红利低波动全收益指数,10530.24
20161117,H20269,中证红利低波动全收益指数,10582.4
20161118,H20269,中证红利低波动全收益指数,10566.47
20161121,H20269,中证红利低波动全收益指数,10635.21
20161122,H20269,中证红利低波动全收益指数,10694.37
20161123,H20269,中证红利低波动全收益指数,10761.89
20161124,H20269,中证红利低波动全收益指数,10834.97
20161125,H20269,中证红利低波动全收益指数,10956.41
20161128,H20269,中证红利低波动全收益指数,11037.42
20161129,H20269,中证红利低波动全收益指数,11134.64
20161130,H20269,中证红利低波动全收益指数,11021.09
20161201,H20269,中证红利低波动全收益指数,11140.62
20161202,H20269,中证红利低波动全收益指数,11000.07
20161205,H20269,中证红利低波动全收益指数,10824.15
20161206,H20269,中证红利低波动全收益指数,10804.25
20161207,H20269,中证红利低波动全收益指数,10815.59
20161208,H20269,中证红利低波动全收益指数,10827.06
20161209,H20269,中证红利低波动全收益指数,10952.99
20161212,H20269,中证红利低波动全收益指数,10763.89
20161213,H20269,中证红利低波动全收益指数,10747.56
20161214,H20269,中证红利低波动全收益指数,10662.91
20161215,H20269,中证红利低波动全收益指数,10506.82
20161216,H20269,中证红利低波动全收益指数,10521.06
20161219,H20269,中证红利低波动全收益指数,10501.84
20161220,H20269,中证红利低波动全收益指数,10431.24
20161221,H20269,中证红利低波动全收益指数,10529.14
20161222,H20269,中证红利低波动全收益指数,10538.35
20161223,H20269,中证红利低波动全收益指数,10421.96
20161226,H20269,中证红利低波动全收益指数,10446.9
20161227,H20269,中证红利低波动全收益指数,10436.69
20161228,H20269,中证红利低波动全收益指数,10396.22
20161229,H20269,中证红利低波动全收益指数,10382.93
20161230,H20269,中证红利低波动全收益指数,10431.01
20170103,H20269,中证红利低波动全收益指数,10537.6
20170104,H20269,中证红利低波动全收益指数,10609.79
20170105,H20269,中证红利低波动全收益指数,10612.07
20170106,H20269,中证红利低波动全收益指数,10577.07
20170109,H20269,中证红利低波动全收益指数,10652.66
20170110,H20269,中证红利低波动全收益指数,10617.29
20170111,H20269,中证红利低波动全收益指数,10533.01
20170112,H20269,中证红利低波动全收益指数,10485.67
20170113,H20269,中证红利低波动全收益指数,10515.19
20170116,H20269,中证红利低波动全收益指数,10561.59
20170117,H20269,中证红利低波动全收益指数,10570.86
20170118,H20269,中证红利低波动全收益指数,10617.83
20170119,H20269,中证红利低波动全收益指数,10603.41
20170120,H20269,中证红利低波动全收益指数,10683.89
