日期,ETF累计净值,全收益指数点位,ETF归一化,全收益指数归一化,累计收益差(百分点)
2019-01-18,1.0051,11046.32,100.000000,100.000000,0.000000
2019-01-21,1.0057,11064.05,100.059696,100.160506,-0.100810
2019-01-22,1.0009,11005.98,99.582131,99.634811,-0.052679
2019-01-23,1.0053,11057.52,100.019899,100.101391,-0.081493
2019-01-24,1.0080,11088.55,100.288529,100.382299,-0.093771
2019-01-25,1.0134,11148.95,100.825788,100.929088,-0.103299
2019-01-28,1.0124,11139.41,100.726296,100.842724,-0.116428
2019-01-29,1.0192,11214.76,101.402845,101.524852,-0.122006
2019-01-30,1.0156,11172.32,101.044672,101.140651,-0.095979
2019-01-31,1.0192,11214.58,101.402845,101.523222,-0.120377
2019-02-01,1.0294,11330.85,102.417670,102.575790,-0.158120
2019-02-11,1.0380,11432.13,103.273306,103.492656,-0.219350
2019-02-12,1.0428,11487.63,103.750871,103.995086,-0.244216
2019-02-13,1.0539,11616.62,104.855238,105.162805,-0.307567
2019-02-14,1.0518,11592.92,104.646304,104.948254,-0.301950
2019-02-15,1.0338,11383.32,102.855437,103.050790,-0.195352
2019-02-18,1.0544,11621.81,104.904985,105.209789,-0.304805
2019-02-19,1.0535,11609.81,104.815441,105.101156,-0.285715
2019-02-20,1.0549,11624.58,104.954731,105.234866,-0.280135
2019-02-21,1.0484,11547.76,104.308029,104.539430,-0.231401
2019-02-22,1.0561,11637.64,105.074122,105.353095,-0.278973
2019-02-25,1.0967,12123.13,109.113521,109.748133,-0.634612
2019-02-26,1.0892,12030.64,108.367327,108.910841,-0.543514
2019-02-27,1.0920,12061.09,108.645906,109.186498,-0.540592
2019-02-28,1.0893,12026.85,108.377276,108.876531,-0.499255
2019-03-01,1.1015,12169.05,109.591085,110.163837,-0.572752
2019-03-04,1.1153,12338.05,110.964083,111.693759,-0.729675
2019-03-05,1.1266,12464.49,112.088349,112.838393,-0.750044
2019-03-06,1.1365,12573.02,113.073326,113.820892,-0.747566
2019-03-07,1.1304,12500.18,112.466421,113.161487,-0.695066
2019-03-08,1.0889,12029.66,108.337479,108.901969,-0.564490
2019-03-11,1.1069,12228.71,110.128345,110.703927,-0.575581
2019-03-12,1.1168,12338.58,111.113322,111.698557,-0.585235
2019-03-13,1.1138,12303.29,110.814844,111.379084,-0.564239
2019-03-14,1.1021,12169.28,109.650781,110.165920,-0.515138
2019-03-15,1.1197,12365.62,111.401851,111.943344,-0.541493
2019-03-18,1.1519,12728.09,114.605512,115.224708,-0.619196
2019-03-19,1.1504,12709.88,114.456273,115.059857,-0.603584
2019-03-20,1.1550,12760.87,114.913939,115.521459,-0.607520
2019-03-21,1.1557,12767.04,114.983584,115.577314,-0.593731
2019-03-22,1.1622,12836.66,115.630286,116.207570,-0.577284
2019-03-25,1.1494,12692.01,114.356780,114.898084,-0.541303
2019-03-26,1.1349,12517.98,112.914138,113.322627,-0.408489
2019-03-27,1.1496,12678.66,114.376679,114.777229,-0.400550
2019-03-28,1.1375,12536.25,113.172819,113.488021,-0.315203
2019-03-29,1.1666,12856.14,116.068053,116.383918,-0.315865
2019-04-01,1.1962,13184.41,119.013034,119.355677,-0.342643
2019-04-02,1.1947,13162.08,118.863795,119.153528,-0.289733
2019-04-03,1.2096,13321.96,120.346234,120.600888,-0.254654
2019-04-04,1.2247,13484.77,121.848572,122.074772,-0.226200
2019-04-08,1.2205,13438.95,121.430703,121.659974,-0.229270
2019-04-09,1.2259,13497.94,121.967963,122.193998,-0.226034
2019-04-10,1.2281,13522.94,122.186847,122.420317,-0.233470
2019-04-11,1.2124,13347.96,120.624813,120.836260,-0.211447
2019-04-12,1.2099,13318.31,120.376082,120.567845,-0.191763
2019-04-15,1.2037,13247.47,119.759228,119.926546,-0.167318
2019-04-16,1.2226,13455.85,121.639638,121.812966,-0.173328
2019-04-17,1.2267,13501.32,122.047557,122.224596,-0.177039
2019-04-18,1.2156,13376.32,120.943190,121.092997,-0.149808
2019-04-19,1.2212,13436.13,121.500348,121.634445,-0.134097
2019-04-22,1.1924,13115.50,118.634962,118.731849,-0.096887
2019-04-23,1.1840,13018.36,117.799224,117.852461,-0.053237
2019-04-24,1.1856,13034.96,117.958412,118.002738,-0.044325
2019-04-25,1.1549,12689.82,114.903990,114.878258,0.025732
2019-04-26,1.1413,12538.01,113.550890,113.503954,0.046936
2019-04-29,1.1420,12544.47,113.620535,113.562435,0.058100
2019-04-30,1.1548,12685.55,114.894040,114.839603,0.054438
2019-05-06,1.0988,12063.37,109.322455,109.207139,0.115317
2019-05-07,1.1090,12175.50,110.337280,110.222228,0.115052
2019-05-08,1.0995,12070.39,109.392100,109.270689,0.121411
2019-05-09,1.0843,11899.75,107.879813,107.725921,0.153892
2019-05-10,1.1156,12246.89,110.993931,110.868506,0.125425
2019-05-13,1.1061,12141.96,110.048751,109.918597,0.130154
2019-05-14,1.0990,12063.07,109.342354,109.204423,0.137931
2019-05-15,1.1168,12258.87,111.113322,110.976959,0.136363
2019-05-16,1.1244,12321.42,111.869466,111.543211,0.326255
2019-05-17,1.0977,12018.69,109.213014,108.802660,0.410354
2019-05-20,1.0872,11902.20,108.168341,107.748101,0.420241
2019-05-21,1.1004,12049.39,109.481644,109.080581,0.401063
2019-05-22,1.0953,11990.05,108.974231,108.543388,0.430843
2019-05-23,1.0835,11847.89,107.800219,107.256444,0.543775
2019-05-24,1.0881,11898.90,108.257885,107.718227,0.539658
2019-05-27,1.1018,12052.36,109.620933,109.107467,0.513466
2019-05-28,1.1077,12117.01,110.207940,109.692730,0.515209
2019-05-29,1.1030,12064.36,109.740324,109.216101,0.524223
2019-05-30,1.1066,12102.54,110.098498,109.561736,0.536761
2019-05-31,1.1062,12095.96,110.058701,109.502169,0.556532
2019-06-03,1.1056,12090.74,109.999005,109.454913,0.544092
2019-06-04,1.0980,12005.71,109.242861,108.685155,0.557707
2019-06-05,1.0992,12019.05,109.362253,108.805919,0.556333
2019-06-06,1.0923,11941.91,108.675754,108.107587,0.568167
2019-06-10,1.1021,12051.88,109.650781,109.103122,0.547659
2019-06-11,1.1247,12303.36,111.899314,111.379717,0.519596
2019-06-12,1.1169,12216.88,111.123271,110.596832,0.526439
2019-06-13,1.1123,12164.65,110.665605,110.124005,0.541600
2019-06-14,1.1039,12070.41,109.829868,109.270870,0.558997
2019-06-17,1.1029,12061.08,109.730375,109.186408,0.543967
2019-06-18,1.1026,12057.06,109.700527,109.150016,0.550512
2019-06-19,1.1157,12203.09,111.003880,110.471994,0.531886
2019-06-20,1.1349,12414.40,112.914138,112.384939,0.529199
2019-06-21,1.1372,12437.42,113.142971,112.593334,0.549637
2019-06-24,1.1372,12438.85,113.142971,112.606280,0.536691
2019-06-25,1.1270,12326.10,112.128146,111.585578,0.542569
2019-06-26,1.1267,12319.24,112.098299,111.523476,0.574823
2019-06-27,1.1337,12394.93,112.794747,112.208681,0.586066
2019-06-28,1.1285,12333.05,112.277385,111.648495,0.628891
2019-07-01,1.1501,12569.47,114.426425,113.788755,0.637670
2019-07-02,1.1544,12613.64,114.854243,114.188617,0.665627
2019-07-03,1.1570,12640.57,115.112924,114.432408,0.680516
2019-07-04,1.1564,12631.35,115.053229,114.348942,0.704287
2019-07-05,1.1590,12655.54,115.311909,114.567929,0.743981
2019-07-08,1.1343,12380.03,112.854442,112.073795,0.780648
2019-07-09,1.1355,12391.59,112.973833,112.178445,0.795389
2019-07-10,1.1294,12322.56,112.366929,111.553531,0.813398
2019-07-11,1.1285,12311.29,112.277385,111.451506,0.825879
2019-07-12,1.1348,12377.69,112.904189,112.052611,0.851577
2019-07-15,1.1378,12409.90,113.202666,112.344202,0.858465
2019-07-16,1.1390,12415.84,113.322058,112.397975,0.924082
2019-07-17,1.1391,12413.89,113.332007,112.380322,0.951685
2019-07-18,1.1295,12303.39,112.376878,111.379989,0.996889
2019-07-19,1.1416,12434.34,113.580738,112.565452,1.015287
2019-07-22,1.1336,12343.15,112.784798,111.739928,1.044870
2019-07-23,1.1373,12384.26,113.152920,112.112088,1.040832
2019-07-24,1.1439,12458.01,113.809571,112.779731,1.029840
2019-07-25,1.1487,12509.84,114.287136,113.248937,1.038198
2019-07-26,1.1494,12515.17,114.356780,113.297189,1.059592
2019-07-29,1.1505,12527.15,114.466222,113.405641,1.060581
2019-07-30,1.1562,12588.44,115.033330,113.960486,1.072844
2019-07-31,1.1471,12487.06,114.127947,113.042715,1.085233
2019-08-01,1.1371,12376.83,113.133022,112.044826,1.088196
2019-08-02,1.1242,12228.99,111.849567,110.706462,1.143106
2019-08-05,1.1045,12011.56,109.889563,108.738114,1.151450
2019-08-06,1.0895,11844.53,108.397174,107.226026,1.171148
2019-08-07,1.0868,11813.39,108.128544,106.944123,1.184422
2019-08-08,1.0995,11953.27,109.392100,108.210427,1.181674
2019-08-09,1.0903,11850.94,108.476768,107.284055,1.192714
2019-08-12,1.1025,11985.46,109.690578,108.501836,1.188742
2019-08-13,1.0970,11923.39,109.143369,107.939929,1.203440
2019-08-14,1.0989,11945.61,109.332405,108.141082,1.191322
2019-08-15,1.1033,11992.58,109.770172,108.566292,1.203880
2019-08-16,1.1028,11986.98,109.720426,108.515596,1.204830
2019-08-19,1.1224,12203.78,111.670481,110.478241,1.192240
2019-08-20,1.1195,12170.67,111.381952,110.178503,1.203449
2019-08-21,1.1184,12157.97,111.272510,110.063532,1.208978
2019-08-22,1.1193,12168.78,111.362054,110.161393,1.200660
2019-08-23,1.1216,12193.34,111.590886,110.383730,1.207157
2019-08-26,1.1120,12088.16,110.635758,109.431557,1.204200
2019-08-27,1.1249,12229.84,111.919212,110.714156,1.205056
2019-08-28,1.1242,12221.54,111.849567,110.639018,1.210549
2019-08-29,1.1168,12139.90,111.113322,109.899949,1.213373
2019-08-30,1.1131,12100.28,110.745199,109.541277,1.203922
2019-09-02,1.1213,12190.63,111.561039,110.359197,1.201842
