日期,ETF复权净值,全收益指数点位,ETF归一化,全收益指数归一化,累计收益差(百分点)
2020-02-26,0.99470000,3766.7900,100.000000,100.000000,0.000000
2020-02-27,0.99580000,3771.4500,100.110586,100.123713,-0.013127
2020-02-28,0.97570000,3693.1300,98.089876,98.044489,0.045388
2020-03-02,1.00300000,3799.1900,100.834422,100.860149,-0.025726
2020-03-03,1.00430000,3804.1100,100.965115,100.990764,-0.025649
2020-03-04,1.00790000,3818.0000,101.327033,101.359513,-0.032480
2020-03-05,1.02200000,3872.0200,102.744546,102.793625,-0.049079
2020-03-06,1.01310000,3838.1300,101.849804,101.893920,-0.044116
2020-03-09,0.99790000,3780.0300,100.321705,100.351493,-0.029788
2020-03-10,1.01040000,3827.9300,101.578365,101.623133,-0.044767
2020-03-11,0.99980000,3787.6300,100.512717,100.553256,-0.040539
2020-03-12,0.98490000,3730.6300,99.014778,99.040031,-0.025253
2020-03-13,0.97240000,3682.8600,97.758118,97.771843,-0.013725
2020-03-16,0.95960000,3634.7300,96.471298,96.494097,-0.022799
2020-03-17,0.95620000,3621.8100,96.129486,96.151099,-0.021613
2020-03-18,0.94300000,3571.4900,94.802453,94.815214,-0.012761
2020-03-19,0.92450000,3501.4200,92.942596,92.955009,-0.012414
2020-03-20,0.93430000,3537.2900,93.927817,93.907279,0.020538
2020-03-23,0.91280000,3455.3400,91.766362,91.731687,0.034675
2020-03-24,0.93110000,3524.8300,93.606112,93.576494,0.029619
2020-03-25,0.94640000,3583.2500,95.144265,95.127416,0.016848
2020-03-26,0.94070000,3560.6200,94.571228,94.526639,0.044588
2020-03-27,0.94740000,3585.8800,95.244797,95.197237,0.047561
2020-03-30,0.94430000,3574.2100,94.933146,94.887424,0.045722
2020-03-31,0.93940000,3555.6100,94.440535,94.393635,0.046900
2020-04-01,0.93220000,3528.1000,93.716699,93.663305,0.053394
2020-04-02,0.94340000,3570.8800,94.842666,94.799020,0.043646
2020-04-03,0.93760000,3548.7900,94.259576,94.212579,0.046997
2020-04-07,0.94950000,3593.7400,95.455916,95.405903,0.050014
2020-04-08,0.94690000,3584.2600,95.194531,95.154229,0.040302
2020-04-09,0.94760000,3586.1100,95.264904,95.203343,0.061561
2020-04-10,0.94120000,3561.5700,94.621494,94.551860,0.069634
2020-04-13,0.93770000,3548.4500,94.269629,94.203553,0.066076
2020-04-14,0.94610000,3580.2500,95.114105,95.047773,0.066332
2020-04-15,0.94210000,3565.3700,94.711973,94.652741,0.059232
2020-04-16,0.94650000,3581.2000,95.154318,95.072993,0.081325
2020-04-17,0.94770000,3585.7500,95.274957,95.193786,0.081172
2020-04-20,0.94540000,3574.2600,95.043732,94.888751,0.154980
2020-04-21,0.93730000,3543.7700,94.229416,94.079309,0.150107
2020-04-22,0.93730000,3543.6500,94.229416,94.076123,0.153293
2020-04-23,0.93700000,3542.2800,94.199256,94.039753,0.159503
2020-04-24,0.93050000,3517.9500,93.545793,93.393845,0.151948
2020-04-27,0.93620000,3537.5400,94.118830,93.913916,0.204914
2020-04-28,0.93000000,3513.7300,93.495526,93.281813,0.213713
2020-04-29,0.94150000,3556.5100,94.651654,94.417528,0.234126
2020-04-30,0.95160000,3594.7800,95.667035,95.433512,0.233523
2020-05-06,0.94770000,3580.1700,95.274957,95.045649,0.229308
2020-05-07,0.94300000,3562.5800,94.802453,94.578673,0.223780
2020-05-08,0.94900000,3584.6200,95.405650,95.163787,0.241863
2020-05-11,0.94970000,3587.4500,95.476023,95.238917,0.237106
2020-05-12,0.94510000,3569.7400,95.013572,94.768755,0.244817
2020-05-13,0.94500000,3569.6500,95.003519,94.766366,0.237153
2020-05-14,0.93560000,3533.9900,94.058510,93.819671,0.238839
2020-05-15,0.93460000,3530.0800,93.957977,93.715869,0.242108
2020-05-18,0.93570000,3533.2700,94.068563,93.800557,0.268006
2020-05-19,0.93990000,3549.1900,94.490801,94.223198,0.267603
2020-05-20,0.93610000,3534.9600,94.108777,93.845423,0.263354
2020-05-21,0.93070000,3513.8200,93.565899,93.284202,0.281697
2020-05-22,0.91730000,3463.2200,92.218759,91.940883,0.277876
2020-05-25,0.91970000,3472.4000,92.460038,92.184592,0.275446
2020-05-26,0.92090000,3476.8900,92.580678,92.303792,0.276886
2020-05-27,0.92390000,3488.3500,92.882276,92.608030,0.274246
2020-05-28,0.92690000,3499.6200,93.183875,92.907223,0.276651
2020-05-29,0.92240000,3482.5500,92.731477,92.454052,0.277424
2020-06-01,0.93380000,3525.5800,93.877551,93.596404,0.281147
2020-06-02,0.93790000,3541.0300,94.289736,94.006568,0.283168
2020-06-03,0.93900000,3545.0200,94.400322,94.112494,0.287828
2020-06-04,0.93330000,3523.2500,93.827285,93.534548,0.292737
2020-06-05,0.93470000,3528.5400,93.968031,93.674986,0.293045
2020-06-08,0.93820000,3541.8000,94.319895,94.027010,0.292886
2020-06-09,0.94270000,3557.8500,94.772293,94.453102,0.319191
2020-06-10,0.93700000,3536.1700,94.199256,93.877546,0.321710
2020-06-11,0.92840000,3503.8400,93.334674,93.019255,0.315419
2020-06-12,0.92700000,3498.4000,93.193928,92.874835,0.319093
2020-06-15,0.91670000,3459.6200,92.158440,91.845311,0.313128
2020-06-16,0.92670000,3493.8600,93.163768,92.754308,0.409460
2020-06-17,0.92990000,3506.0100,93.485473,93.076864,0.408609
2020-06-18,0.93670000,3531.8200,94.169096,93.762063,0.407034
2020-06-19,0.93880000,3536.9900,94.380215,93.899315,0.480900
2020-06-22,0.93490000,3518.8700,93.988137,93.418269,0.569869
2020-06-23,0.93130000,3504.7500,93.626219,93.043414,0.582805
2020-06-24,0.93710000,3526.5400,94.209309,93.621890,0.587419
2020-06-29,0.92960000,3498.5000,93.455313,92.877490,0.577823
2020-06-30,0.93390000,3514.6300,93.887604,93.305706,0.581898
2020-07-01,0.94790000,3567.2700,95.295064,94.703182,0.591882
2020-07-02,0.97000000,3650.3000,97.516839,96.907446,0.609393
2020-07-03,0.99190000,3732.7000,99.718508,99.094985,0.623523
2020-07-06,1.05660000,3976.1100,106.222982,105.556986,0.665996
2020-07-07,1.04620000,3933.9500,105.177440,104.437731,0.739710
2020-07-08,1.05720000,3971.1700,106.283301,105.425840,0.857461
2020-07-09,1.06510000,3995.0900,107.077511,106.060863,1.016647
2020-07-10,1.03920000,3893.1800,104.473711,103.355377,1.118334
2020-07-13,1.05270000,3944.3900,105.830904,104.714890,1.116014
2020-07-14,1.04510000,3916.5700,105.066854,103.976330,1.090524
2020-07-15,1.02980000,3847.5700,103.528702,102.144532,1.384171
2020-07-16,1.01540000,3776.3100,102.081029,100.252735,1.828294
2020-07-17,1.01240000,3765.9800,101.779431,99.978496,1.800935
2020-07-20,1.04650000,3883.1100,105.207600,103.088040,2.119560
2020-07-21,1.04300000,3866.5300,104.855735,102.647878,2.207857
2020-07-22,1.04550000,3867.5200,105.107067,102.674160,2.432907
2020-07-23,1.03710000,3836.3300,104.262592,101.846134,2.416457
2020-07-24,1.01180000,3743.4500,101.719111,99.380374,2.338737
2020-07-27,1.01020000,3738.2400,101.558259,99.242060,2.316199
2020-07-28,1.01320000,3749.2200,101.859857,99.533555,2.326302
2020-07-29,1.02400000,3788.5800,102.945612,100.578477,2.367135
2020-07-30,1.02200000,3780.7800,102.744546,100.371404,2.373142
2020-07-31,1.02200000,3779.8800,102.744546,100.347511,2.397035
2020-08-03,1.03170000,3818.5400,103.719714,101.373849,2.345866
2020-08-04,1.04090000,3852.0600,104.644616,102.263731,2.380885
2020-08-05,1.03150000,3817.9700,103.699608,101.358717,2.340891
