证券代码,证券名称,同花顺行业大类,2026Q2基金净值权重(%),2025归母净利同比(%),2021-2025归母净利CAGR(%),2025加权ROE(%),2025基本EPS(元),2025每股税前分红(元),2025分红支付率(%),接口可见分红年份数
601229,上海银行,金融,2.83,2.69,2.36,9.69,1.65,0.520,31.5,10
601009,南京银行,金融,2.69,8.08,8.29,12.05,1.76,0.529,30.1,18
000001,平安银行,金融,2.66,-4.21,4.08,9.15,2.07,0.596,28.8,24
601838,成都银行,金融,2.62,3.31,14.12,15.39,3.07,0.921,30.0,9
000651,格力电器,制造,2.48,-9.89,5.90,20.30,5.20,3.000,57.7,27
600919,江苏银行,金融,2.44,8.35,15.05,13.14,1.76,0.564,32.1,10
600350,山东高速,基建,2.39,0.30,1.23,8.20,0.55,0.420,77.1,24
601825,沪农商行,金融,2.37,0.20,6.15,9.74,1.28,0.435,34.0,5
601369,陕鼓动力,制造,2.28,-28.19,-3.35,8.35,0.44,0.310,70.9,16
600016,民生银行,金融,2.25,-5.37,-2.90,4.93,0.63,0.189,30.0,25
