报告期,排名,证券代码,证券名称,同花顺行业大类,占基金净值比例(%),前十大持仓合计(%)
20190331,1,600383,金地集团,基建,3.26,27.46
20190331,2,600325,华发股份,基建,3.06,27.46
20190331,3,600376,首开股份,基建,3.05,27.46
20190331,4,000338,潍柴动力,制造,2.91,27.46
20190331,5,600104,上汽集团,制造,2.69,27.46
20190331,6,000429,粤高速A,基建,2.68,27.46
20190331,7,000631,顺发恒能,基建,2.64,27.46
20190331,8,002191,劲嘉股份,消费,2.44,27.46
20190331,9,002083,孚日股份,消费,2.42,27.46
20190331,10,600900,长江电力,基建,2.31,27.46
20190630,1,000338,潍柴动力,制造,3.24,27.40
20190630,2,600376,首开股份,基建,3.11,27.40
20190630,3,600383,金地集团,基建,3.04,27.40
20190630,4,600325,华发股份,基建,2.89,27.40
20190630,5,600104,上汽集团,制造,2.77,27.40
20190630,6,600741,华域汽车,制造,2.65,27.40
20190630,7,600900,长江电力,基建,2.60,27.40
20190630,8,000429,粤高速A,基建,2.37,27.40
20190630,9,600377,宁沪高速,基建,2.37,27.40
20190630,10,002083,孚日股份,消费,2.36,27.40
20190930,1,600383,金地集团,基建,3.07,27.42
20190930,2,000338,潍柴动力,制造,3.01,27.42
20190930,3,600741,华域汽车,制造,2.93,27.42
20190930,4,600376,首开股份,基建,2.88,27.42
20190930,5,600900,长江电力,基建,2.83,27.42
20190930,6,600325,华发股份,基建,2.68,27.42
20190930,7,600104,上汽集团,制造,2.56,27.42
20190930,8,002083,孚日股份,消费,2.56,27.42
20190930,9,000429,粤高速A,基建,2.48,27.42
20190930,10,601166,兴业银行,金融,2.42,27.42
20191231,1,601636,旗滨集团,基建,3.30,26.99
20191231,2,600028,中国石化,周期,2.93,26.99
20191231,3,600873,梅花生物,周期,2.91,26.99
20191231,4,002233,塔牌集团,基建,2.87,26.99
20191231,5,000429,粤高速A,基建,2.82,26.99
20191231,6,600019,宝钢股份,周期,2.59,26.99
20191231,7,600376,首开股份,基建,2.55,26.99
20191231,8,601006,大秦铁路,基建,2.37,26.99
20191231,9,000581,威孚高科,制造,2.35,26.99
20191231,10,000656,金科股份,基建,2.30,26.99
20200331,1,601636,旗滨集团,基建,3.35,27.96
20200331,2,600873,梅花生物,周期,3.32,27.96
20200331,3,002233,塔牌集团,基建,3.23,27.96
20200331,4,600028,中国石化,周期,2.95,27.96
20200331,5,000656,金科股份,基建,2.69,27.96
20200331,6,000581,威孚高科,制造,2.65,27.96
