报告期,同花顺行业大类,前十大中占比(%),占基金净值比例(%),前十大持仓合计(%)
20200930,周期,46.11,9.84,21.34
20200930,金融,23.81,5.08,21.34
20200930,基建,22.31,4.76,21.34
20200930,消费,7.77,1.66,21.34
20201231,周期,55.10,11.94,21.67
20201231,金融,24.87,5.39,21.67
20201231,基建,20.03,4.34,21.67
20210331,周期,43.20,9.60,22.22
20210331,基建,29.88,6.64,22.22
20210331,金融,26.92,5.98,22.22
20210630,金融,36.36,8.33,22.91
20210630,基建,33.00,7.56,22.91
20210630,周期,19.03,4.36,22.91
20210630,科技,11.61,2.66,22.91
20210930,基建,64.10,13.93,21.73
20210930,金融,18.78,4.08,21.73
20210930,周期,8.84,1.92,21.73
20210930,医疗,8.28,1.80,21.73
20211231,基建,42.83,8.33,19.45
20211231,金融,27.92,5.43,19.45
20211231,医疗,20.77,4.04,19.45
20211231,科技,8.48,1.65,19.45
20220331,基建,45.42,9.48,20.87
20220331,金融,17.39,3.63,20.87
20220331,医疗,12.41,2.59,20.87
20220331,科技,8.34,1.74,20.87
20220331,周期,8.34,1.74,20.87
20220331,消费,8.10,1.69,20.87
20220630,金融,34.33,6.84,19.93
20220630,基建,24.99,4.98,19.93
20220630,制造,21.37,4.26,19.93
20220630,周期,9.93,1.98,19.93
20220630,消费,9.38,1.87,19.93
20220930,消费,39.16,8.33,21.27
20220930,基建,23.98,5.10,21.27
20220930,周期,11.47,2.44,21.27
20220930,科技,8.65,1.84,21.27
20220930,金融,8.37,1.78,21.27
20220930,制造,8.37,1.78,21.27
20221231,消费,40.50,8.10,20.00
20221231,周期,21.85,4.37,20.00
20221231,基建,20.45,4.09,20.00
20221231,制造,17.20,3.44,20.00
20230331,基建,28.87,5.67,19.64
20230331,消费,28.01,5.50,19.64
20230331,周期,22.91,4.50,19.64
20230331,制造,20.21,3.97,19.64
20230630,周期,31.29,6.42,20.52
20230630,基建,30.26,6.21,20.52
20230630,消费,29.19,5.99,20.52
20230630,制造,9.26,1.90,20.52
20230930,周期,33.43,6.53,19.54
20230930,消费,24.51,4.79,19.54
20230930,医疗,22.77,4.45,19.54
20230930,基建,19.29,3.77,19.54
20231231,周期,43.41,8.04,18.52
20231231,消费,27.21,5.04,18.52
20231231,基建,18.90,3.50,18.52
20231231,制造,10.48,1.94,18.52
20240331,周期,36.84,6.48,17.59
20240331,基建,29.51,5.19,17.59
20240331,消费,24.10,4.24,17.59
20240331,制造,9.55,1.68,17.59
20240630,基建,41.04,7.70,18.76
20240630,消费,31.93,5.99,18.76
20240630,周期,17.17,3.22,18.76
20240630,制造,9.86,1.85,18.76
20240930,消费,37.51,7.43,19.81
20240930,基建,36.24,7.18,19.81
20240930,周期,17.62,3.49,19.81
20240930,制造,8.63,1.71,19.81
20241231,周期,39.92,7.94,19.89
20241231,消费,39.06,7.77,19.89
20241231,基建,12.42,2.47,19.89
20241231,制造,8.60,1.71,19.89
20250331,周期,42.71,8.17,19.13
20250331,消费,37.38,7.15,19.13
20250331,基建,11.45,2.19,19.13
20250331,制造,8.46,1.62,19.13
20250630,周期,54.94,10.95,19.93
20250630,消费,27.80,5.54,19.93
20250630,基建,9.98,1.99,19.93
20250630,制造,7.28,1.45,19.93
20250930,消费,41.13,7.47,18.16
20250930,周期,33.26,6.04,18.16
20250930,制造,9.14,1.66,18.16
20250930,基建,8.81,1.60,18.16
20250930,医疗,7.66,1.39,18.16
20251231,消费,29.94,5.30,17.70
20251231,周期,23.16,4.10,17.70
20251231,制造,18.20,3.22,17.70
20251231,医疗,18.14,3.21,17.70
20251231,基建,10.56,1.87,17.70
20260331,基建,28.38,5.80,20.44
20260331,消费,28.28,5.78,20.44
20260331,周期,25.83,5.28,20.44
20260331,制造,17.51,3.58,20.44
20260630,消费,22.33,4.44,19.88
20260630,基建,20.52,4.08,19.88
20260630,制造,17.61,3.50,19.88
20260630,科技,16.05,3.19,19.88
20260630,周期,12.83,2.55,19.88
20260630,医疗,10.66,2.12,19.88
