上期报告期,本期报告期,连续进入前十大数量,新进入前十大,退出前十大,本期前十大持仓合计(%)
20200331,20200630,9,600606_绿地控股,600398_海澜之家,30.60
20200630,20200930,6,600025_华能水电；600170_上海建工；600398_海澜之家；601225_陕西煤业,000898_鞍钢股份；600104_上汽集团；600177_雅戈尔；600688_上海石化,34.32
20200930,20201231,9,600660_福耀玻璃,600170_上海建工,35.57
20201231,20210331,6,001979_招商蛇口；002146_荣盛发展；600236_桂冠电力；600377_宁沪高速,600398_海澜之家；600606_绿地控股；600660_福耀玻璃；601225_陕西煤业,32.99
20210331,20210630,10,,,32.39
20210630,20210930,5,000651_格力电器；600027_华电国际；600048_保利发展；600177_雅戈尔；600585_海螺水泥,600019_宝钢股份；600025_华能水电；600028_中国石化；600236_桂冠电力；600377_宁沪高速,33.96
20210930,20211231,9,601668_中国建筑,002146_荣盛发展,37.65
20211231,20220331,5,000002_万科A；600028_中国石化；600377_宁沪高速；600606_绿地控股；600663_陆家嘴,600027_华电国际；600048_保利发展；600585_海螺水泥；601088_中国神华；601668_中国建筑,33.54
20220331,20220630,9,000800_一汽解放,600663_陆家嘴,33.14
20220630,20220930,5,001965_招商公路；600585_海螺水泥；600663_陆家嘴；601298_青岛港；601668_中国建筑,000002_万科A；000800_一汽解放；001979_招商蛇口；600023_浙能电力；600606_绿地控股,35.35
20220930,20221231,9,688009_中国通号,001965_招商公路,34.81
20221231,20230331,4,000039_中集集团；000725_京东方A；601138_工业富联；601728_中国电信；601857_中国石油；603156_养元饮品,600377_宁沪高速；600585_海螺水泥；600663_陆家嘴；601298_青岛港；601668_中国建筑；688009_中国通号,36.23
20230331,20230630,8,000157_中联重科；600377_宁沪高速,000039_中集集团；000725_京东方A,37.61
20230630,20230930,6,000895_双汇发展；000932_华菱钢铁；600019_宝钢股份；600655_豫园股份,000157_中联重科；600377_宁沪高速；601138_工业富联；601728_中国电信,32.04
20230930,20231231,9,600377_宁沪高速,600655_豫园股份,31.32
20231231,20240331,5,600039_四川路桥；600089_特变电工；600295_鄂尔多斯；600350_山东高速；601088_中国神华,000895_双汇发展；000932_华菱钢铁；600019_宝钢股份；600377_宁沪高速；601857_中国石油,29.45
20240331,20240630,8,600236_桂冠电力；600585_海螺水泥,600089_特变电工；601006_大秦铁路,29.13
20240630,20240930,3,000333_美的集团；000895_双汇发展；002032_苏泊尔；002304_洋河股份；601006_大秦铁路；601216_君正集团；601668_中国建筑,000651_格力电器；600028_中国石化；600236_桂冠电力；600295_鄂尔多斯；600350_山东高速；600585_海螺水泥；601088_中国神华,32.07
20240930,20241231,9,600350_山东高速,000333_美的集团,31.63
20241231,20250331,5,000651_格力电器；000708_中信特钢；600873_梅花生物；601225_陕西煤业；601229_上海银行,002304_洋河股份；600039_四川路桥；600350_山东高速；601216_君正集团；601668_中国建筑,28.78
20250331,20250630,6,000001_平安银行；600016_民生银行；601009_南京银行；601088_中国神华,000651_格力电器；000708_中信特钢；000895_双汇发展；002032_苏泊尔,28.19
20250630,20250930,5,000651_格力电器；000895_双汇发展；002304_洋河股份；600642_申能股份；601598_中国外运,000001_平安银行；600016_民生银行；601006_大秦铁路；601009_南京银行；601229_上海银行,31.46
20250930,20251231,8,600028_中国石化；600219_南山铝业,600642_申能股份；600873_梅花生物,31.03
20251231,20260331,4,000858_五粮液；001286_陕西能源；600023_浙能电力；600352_浙江龙盛；600642_申能股份；601668_中国建筑,002304_洋河股份；600028_中国石化；600219_南山铝业；601225_陕西煤业；601598_中国外运；603156_养元饮品,30.88
20260331,20260630,9,600350_山东高速,000858_五粮液,31.55
