date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2019-09-06,1.0000,1.0000,1.000000,0.000000,1.0000,
2019-09-12,1.0001,1.0001,1.000100,0.000000,1.0000,
2019-09-20,1.0003,1.0003,1.000300,0.000000,1.0000,
2019-09-27,0.9860,0.9860,0.986000,0.000000,1.0000,
2019-09-30,0.9839,0.9839,0.983900,0.000000,1.0000,
2019-10-11,1.0108,1.0108,1.010800,0.000000,1.0000,
2019-10-18,1.0064,1.0064,1.006400,0.000000,1.0000,
2019-10-25,1.0093,1.0093,1.009300,0.000000,1.0000,
2019-11-01,1.0066,1.0066,1.006600,0.000000,1.0000,
2019-11-08,1.0123,1.0123,1.012300,0.000000,1.0000,
2019-11-15,0.9859,0.9859,0.985900,0.000000,1.0000,
2019-11-18,0.9920,0.9920,0.992000,0.000000,1.0000,
2019-11-19,1.0014,1.0014,1.001400,0.000000,1.0000,
2019-11-20,0.9949,0.9949,0.994900,0.000000,1.0000,
2019-11-21,0.9906,0.9906,0.990600,0.000000,1.0000,
2019-11-22,0.9893,0.9893,0.989300,0.000000,1.0000,
2019-11-25,1.0013,1.0013,1.001300,0.000000,1.0000,
2019-11-26,1.0001,1.0001,1.000100,0.000000,1.0000,
2019-11-27,0.9981,0.9981,0.998100,0.000000,1.0000,
2019-11-28,0.9950,0.9950,0.995000,0.000000,1.0000,
2019-11-29,0.9917,0.9917,0.991700,0.000000,1.0000,
2019-12-02,0.9934,0.9934,0.993400,0.000000,1.0000,
2019-12-03,0.9958,0.9958,0.995800,0.000000,1.0000,
2019-12-04,0.9928,0.9928,0.992800,0.000000,1.0000,
2019-12-05,0.9991,0.9991,0.999100,0.000000,1.0000,
2019-12-06,1.0001,1.0001,1.000100,0.000000,1.0000,
2019-12-09,1.0055,1.0055,1.005500,0.000000,1.0000,
2019-12-10,1.0030,1.0030,1.003000,0.000000,1.0000,
2019-12-11,1.0064,1.0064,1.006400,0.000000,1.0000,
2019-12-12,1.0052,1.0052,1.005200,0.000000,1.0000,
2019-12-13,1.0175,1.0175,1.017500,0.000000,1.0000,
2019-12-16,1.0167,1.0167,1.016700,0.000000,1.0000,
2019-12-17,1.0270,1.0270,1.027000,0.000000,1.0000,
2019-12-18,1.0248,1.0248,1.024800,0.000000,1.0000,
2019-12-19,1.0255,1.0255,1.025500,0.000000,1.0000,
2019-12-20,1.0237,1.0237,1.023700,0.000000,1.0000,
2019-12-23,1.0191,1.0191,1.019100,0.000000,1.0000,
2019-12-26,1.0208,1.0208,1.020800,0.000000,1.0000,
2019-12-27,1.0272,1.0272,1.027200,0.000000,1.0000,
2019-12-30,1.0321,1.0321,1.032100,0.000000,1.0000,
2019-12-31,1.0325,1.0325,1.032500,0.000000,1.0000,
2020-01-02,1.0454,1.0454,1.045400,0.000000,1.0000,
2020-01-03,1.0445,1.0445,1.044500,0.000000,1.0000,
2020-01-06,1.0378,1.0378,1.037800,0.000000,1.0000,
2020-01-07,1.0415,1.0415,1.041500,0.000000,1.0000,
2020-01-08,1.0260,1.0260,1.026000,0.000000,1.0000,
2020-01-09,1.0383,1.0383,1.038300,0.000000,1.0000,
2020-01-10,1.0372,1.0372,1.037200,0.000000,1.0000,
2020-01-13,1.0397,1.0397,1.039700,0.000000,1.0000,
2020-01-14,1.0369,1.0369,1.036900,0.000000,1.0000,
2020-01-15,1.0303,1.0303,1.030300,0.000000,1.0000,
2020-01-16,1.0255,1.0305,1.030500,0.005000,1.0000,每10份派现金0.0500元
2020-01-17,1.0291,1.0341,1.034118,0.000000,1.0000,
2020-01-20,1.0238,1.0288,1.028792,0.000000,1.0000,
2020-01-21,1.0017,1.0067,1.006584,0.000000,1.0000,
2020-01-22,1.0111,1.0161,1.016030,0.000000,1.0000,
2020-01-23,0.9879,0.9929,0.992717,0.000000,1.0000,
2020-02-03,0.9250,0.9300,0.929510,0.000000,1.0000,
2020-02-04,0.9431,0.9481,0.947698,0.000000,1.0000,
2020-02-05,0.9516,0.9566,0.956240,0.000000,1.0000,
2020-02-06,0.9728,0.9778,0.977543,0.000000,1.0000,
2020-02-07,0.9684,0.9734,0.973122,0.000000,1.0000,
2020-02-10,0.9718,0.9768,0.976538,0.000000,1.0000,
2020-02-11,0.9768,0.9818,0.981563,0.000000,1.0000,
2020-02-12,0.9809,0.9859,0.985683,0.000000,1.0000,
2020-02-13,0.9770,0.9820,0.981764,0.000000,1.0000,
2020-02-14,0.9802,0.9852,0.984979,0.000000,1.0000,
2020-02-17,0.9883,0.9933,0.993119,0.000000,1.0000,
2020-02-18,0.9823,0.9873,0.987089,0.000000,1.0000,
2020-02-19,0.9858,0.9908,0.990606,0.000000,1.0000,
2020-02-20,0.9894,0.9944,0.994224,0.000000,1.0000,
2020-02-21,0.9857,0.9907,0.990506,0.000000,1.0000,
2020-02-24,0.9727,0.9777,0.977443,0.000000,1.0000,
2020-02-25,0.9653,0.9703,0.970006,0.000000,1.0000,
2020-02-26,0.9657,0.9707,0.970408,0.000000,1.0000,
2020-02-27,0.9742,0.9792,0.978950,0.000000,1.0000,
2020-02-28,0.9498,0.9548,0.954431,0.000000,1.0000,
2020-03-02,0.9708,0.9758,0.975533,0.000000,1.0000,
2020-03-03,0.9707,0.9757,0.975433,0.000000,1.0000,
2020-03-04,0.9762,0.9812,0.980960,0.000000,1.0000,
2020-03-05,0.9869,0.9919,0.991712,0.000000,1.0000,
2020-03-06,0.9690,0.9740,0.973725,0.000000,1.0000,
2020-03-09,0.9353,0.9403,0.939860,0.000000,1.0000,
2020-03-10,0.9459,0.9509,0.950512,0.000000,1.0000,
2020-03-11,0.9425,0.9475,0.947095,0.000000,1.0000,
2020-03-12,0.9219,0.9269,0.926395,0.000000,1.0000,
2020-03-13,0.9122,0.9172,0.916648,0.000000,1.0000,
2020-03-16,0.8828,0.8878,0.887104,0.000000,1.0000,
2020-03-17,0.8787,0.8837,0.882984,0.000000,1.0000,
2020-03-18,0.8565,0.8615,0.860676,0.000000,1.0000,
2020-03-19,0.8361,0.8411,0.840177,0.000000,1.0000,
2020-03-20,0.8691,0.8741,0.873337,0.000000,1.0000,
2020-03-23,0.8401,0.8451,0.844196,0.000000,1.0000,
2020-03-24,0.8680,0.8730,0.872232,0.000000,1.0000,
2020-03-25,0.8916,0.8966,0.895947,0.000000,1.0000,
2020-03-26,0.8878,0.8928,0.892129,0.000000,1.0000,
2020-03-27,0.8932,0.8982,0.897555,0.000000,1.0000,
2020-03-30,0.8881,0.8931,0.892430,0.000000,1.0000,
2020-03-31,0.9012,0.9062,0.905594,0.000000,1.0000,
2020-04-01,0.8879,0.8929,0.892229,0.000000,1.0000,
2020-04-02,0.8925,0.8975,0.896852,0.000000,1.0000,
2020-04-03,0.8908,0.8958,0.895143,0.000000,1.0000,
2020-04-07,0.9136,0.9186,0.918054,0.000000,1.0000,
2020-04-08,0.9063,0.9113,0.910719,0.000000,1.0000,
2020-04-09,0.9148,0.9198,0.919260,0.000000,1.0000,
2020-04-10,0.9109,0.9159,0.915341,0.000000,1.0000,
2020-04-13,0.9105,0.9155,0.914939,0.000000,1.0000,
2020-04-14,0.9164,0.9214,0.920868,0.000000,1.0000,
2020-04-15,0.9077,0.9127,0.912126,0.000000,1.0000,
2020-04-16,0.9054,0.9104,0.909814,0.000000,1.0000,
2020-04-17,0.9144,0.9194,0.918858,0.000000,1.0000,
2020-04-20,0.9154,0.9204,0.919863,0.000000,1.0000,
2020-04-21,0.9051,0.9101,0.909513,0.000000,1.0000,
2020-04-22,0.9102,0.9152,0.914638,0.000000,1.0000,
2020-04-23,0.9098,0.9148,0.914236,0.000000,1.0000,
2020-04-24,0.9039,0.9089,0.908307,0.000000,1.0000,
2020-04-27,0.9176,0.9226,0.922074,0.000000,1.0000,
2020-04-28,0.9206,0.9256,0.925089,0.000000,1.0000,
2020-04-29,0.9281,0.9331,0.932625,0.000000,1.0000,
2020-04-30,0.9312,0.9362,0.935740,0.000000,1.0000,
2020-05-06,0.9199,0.9249,0.924385,0.000000,1.0000,
2020-05-07,0.9177,0.9227,0.922174,0.000000,1.0000,
2020-05-08,0.9254,0.9304,0.929912,0.000000,1.0000,
2020-05-11,0.9303,0.9353,0.934836,0.000000,1.0000,
2020-05-12,0.9230,0.9280,0.927500,0.000000,1.0000,
2020-05-13,0.9211,0.9261,0.925591,0.000000,1.0000,
2020-05-14,0.9093,0.9143,0.913733,0.000000,1.0000,
2020-05-15,0.9087,0.9137,0.913131,0.000000,1.0000,
2020-05-18,0.9132,0.9182,0.917652,0.000000,1.0000,
2020-05-19,0.9242,0.9292,0.928706,0.000000,1.0000,
2020-05-20,0.9199,0.9249,0.924385,0.000000,1.0000,
2020-05-21,0.9156,0.9206,0.920064,0.000000,1.0000,
2020-05-22,0.8896,0.8946,0.893937,0.000000,1.0000,
2020-05-25,0.8939,0.8989,0.898258,0.000000,1.0000,
2020-05-26,0.9011,0.9061,0.905493,0.000000,1.0000,
2020-05-27,0.9013,0.9063,0.905694,0.000000,1.0000,
2020-05-28,0.9033,0.9083,0.907704,0.000000,1.0000,
2020-05-29,0.9047,0.9097,0.909111,0.000000,1.0000,
2020-06-01,0.9221,0.9271,0.926596,0.000000,1.0000,
2020-06-02,0.9255,0.9305,0.930012,0.000000,1.0000,
2020-06-03,0.9275,0.9325,0.932022,0.000000,1.0000,
2020-06-04,0.9270,0.9320,0.931520,0.000000,1.0000,
2020-06-05,0.9341,0.9391,0.938654,0.000000,1.0000,
2020-06-08,0.9343,0.9393,0.938855,0.000000,1.0000,
2020-06-09,0.9389,0.9439,0.943478,0.000000,1.0000,
2020-06-10,0.9365,0.9415,0.941066,0.000000,1.0000,
2020-06-11,0.9201,0.9251,0.924586,0.000000,1.0000,
2020-06-12,0.9172,0.9222,0.921672,0.000000,1.0000,
2020-06-15,0.9105,0.9155,0.914939,0.000000,1.0000,
2020-06-16,0.9191,0.9241,0.923581,0.000000,1.0000,
2020-06-17,0.9228,0.9278,0.927299,0.000000,1.0000,
2020-06-18,0.9236,0.9286,0.928103,0.000000,1.0000,
2020-06-19,0.9254,0.9304,0.929912,0.000000,1.0000,
2020-06-22,0.9214,0.9264,0.925892,0.000000,1.0000,
2020-06-23,0.9196,0.9246,0.924084,0.000000,1.0000,
2020-06-24,0.9219,0.9269,0.926395,0.000000,1.0000,
2020-06-29,0.9163,0.9213,0.920768,0.000000,1.0000,
2020-06-30,0.9239,0.9289,0.928405,0.000000,1.0000,
2020-07-01,0.9402,0.9452,0.944784,0.000000,1.0000,
2020-07-02,0.9641,0.9691,0.968801,0.000000,1.0000,
2020-07-03,0.9803,0.9853,0.985080,0.000000,1.0000,
2020-07-06,1.0393,1.0443,1.044367,0.000000,1.0000,
2020-07-07,1.0347,1.0397,1.039745,0.000000,1.0000,
2020-07-08,1.0465,1.0515,1.051602,0.000000,1.0000,
2020-07-09,1.0586,1.0636,1.063761,0.000000,1.0000,
2020-07-10,1.0360,1.0410,1.041051,0.000000,1.0000,
2020-07-13,1.0506,1.0556,1.055722,0.000000,1.0000,
2020-07-14,1.0414,1.0464,1.046478,0.000000,1.0000,
2020-07-15,1.0221,1.0271,1.027083,0.000000,1.0000,
2020-07-16,0.9965,1.0015,1.001359,0.000000,1.0000,
2020-07-17,0.9948,0.9998,0.999650,0.000000,1.0000,
2020-07-20,1.0266,1.0316,1.031605,0.000000,1.0000,
2020-07-21,1.0221,1.0271,1.027083,0.000000,1.0000,
2020-07-22,1.0187,1.0237,1.023667,0.000000,1.0000,
2020-07-23,1.0131,1.0181,1.018040,0.000000,1.0000,
2020-07-24,0.9863,0.9913,0.991109,0.000000,1.0000,
2020-07-27,0.9837,0.9887,0.988496,0.000000,1.0000,
2020-07-28,0.9865,0.9915,0.991310,0.000000,1.0000,
