date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2020-03-26,1.0000,1.0000,1.000000,0.000000,1.0000,
2020-03-27,1.0000,1.0000,1.000000,0.000000,1.0000,
2020-04-03,1.0009,1.0009,1.000900,0.000000,1.0000,
2020-04-10,1.0020,1.0020,1.002000,0.000000,1.0000,
2020-04-17,0.9952,0.9952,0.995200,0.000000,1.0000,
2020-04-20,1.0005,1.0005,1.000500,0.000000,1.0000,
2020-04-21,0.9966,0.9966,0.996600,0.000000,1.0000,
2020-04-22,1.0281,1.0281,1.028100,0.000000,1.0000,
2020-04-23,1.0345,1.0345,1.034500,0.000000,1.0000,
2020-04-24,1.0227,1.0227,1.022700,0.000000,1.0000,
2020-04-27,1.0256,1.0256,1.025600,0.000000,1.0000,
2020-04-28,1.0389,1.0389,1.038900,0.000000,1.0000,
2020-04-29,1.0144,1.0144,1.014400,0.000000,1.0000,
2020-04-30,1.0107,1.0107,1.010700,0.000000,1.0000,
2020-05-06,1.0222,1.0222,1.022200,0.000000,1.0000,
2020-05-07,1.0335,1.0335,1.033500,0.000000,1.0000,
2020-05-08,1.0411,1.0411,1.041100,0.000000,1.0000,
2020-05-11,1.0326,1.0326,1.032600,0.000000,1.0000,
2020-05-12,1.0392,1.0392,1.039200,0.000000,1.0000,
2020-05-13,1.0588,1.0588,1.058800,0.000000,1.0000,
2020-05-14,1.0447,1.0447,1.044700,0.000000,1.0000,
2020-05-15,1.0369,1.0369,1.036900,0.000000,1.0000,
2020-05-18,1.0621,1.0621,1.062100,0.000000,1.0000,
2020-05-19,1.0669,1.0669,1.066900,0.000000,1.0000,
2020-05-20,1.0554,1.0554,1.055400,0.000000,1.0000,
2020-05-21,1.0475,1.0475,1.047500,0.000000,1.0000,
2020-05-22,1.0295,1.0295,1.029500,0.000000,1.0000,
2020-05-25,1.0491,1.0491,1.049100,0.000000,1.0000,
2020-05-26,1.0626,1.0626,1.062600,0.000000,1.0000,
2020-05-27,1.0581,1.0581,1.058100,0.000000,1.0000,
2020-05-28,1.0569,1.0569,1.056900,0.000000,1.0000,
2020-05-29,1.0678,1.0678,1.067800,0.000000,1.0000,
