date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2024-07-02,1.0000,1.0000,1.000000,0.000000,1.0000,
2024-07-05,0.9981,0.9981,0.998100,0.000000,1.0000,
2024-07-10,0.9907,0.9907,0.990700,0.000000,1.0000,
2024-07-11,1.0036,1.0036,1.003600,0.000000,1.0000,
2024-07-12,0.9985,0.9985,0.998500,0.000000,1.0000,
2024-07-15,1.0047,1.0047,1.004700,0.000000,1.0000,
2024-07-16,1.0059,1.0059,1.005900,0.000000,1.0000,
2024-07-17,0.9971,0.9971,0.997100,0.000000,1.0000,
2024-07-18,1.0070,1.0070,1.007000,0.000000,1.0000,
2024-07-19,1.0011,1.0011,1.001100,0.000000,1.0000,
2024-07-22,0.9920,0.9920,0.992000,0.000000,1.0000,
2024-07-23,0.9793,0.9793,0.979300,0.000000,1.0000,
2024-07-24,0.9833,0.9833,0.983300,0.000000,1.0000,
2024-07-25,0.9777,0.9777,0.977700,0.000000,1.0000,
2024-07-26,0.9806,0.9806,0.980600,0.000000,1.0000,
2024-07-29,0.9835,0.9835,0.983500,0.000000,1.0000,
2024-07-30,0.9779,0.9779,0.977900,0.000000,1.0000,
2024-07-31,0.9908,0.9908,0.990800,0.000000,1.0000,
2024-08-01,0.9926,0.9926,0.992600,0.000000,1.0000,
2024-08-02,0.9853,0.9853,0.985300,0.000000,1.0000,
2024-08-05,0.9700,0.9700,0.970000,0.000000,1.0000,
2024-08-06,0.9695,0.9695,0.969500,0.000000,1.0000,
2024-08-07,0.9724,0.9724,0.972400,0.000000,1.0000,
2024-08-08,0.9723,0.9723,0.972300,0.000000,1.0000,
2024-08-09,0.9717,0.9717,0.971700,0.000000,1.0000,
2024-08-12,0.9693,0.9693,0.969300,0.000000,1.0000,
2024-08-13,0.9734,0.9734,0.973400,0.000000,1.0000,
2024-08-14,0.9685,0.9685,0.968500,0.000000,1.0000,
2024-08-15,0.9790,0.9790,0.979000,0.000000,1.0000,
2024-08-16,0.9742,0.9742,0.974200,0.000000,1.0000,
2024-08-19,0.9842,0.9842,0.984200,0.000000,1.0000,
2024-08-20,0.9714,0.9714,0.971400,0.000000,1.0000,
2024-08-21,0.9677,0.9677,0.967700,0.000000,1.0000,
2024-08-22,0.9687,0.9687,0.968700,0.000000,1.0000,
2024-08-23,0.9716,0.9716,0.971600,0.000000,1.0000,
2024-08-26,0.9710,0.9710,0.971000,0.000000,1.0000,
2024-08-27,0.9679,0.9679,0.967900,0.000000,1.0000,
2024-08-28,0.9633,0.9633,0.963300,0.000000,1.0000,
2024-08-29,0.9512,0.9512,0.951200,0.000000,1.0000,
2024-08-30,0.9543,0.9543,0.954300,0.000000,1.0000,
2024-09-02,0.9489,0.9489,0.948900,0.000000,1.0000,
2024-09-03,0.9392,0.9392,0.939200,0.000000,1.0000,
2024-09-04,0.9294,0.9294,0.929400,0.000000,1.0000,
2024-09-05,0.9278,0.9278,0.927800,0.000000,1.0000,
2024-09-06,0.9191,0.9191,0.919100,0.000000,1.0000,
2024-09-09,0.9059,0.9059,0.905900,0.000000,1.0000,
2024-09-10,0.9037,0.9037,0.903700,0.000000,1.0000,
