date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2025-03-28,0.9998,0.9998,0.999800,0.000000,1.0000,
2025-04-03,1.0057,1.0057,1.005700,0.000000,1.0000,
2025-04-08,0.9720,0.9720,0.972000,0.000000,1.0000,
2025-04-09,0.9764,0.9764,0.976400,0.000000,1.0000,
2025-04-10,0.9881,0.9881,0.988100,0.000000,1.0000,
2025-04-11,0.9841,0.9841,0.984100,0.000000,1.0000,
2025-04-14,0.9926,0.9926,0.992600,0.000000,1.0000,
2025-04-15,0.9982,0.9982,0.998200,0.000000,1.0000,
2025-04-16,1.0006,1.0006,1.000600,0.000000,1.0000,
2025-04-17,1.0043,1.0043,1.004300,0.000000,1.0000,
2025-04-18,1.0078,1.0078,1.007800,0.000000,1.0000,
2025-04-21,1.0046,1.0046,1.004600,0.000000,1.0000,
2025-04-22,1.0100,1.0100,1.010000,0.000000,1.0000,
2025-04-23,1.0063,1.0063,1.006300,0.000000,1.0000,
2025-04-24,1.0127,1.0127,1.012700,0.000000,1.0000,
2025-04-25,1.0102,1.0102,1.010200,0.000000,1.0000,
2025-04-28,1.0055,1.0055,1.005500,0.000000,1.0000,
2025-04-29,1.0040,1.0040,1.004000,0.000000,1.0000,
2025-04-30,0.9958,0.9958,0.995800,0.000000,1.0000,
2025-05-06,1.0026,1.0026,1.002600,0.000000,1.0000,
2025-05-07,1.0126,1.0126,1.012600,0.000000,1.0000,
2025-05-08,1.0169,1.0169,1.016900,0.000000,1.0000,
2025-05-09,1.0209,1.0209,1.020900,0.000000,1.0000,
2025-05-12,1.0234,1.0234,1.023400,0.000000,1.0000,
2025-05-13,1.0283,1.0283,1.028300,0.000000,1.0000,
2025-05-14,1.0335,1.0335,1.033500,0.000000,1.0000,
2025-05-15,1.0307,1.0307,1.030700,0.000000,1.0000,
2025-05-16,1.0279,1.0279,1.027900,0.000000,1.0000,
2025-05-19,1.0332,1.0332,1.033200,0.000000,1.0000,
2025-05-20,1.0383,1.0383,1.038300,0.000000,1.0000,
2025-05-21,1.0493,1.0493,1.049300,0.000000,1.0000,
2025-05-22,1.0448,1.0448,1.044800,0.000000,1.0000,
2025-05-23,1.0394,1.0394,1.039400,0.000000,1.0000,
2025-05-26,1.0376,1.0376,1.037600,0.000000,1.0000,
2025-05-27,1.0360,1.0360,1.036000,0.000000,1.0000,
2025-05-28,1.0461,1.0461,1.046100,0.000000,1.0000,
2025-05-29,1.0470,1.0470,1.047000,0.000000,1.0000,
2025-05-30,1.0437,1.0437,1.043700,0.000000,1.0000,
2025-06-03,1.0492,1.0492,1.049200,0.000000,1.0000,
2025-06-04,1.0555,1.0555,1.055500,0.000000,1.0000,
