date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2024-04-16,1.0000,1.0000,1.000000,0.000000,1.0000,
2024-04-19,1.0065,1.0065,1.006500,0.000000,1.0000,
2024-04-24,0.9842,0.9842,0.984200,0.000000,1.0000,
2024-04-25,0.9910,0.9910,0.991000,0.000000,1.0000,
2024-04-26,0.9883,0.9883,0.988300,0.000000,1.0000,
2024-04-29,0.9918,0.9918,0.991800,0.000000,1.0000,
2024-04-30,0.9924,0.9924,0.992400,0.000000,1.0000,
2024-05-06,1.0057,1.0057,1.005700,0.000000,1.0000,
2024-05-07,1.0021,1.0021,1.002100,0.000000,1.0000,
2024-05-08,0.9969,0.9969,0.996900,0.000000,1.0000,
2024-05-09,1.0071,1.0071,1.007100,0.000000,1.0000,
2024-05-10,1.0106,1.0106,1.010600,0.000000,1.0000,
2024-05-13,1.0151,1.0151,1.015100,0.000000,1.0000,
2024-05-14,1.0119,1.0119,1.011900,0.000000,1.0000,
2024-05-15,1.0081,1.0081,1.008100,0.000000,1.0000,
2024-05-16,1.0095,1.0095,1.009500,0.000000,1.0000,
2024-05-17,1.0206,1.0206,1.020600,0.000000,1.0000,
2024-05-20,1.0235,1.0235,1.023500,0.000000,1.0000,
2024-05-21,1.0227,1.0227,1.022700,0.000000,1.0000,
2024-05-22,1.0239,1.0239,1.023900,0.000000,1.0000,
2024-05-23,1.0093,1.0093,1.009300,0.000000,1.0000,
2024-05-24,1.0093,1.0093,1.009300,0.000000,1.0000,
2024-05-27,1.0202,1.0202,1.020200,0.000000,1.0000,
2024-05-28,1.0129,1.0129,1.012900,0.000000,1.0000,
2024-05-29,1.0136,1.0136,1.013600,0.000000,1.0000,
2024-05-30,1.0092,1.0092,1.009200,0.000000,1.0000,
2024-05-31,1.0067,1.0067,1.006700,0.000000,1.0000,
2024-06-03,0.9947,0.9947,0.994700,0.000000,1.0000,
2024-06-04,1.0020,1.0020,1.002000,0.000000,1.0000,
2024-06-05,0.9884,0.9884,0.988400,0.000000,1.0000,
2024-06-06,0.9831,0.9831,0.983100,0.000000,1.0000,
2024-06-07,0.9943,0.9943,0.994300,0.000000,1.0000,
2024-06-11,0.9802,0.9802,0.980200,0.000000,1.0000,
2024-06-12,0.9812,0.9812,0.981200,0.000000,1.0000,
2024-06-13,0.9688,0.9688,0.968800,0.000000,1.0000,
2024-06-14,0.9732,0.9732,0.973200,0.000000,1.0000,
2024-06-17,0.9646,0.9646,0.964600,0.000000,1.0000,
2024-06-18,0.9696,0.9696,0.969600,0.000000,1.0000,
2024-06-19,0.9651,0.9651,0.965100,0.000000,1.0000,
2024-06-20,0.9587,0.9587,0.958700,0.000000,1.0000,
2024-06-21,0.9598,0.9598,0.959800,0.000000,1.0000,
2024-06-24,0.9494,0.9494,0.949400,0.000000,1.0000,
2024-06-25,0.9540,0.9540,0.954000,0.000000,1.0000,
2024-06-26,0.9599,0.9599,0.959900,0.000000,1.0000,
2024-06-27,0.9554,0.9554,0.955400,0.000000,1.0000,
2024-06-28,0.9602,0.9602,0.960200,0.000000,1.0000,
2024-06-30,0.9602,0.9602,0.960200,0.000000,1.0000,
2024-07-01,0.9752,0.9752,0.975200,0.000000,1.0000,
2024-07-02,0.9781,0.9781,0.978100,0.000000,1.0000,
2024-07-03,0.9754,0.9754,0.975400,0.000000,1.0000,
2024-07-04,0.9673,0.9673,0.967300,0.000000,1.0000,
2024-07-05,0.9640,0.9640,0.964000,0.000000,1.0000,
2024-07-08,0.9563,0.9563,0.956300,0.000000,1.0000,
2024-07-09,0.9661,0.9661,0.966100,0.000000,1.0000,
2024-07-10,0.9573,0.9573,0.957300,0.000000,1.0000,
2024-07-11,0.9651,0.9651,0.965100,0.000000,1.0000,
2024-07-12,0.9677,0.9677,0.967700,0.000000,1.0000,
2024-07-15,0.9718,0.9718,0.971800,0.000000,1.0000,
2024-07-16,0.9683,0.9683,0.968300,0.000000,1.0000,
2024-07-17,0.9703,0.9703,0.970300,0.000000,1.0000,
2024-07-18,0.9734,0.9734,0.973400,0.000000,1.0000,
2024-07-19,0.9688,0.9688,0.968800,0.000000,1.0000,
2024-07-22,0.9594,0.9594,0.959400,0.000000,1.0000,
2024-07-23,0.9502,0.9502,0.950200,0.000000,1.0000,
2024-07-24,0.9497,0.9497,0.949700,0.000000,1.0000,
2024-07-25,0.9500,0.9500,0.950000,0.000000,1.0000,
2024-07-26,0.9508,0.9508,0.950800,0.000000,1.0000,
2024-07-29,0.9526,0.9526,0.952600,0.000000,1.0000,
2024-07-30,0.9509,0.9509,0.950900,0.000000,1.0000,
2024-07-31,0.9641,0.9641,0.964100,0.000000,1.0000,
2024-08-01,0.9625,0.9625,0.962500,0.000000,1.0000,
2024-08-02,0.9592,0.9592,0.959200,0.000000,1.0000,
2024-08-05,0.9509,0.9509,0.950900,0.000000,1.0000,
2024-08-06,0.9509,0.9509,0.950900,0.000000,1.0000,
2024-08-07,0.9508,0.9508,0.950800,0.000000,1.0000,
2024-08-08,0.9568,0.9568,0.956800,0.000000,1.0000,
2024-08-09,0.9544,0.9544,0.954400,0.000000,1.0000,
2024-08-12,0.9526,0.9526,0.952600,0.000000,1.0000,
2024-08-13,0.9554,0.9554,0.955400,0.000000,1.0000,
2024-08-14,0.9482,0.9482,0.948200,0.000000,1.0000,
2024-08-15,0.9565,0.9565,0.956500,0.000000,1.0000,
2024-08-16,0.9547,0.9547,0.954700,0.000000,1.0000,
2024-08-19,0.9626,0.9626,0.962600,0.000000,1.0000,
2024-08-20,0.9532,0.9532,0.953200,0.000000,1.0000,
2024-08-21,0.9457,0.9457,0.945700,0.000000,1.0000,
2024-08-22,0.9441,0.9441,0.944100,0.000000,1.0000,
2024-08-23,0.9462,0.9462,0.946200,0.000000,1.0000,
2024-08-26,0.9474,0.9474,0.947400,0.000000,1.0000,
2024-08-27,0.9455,0.9455,0.945500,0.000000,1.0000,
2024-08-28,0.9410,0.9410,0.941000,0.000000,1.0000,
2024-08-29,0.9289,0.9289,0.928900,0.000000,1.0000,
2024-08-30,0.9312,0.9312,0.931200,0.000000,1.0000,
2024-09-02,0.9277,0.9277,0.927700,0.000000,1.0000,
2024-09-03,0.9244,0.9244,0.924400,0.000000,1.0000,
2024-09-04,0.9194,0.9194,0.919400,0.000000,1.0000,
2024-09-05,0.9211,0.9211,0.921100,0.000000,1.0000,
2024-09-06,0.9150,0.9150,0.915000,0.000000,1.0000,
2024-09-09,0.9030,0.9030,0.903000,0.000000,1.0000,
2024-09-10,0.9015,0.9015,0.901500,0.000000,1.0000,
2024-09-11,0.8874,0.8874,0.887400,0.000000,1.0000,
2024-09-12,0.8876,0.8876,0.887600,0.000000,1.0000,
2024-09-13,0.8861,0.8861,0.886100,0.000000,1.0000,
2024-09-18,0.8938,0.8938,0.893800,0.000000,1.0000,
2024-09-19,0.8840,0.8980,0.898000,0.014000,1.0000,每10份派现金0.1400元
2024-09-20,0.8825,0.8965,0.896476,0.000000,1.0000,
2024-09-23,0.8885,0.9025,0.902571,0.000000,1.0000,
2024-09-24,0.9229,0.9369,0.937516,0.000000,1.0000,
2024-09-25,0.9387,0.9527,0.953566,0.000000,1.0000,
2024-09-26,0.9752,0.9892,0.990644,0.000000,1.0000,
2024-09-27,0.9905,1.0045,1.006187,0.000000,1.0000,
2024-09-30,1.0552,1.0692,1.071911,0.000000,1.0000,
2024-10-08,1.0781,1.0921,1.095174,0.000000,1.0000,
2024-10-09,0.9994,1.0134,1.015228,0.000000,1.0000,
2024-10-10,1.0271,1.0411,1.043366,0.000000,1.0000,
2024-10-11,1.0129,1.0269,1.028941,0.000000,1.0000,
2024-10-14,1.0404,1.0544,1.056877,0.000000,1.0000,
2024-10-15,1.0165,1.0305,1.032598,0.000000,1.0000,
2024-10-16,1.0334,1.0474,1.049766,0.000000,1.0000,
2024-10-17,1.0164,1.0304,1.032497,0.000000,1.0000,
2024-10-18,1.0277,1.0417,1.043976,0.000000,1.0000,
2024-10-21,1.0202,1.0342,1.036357,0.000000,1.0000,
2024-10-22,1.0273,1.0413,1.043569,0.000000,1.0000,
2024-10-23,1.0319,1.0459,1.048242,0.000000,1.0000,
2024-10-24,1.0263,1.0403,1.042554,0.000000,1.0000,
2024-10-25,1.0297,1.0437,1.046007,0.000000,1.0000,
2024-10-28,1.0370,1.0510,1.053423,0.000000,1.0000,
2024-10-29,1.0212,1.0352,1.037373,0.000000,1.0000,
2024-10-30,1.0151,1.0291,1.031176,0.000000,1.0000,
2024-10-31,1.0172,1.0312,1.033310,0.000000,1.0000,
2024-11-01,1.0219,1.0359,1.038084,0.000000,1.0000,
2024-11-04,1.0328,1.0468,1.049157,0.000000,1.0000,
2024-11-05,1.0502,1.0642,1.066832,0.000000,1.0000,
2024-11-06,1.0476,1.0616,1.064191,0.000000,1.0000,
