date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2025-01-22,1.0000,1.0000,1.000000,0.000000,1.0000,
2025-01-24,1.0003,1.0003,1.000300,0.000000,1.0000,
2025-01-27,1.0006,1.0006,1.000600,0.000000,1.0000,
2025-02-07,1.0076,1.0076,1.007600,0.000000,1.0000,
2025-02-11,1.0122,1.0122,1.012200,0.000000,1.0000,
2025-02-12,1.0110,1.0110,1.011000,0.000000,1.0000,
2025-02-13,1.0061,1.0061,1.006100,0.000000,1.0000,
2025-02-14,1.0073,1.0073,1.007300,0.000000,1.0000,
2025-02-17,1.0070,1.0070,1.007000,0.000000,1.0000,
2025-02-18,0.9986,0.9986,0.998600,0.000000,1.0000,
2025-02-19,1.0046,1.0046,1.004600,0.000000,1.0000,
2025-02-20,0.9985,0.9985,0.998500,0.000000,1.0000,
2025-02-21,0.9985,0.9985,0.998500,0.000000,1.0000,
2025-02-24,0.9998,0.9998,0.999800,0.000000,1.0000,
2025-02-25,0.9869,0.9869,0.986900,0.000000,1.0000,
2025-02-26,0.9956,0.9956,0.995600,0.000000,1.0000,
2025-02-27,0.9926,0.9926,0.992600,0.000000,1.0000,
2025-02-28,0.9836,0.9836,0.983600,0.000000,1.0000,
2025-03-03,0.9847,0.9847,0.984700,0.000000,1.0000,
2025-03-04,0.9878,0.9878,0.987800,0.000000,1.0000,
2025-03-05,0.9939,0.9939,0.993900,0.000000,1.0000,
2025-03-06,0.9973,0.9973,0.997300,0.000000,1.0000,
2025-03-07,0.9994,0.9994,0.999400,0.000000,1.0000,
2025-03-10,0.9946,0.9946,0.994600,0.000000,1.0000,
2025-03-11,1.0007,1.0007,1.000700,0.000000,1.0000,
2025-03-12,1.0030,1.0030,1.003000,0.000000,1.0000,
2025-03-13,1.0065,1.0065,1.006500,0.000000,1.0000,
2025-03-14,1.0149,1.0149,1.014900,0.000000,1.0000,
2025-03-17,1.0161,1.0161,1.016100,0.000000,1.0000,
2025-03-18,1.0207,1.0207,1.020700,0.000000,1.0000,
2025-03-19,1.0171,1.0171,1.017100,0.000000,1.0000,
2025-03-20,1.0190,1.0190,1.019000,0.000000,1.0000,
2025-03-21,1.0169,1.0169,1.016900,0.000000,1.0000,
2025-03-24,1.0205,1.0205,1.020500,0.000000,1.0000,
2025-03-25,1.0242,1.0242,1.024200,0.000000,1.0000,
2025-03-26,1.0235,1.0235,1.023500,0.000000,1.0000,
2025-03-27,1.0187,1.0187,1.018700,0.000000,1.0000,
2025-03-28,1.0122,1.0122,1.012200,0.000000,1.0000,
2025-03-31,1.0054,1.0054,1.005400,0.000000,1.0000,
2025-04-01,1.0104,1.0104,1.010400,0.000000,1.0000,
2025-04-02,1.0100,1.0100,1.010000,0.000000,1.0000,
2025-04-03,1.0083,1.0083,1.008300,0.000000,1.0000,
2025-04-07,0.9347,0.9347,0.934700,0.000000,1.0000,
2025-04-08,0.9580,0.9580,0.958000,0.000000,1.0000,
2025-04-09,0.9773,0.9773,0.977300,0.000000,1.0000,
2025-04-10,0.9887,0.9887,0.988700,0.000000,1.0000,
2025-04-11,0.9825,0.9825,0.982500,0.000000,1.0000,
2025-04-14,0.9895,0.9895,0.989500,0.000000,1.0000,
2025-04-15,0.9915,0.9915,0.991500,0.000000,1.0000,
2025-04-16,0.9982,0.9982,0.998200,0.000000,1.0000,
2025-04-17,0.9997,0.9997,0.999700,0.000000,1.0000,
2025-04-18,0.9954,0.9954,0.995400,0.000000,1.0000,
2025-04-21,0.9963,0.9963,0.996300,0.000000,1.0000,
