date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2021-12-20,1.0000,1.0000,1.000000,0.000000,1.0000,
2021-12-21,1.0001,1.0001,1.000100,0.000000,1.0000,
2021-12-24,1.0068,1.0068,1.006800,0.000000,1.0000,
2021-12-27,1.0052,1.0052,1.005200,0.000000,1.0000,
2021-12-28,1.0039,1.0039,1.003900,0.000000,1.0000,
2021-12-29,0.9806,0.9806,0.980600,0.000000,1.0000,
2021-12-30,0.9918,0.9918,0.991800,0.000000,1.0000,
2021-12-31,1.0014,1.0014,1.001400,0.000000,1.0000,
2022-01-04,0.9984,0.9984,0.998400,0.000000,1.0000,
2022-01-05,0.9797,0.9797,0.979700,0.000000,1.0000,
2022-01-06,0.9768,0.9768,0.976800,0.000000,1.0000,
2022-01-07,0.9701,0.9701,0.970100,0.000000,1.0000,
2022-01-10,0.9797,0.9797,0.979700,0.000000,1.0000,
2022-01-11,0.9681,0.9681,0.968100,0.000000,1.0000,
2022-01-12,0.9749,0.9749,0.974900,0.000000,1.0000,
2022-01-13,0.9544,0.9544,0.954400,0.000000,1.0000,
2022-01-14,0.9623,0.9623,0.962300,0.000000,1.0000,
2022-01-17,0.9672,0.9672,0.967200,0.000000,1.0000,
2022-01-18,0.9652,0.9652,0.965200,0.000000,1.0000,
2022-01-19,0.9536,0.9536,0.953600,0.000000,1.0000,
2022-01-20,0.9592,0.9592,0.959200,0.000000,1.0000,
2022-01-21,0.9478,0.9478,0.947800,0.000000,1.0000,
2022-01-24,0.9469,0.9469,0.946900,0.000000,1.0000,
2022-01-25,0.9199,0.9199,0.919900,0.000000,1.0000,
2022-01-26,0.9209,0.9209,0.920900,0.000000,1.0000,
2022-01-27,0.9035,0.9035,0.903500,0.000000,1.0000,
2022-01-28,0.8892,0.8892,0.889200,0.000000,1.0000,
2022-02-07,0.9064,0.9064,0.906400,0.000000,1.0000,
2022-02-08,0.9061,0.9061,0.906100,0.000000,1.0000,
2022-02-09,0.9281,0.9281,0.928100,0.000000,1.0000,
2022-02-10,0.9322,0.9322,0.932200,0.000000,1.0000,
2022-02-11,0.9179,0.9179,0.917900,0.000000,1.0000,
2022-02-14,0.9108,0.9108,0.910800,0.000000,1.0000,
2022-02-15,0.9278,0.9278,0.927800,0.000000,1.0000,
2022-02-16,0.9308,0.9308,0.930800,0.000000,1.0000,
2022-02-17,0.9267,0.9267,0.926700,0.000000,1.0000,
2022-02-18,0.9379,0.9379,0.937900,0.000000,1.0000,
2022-02-21,0.9404,0.9404,0.940400,0.000000,1.0000,
2022-02-22,0.9249,0.9249,0.924900,0.000000,1.0000,
2022-02-23,0.9347,0.9347,0.934700,0.000000,1.0000,
2022-02-24,0.9144,0.9144,0.914400,0.000000,1.0000,
2022-02-25,0.9285,0.9285,0.928500,0.000000,1.0000,
2022-02-28,0.9352,0.9352,0.935200,0.000000,1.0000,
2022-03-01,0.9384,0.9384,0.938400,0.000000,1.0000,
2022-03-02,0.9367,0.9367,0.936700,0.000000,1.0000,
2022-03-03,0.9275,0.9275,0.927500,0.000000,1.0000,
2022-03-04,0.9239,0.9239,0.923900,0.000000,1.0000,
2022-03-07,0.9005,0.9005,0.900500,0.000000,1.0000,
2022-03-08,0.8696,0.8696,0.869600,0.000000,1.0000,
2022-03-09,0.8628,0.8628,0.862800,0.000000,1.0000,
2022-03-10,0.8879,0.8879,0.887900,0.000000,1.0000,
2022-03-11,0.9061,0.9061,0.906100,0.000000,1.0000,
2022-03-14,0.8784,0.8784,0.878400,0.000000,1.0000,
2022-03-15,0.8355,0.8355,0.835500,0.000000,1.0000,
2022-03-16,0.8528,0.8528,0.852800,0.000000,1.0000,
2022-03-17,0.8787,0.8787,0.878700,0.000000,1.0000,
2022-03-18,0.8879,0.8879,0.887900,0.000000,1.0000,
2022-03-21,0.8946,0.8946,0.894600,0.000000,1.0000,
2022-03-22,0.8893,0.8893,0.889300,0.000000,1.0000,
2022-03-23,0.8984,0.8984,0.898400,0.000000,1.0000,
2022-03-24,0.8949,0.8949,0.894900,0.000000,1.0000,
2022-03-25,0.8826,0.8826,0.882600,0.000000,1.0000,
2022-03-28,0.8882,0.8882,0.888200,0.000000,1.0000,
2022-03-29,0.8917,0.8917,0.891700,0.000000,1.0000,
2022-03-30,0.9032,0.9032,0.903200,0.000000,1.0000,
2022-03-31,0.9032,0.9032,0.903200,0.000000,1.0000,
2022-04-01,0.9139,0.9139,0.913900,0.000000,1.0000,
2022-04-06,0.9103,0.9103,0.910300,0.000000,1.0000,
