date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2012-02-14,10.5243,10.5243,10.524286,0.000000,1.0000,Yahoo前复权
2012-02-15,10.6638,10.6638,10.663830,0.000000,1.0000,Yahoo前复权
2012-02-16,10.6528,10.6528,10.652826,0.000000,1.0000,Yahoo前复权
2012-02-17,10.7959,10.7959,10.795893,0.000000,1.0000,Yahoo前复权
2012-02-20,10.7739,10.7739,10.773882,0.000000,1.0000,Yahoo前复权
2012-02-21,10.7629,10.7629,10.762875,0.000000,1.0000,Yahoo前复权
2012-02-22,10.7299,10.7299,10.729861,0.000000,1.0000,Yahoo前复权
2012-02-23,10.7849,10.7849,10.784887,0.000000,1.0000,Yahoo前复权
2012-02-24,10.7959,10.7959,10.795893,0.000000,1.0000,Yahoo前复权
2012-02-27,10.7299,10.7299,10.729861,0.000000,1.0000,Yahoo前复权
2012-02-28,10.8069,10.8069,10.806896,0.000000,1.0000,Yahoo前复权
2012-02-29,10.8839,10.8839,10.883932,0.000000,1.0000,Yahoo前复权
2012-03-01,10.8949,10.8949,10.894935,0.000000,1.0000,Yahoo前复权
2012-03-02,10.9720,10.9720,10.971970,0.000000,1.0000,Yahoo前复权
2012-03-05,10.9280,10.9280,10.927952,0.000000,1.0000,Yahoo前复权
2012-03-06,10.8069,10.8069,10.806896,0.000000,1.0000,Yahoo前复权
2012-03-07,10.7299,10.7299,10.729861,0.000000,1.0000,Yahoo前复权
2012-03-08,10.8016,10.8016,10.801612,0.000000,1.0000,Yahoo前复权
2012-03-09,10.8949,10.8949,10.894935,0.000000,1.0000,Yahoo前复权
2012-03-12,10.8211,10.8211,10.821091,0.000000,1.0000,Yahoo前复权
2012-03-13,10.9169,10.9169,10.916947,0.000000,1.0000,Yahoo前复权
2012-03-14,10.9761,10.9761,10.976096,0.000000,1.0000,Yahoo前复权
2012-03-15,10.9273,10.9273,10.927294,0.000000,1.0000,Yahoo前复权
2012-03-16,10.9390,10.9390,10.938956,0.000000,1.0000,Yahoo前复权
2012-03-20,10.8179,10.8179,10.817903,0.000000,1.0000,Yahoo前复权
2012-03-21,10.7299,10.7299,10.729861,0.000000,1.0000,Yahoo前复权
2012-03-22,10.7959,10.7959,10.795893,0.000000,1.0000,Yahoo前复权
2012-03-23,10.6748,10.6748,10.674834,0.000000,1.0000,Yahoo前复权
2012-03-26,10.6586,10.6586,10.658550,0.000000,1.0000,Yahoo前复权
2012-03-27,10.8100,10.8100,10.809977,0.000000,1.0000,Yahoo前复权
2012-03-28,10.7849,10.7849,10.784887,0.000000,1.0000,Yahoo前复权
2012-03-29,10.7115,10.7115,10.711536,0.000000,1.0000,Yahoo前复权
2012-03-30,10.6858,10.6858,10.685841,0.000000,1.0000,Yahoo前复权
2012-04-02,10.7502,10.7502,10.750163,0.000000,1.0000,Yahoo前复权
2012-04-03,10.7629,10.7629,10.762875,0.000000,1.0000,Yahoo前复权
2012-04-05,10.7299,10.7299,10.729861,0.000000,1.0000,Yahoo前复权
2012-04-10,10.7409,10.7409,10.740868,0.000000,1.0000,Yahoo前复权
2012-04-11,10.6308,10.6308,10.630816,0.000000,1.0000,Yahoo前复权
2012-04-12,10.6748,10.6748,10.674834,0.000000,1.0000,Yahoo前复权
2012-04-13,10.7727,10.7727,10.772670,0.000000,1.0000,Yahoo前复权
2012-04-16,10.7536,10.7536,10.753579,0.000000,1.0000,Yahoo前复权
2012-04-17,10.6858,10.6858,10.685841,0.000000,1.0000,Yahoo前复权
2012-04-18,10.7959,10.7959,10.795893,0.000000,1.0000,Yahoo前复权
2012-04-19,10.8702,10.8702,10.870230,0.000000,1.0000,Yahoo前复权
2012-04-20,10.8509,10.8509,10.850915,0.000000,1.0000,Yahoo前复权
2012-04-23,10.7519,10.7519,10.751871,0.000000,1.0000,Yahoo前复权
2012-04-24,10.7629,10.7629,10.762875,0.000000,1.0000,Yahoo前复权
2012-04-25,10.7959,10.7959,10.795893,0.000000,1.0000,Yahoo前复权
2012-04-26,10.8831,10.8831,10.883105,0.000000,1.0000,Yahoo前复权
2012-04-27,10.8773,10.8773,10.877273,0.000000,1.0000,Yahoo前复权
2012-04-30,10.9720,10.9720,10.971970,0.000000,1.0000,Yahoo前复权
2012-05-02,10.9940,10.9940,10.993979,0.000000,1.0000,Yahoo前复权
2012-05-03,10.9720,10.9720,10.971970,0.000000,1.0000,Yahoo前复权
2012-05-04,10.9610,10.9610,10.960963,0.000000,1.0000,Yahoo前复权
2012-05-07,10.7739,10.7739,10.773882,0.000000,1.0000,Yahoo前复权
2012-05-08,10.7849,10.7849,10.784887,0.000000,1.0000,Yahoo前复权
2012-05-09,10.7933,10.7933,10.793304,0.000000,1.0000,Yahoo前复权
2012-05-10,10.7189,10.7189,10.718854,0.000000,1.0000,Yahoo前复权
2012-05-11,10.6418,10.6418,10.641822,0.000000,1.0000,Yahoo前复权
2012-05-14,10.5538,10.5538,10.553779,0.000000,1.0000,Yahoo前复权
2012-05-15,10.5208,10.5208,10.520764,0.000000,1.0000,Yahoo前复权
2012-05-16,10.2897,10.2897,10.289663,0.000000,1.0000,Yahoo前复权
