date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2018-04-10,1.0000,1.0000,1.000000,0.000000,1.0000,
2018-04-11,1.0000,1.0000,1.000000,0.000000,1.0000,
2018-04-12,1.0000,1.0000,1.000000,0.000000,1.0000,
2018-04-13,1.0002,1.0002,1.000200,0.000000,1.0000,
2018-04-16,1.0002,1.0002,1.000200,0.000000,1.0000,
2018-04-17,1.0002,1.0002,1.000200,0.000000,1.0000,
2018-04-18,1.0002,1.0002,1.000200,0.000000,1.0000,
2018-04-19,1.0002,1.0002,1.000200,0.000000,1.0000,
2018-04-20,1.0006,1.0006,1.000600,0.000000,1.0000,
2018-04-23,1.0006,1.0006,1.000600,0.000000,1.0000,
2018-04-24,1.0009,1.0009,1.000900,0.000000,1.0000,
2018-04-25,1.0010,1.0010,1.001000,0.000000,1.0000,
2018-04-26,1.0010,1.0010,1.001000,0.000000,1.0000,
2018-04-27,1.0012,1.0012,1.001200,0.000000,1.0000,
2018-05-02,1.0020,1.0020,1.002000,0.000000,1.0000,
2018-05-03,1.0021,1.0021,1.002100,0.000000,1.0000,
2018-05-04,1.0021,1.0021,1.002100,0.000000,1.0000,
2018-05-07,1.0021,1.0021,1.002100,0.000000,1.0000,
2018-05-08,1.0022,1.0022,1.002200,0.000000,1.0000,
2018-05-09,1.0022,1.0022,1.002200,0.000000,1.0000,
2018-05-10,1.0022,1.0022,1.002200,0.000000,1.0000,
2018-05-11,1.0021,1.0021,1.002100,0.000000,1.0000,
2018-05-14,1.0029,1.0029,1.002900,0.000000,1.0000,
2018-05-15,1.0031,1.0031,1.003100,0.000000,1.0000,
2018-05-16,1.0034,1.0034,1.003400,0.000000,1.0000,
2018-05-17,1.0015,1.0015,1.001500,0.000000,1.0000,
2018-05-18,1.0044,1.0044,1.004400,0.000000,1.0000,
2018-05-21,1.0060,1.0060,1.006000,0.000000,1.0000,
2018-05-22,1.0058,1.0058,1.005800,0.000000,1.0000,
2018-05-23,1.0000,1.0000,1.000000,0.000000,1.0000,
2018-05-24,1.0004,1.0004,1.000400,0.000000,1.0000,
2018-05-25,1.0009,1.0009,1.000900,0.000000,1.0000,
2018-05-28,1.0022,1.0022,1.002200,0.000000,1.0000,
2018-05-29,0.9982,0.9982,0.998200,0.000000,1.0000,
2018-05-30,0.9929,0.9929,0.992900,0.000000,1.0000,
2018-05-31,1.0056,1.0056,1.005600,0.000000,1.0000,
2018-06-01,1.0026,1.0026,1.002600,0.000000,1.0000,
2018-06-04,1.0133,1.0133,1.013300,0.000000,1.0000,
2018-06-05,1.0147,1.0147,1.014700,0.000000,1.0000,
2018-06-06,1.0153,1.0153,1.015300,0.000000,1.0000,
2018-06-07,1.0140,1.0140,1.014000,0.000000,1.0000,
2018-06-08,1.0073,1.0073,1.007300,0.000000,1.0000,
2018-06-11,1.0112,1.0112,1.011200,0.000000,1.0000,
2018-06-12,1.0153,1.0153,1.015300,0.000000,1.0000,
2018-06-13,1.0105,1.0105,1.010500,0.000000,1.0000,
2018-06-14,1.0021,1.0021,1.002100,0.000000,1.0000,
2018-06-15,1.0006,1.0006,1.000600,0.000000,1.0000,
2018-06-19,0.9785,0.9785,0.978500,0.000000,1.0000,
2018-06-20,0.9855,0.9855,0.985500,0.000000,1.0000,
2018-06-21,0.9818,0.9818,0.981800,0.000000,1.0000,
2018-06-22,0.9828,0.9828,0.982800,0.000000,1.0000,
2018-06-25,0.9693,0.9693,0.969300,0.000000,1.0000,
2018-06-26,0.9618,0.9618,0.961800,0.000000,1.0000,
2018-06-27,0.9497,0.9497,0.949700,0.000000,1.0000,
2018-06-28,0.9472,0.9472,0.947200,0.000000,1.0000,
2018-06-29,0.9664,0.9664,0.966400,0.000000,1.0000,
2018-06-30,0.9664,0.9664,0.966400,0.000000,1.0000,
2018-07-02,0.9623,0.9623,0.962300,0.000000,1.0000,
2018-07-03,0.9547,0.9547,0.954700,0.000000,1.0000,
2018-07-04,0.9448,0.9448,0.944800,0.000000,1.0000,
2018-07-05,0.9386,0.9386,0.938600,0.000000,1.0000,
2018-07-06,0.9413,0.9413,0.941300,0.000000,1.0000,
2018-07-09,0.9554,0.9554,0.955400,0.000000,1.0000,
2018-07-10,0.9561,0.9561,0.956100,0.000000,1.0000,
2018-07-11,0.9453,0.9453,0.945300,0.000000,1.0000,
2018-07-12,0.9561,0.9561,0.956100,0.000000,1.0000,
2018-07-13,0.9576,0.9576,0.957600,0.000000,1.0000,
2018-07-16,0.9552,0.9552,0.955200,0.000000,1.0000,
2018-07-17,0.9504,0.9504,0.950400,0.000000,1.0000,
2018-07-18,0.9532,0.9532,0.953200,0.000000,1.0000,
2018-07-19,0.9488,0.9488,0.948800,0.000000,1.0000,
2018-07-20,0.9607,0.9607,0.960700,0.000000,1.0000,
2018-07-23,0.9662,0.9662,0.966200,0.000000,1.0000,
2018-07-24,0.9803,0.9803,0.980300,0.000000,1.0000,
2018-07-25,0.9879,0.9879,0.987900,0.000000,1.0000,
2018-07-26,0.9813,0.9813,0.981300,0.000000,1.0000,
2018-07-27,0.9842,0.9842,0.984200,0.000000,1.0000,
2018-07-30,0.9836,0.9836,0.983600,0.000000,1.0000,
2018-07-31,0.9804,0.9804,0.980400,0.000000,1.0000,
2018-08-01,0.9726,0.9726,0.972600,0.000000,1.0000,
2018-08-02,0.9555,0.9555,0.955500,0.000000,1.0000,
2018-08-03,0.9498,0.9498,0.949800,0.000000,1.0000,
2018-08-06,0.9480,0.9480,0.948000,0.000000,1.0000,
2018-08-07,0.9623,0.9623,0.962300,0.000000,1.0000,
2018-08-08,0.9576,0.9576,0.957600,0.000000,1.0000,
2018-08-09,0.9652,0.9652,0.965200,0.000000,1.0000,
2018-08-10,0.9661,0.9661,0.966100,0.000000,1.0000,
2018-08-13,0.9541,0.9541,0.954100,0.000000,1.0000,
2018-08-14,0.9522,0.9522,0.952200,0.000000,1.0000,
2018-08-15,0.9359,0.9359,0.935900,0.000000,1.0000,
2018-08-16,0.9352,0.9352,0.935200,0.000000,1.0000,
2018-08-17,0.9349,0.9349,0.934900,0.000000,1.0000,
2018-08-20,0.9398,0.9398,0.939800,0.000000,1.0000,
2018-08-21,0.9512,0.9512,0.951200,0.000000,1.0000,
2018-08-22,0.9494,0.9494,0.949400,0.000000,1.0000,
