date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2018-12-19,1.0000,1.0000,1.000000,0.000000,1.0000,
2018-12-21,0.9990,0.9990,0.999000,0.000000,1.0000,
2018-12-28,0.9994,0.9994,0.999400,0.000000,1.0000,
2018-12-31,0.9998,0.9998,0.999800,0.000000,1.0000,
2019-01-04,1.0006,1.0006,1.000600,0.000000,1.0000,
2019-01-10,1.0007,1.0007,1.000700,0.000000,1.0000,
2019-01-11,1.0009,1.0009,1.000900,0.000000,1.0000,
2019-01-17,1.0004,1.0004,1.000400,0.000000,1.0000,
2019-01-18,1.0051,1.0051,1.005100,0.000000,1.0000,
2019-01-21,1.0057,1.0057,1.005700,0.000000,1.0000,
2019-01-22,1.0009,1.0009,1.000900,0.000000,1.0000,
2019-01-23,1.0053,1.0053,1.005300,0.000000,1.0000,
2019-01-24,1.0080,1.0080,1.008000,0.000000,1.0000,
2019-01-25,1.0134,1.0134,1.013400,0.000000,1.0000,
2019-01-28,1.0124,1.0124,1.012400,0.000000,1.0000,
2019-01-29,1.0192,1.0192,1.019200,0.000000,1.0000,
2019-01-30,1.0156,1.0156,1.015600,0.000000,1.0000,
2019-01-31,1.0192,1.0192,1.019200,0.000000,1.0000,
2019-02-01,1.0294,1.0294,1.029400,0.000000,1.0000,
2019-02-11,1.0380,1.0380,1.038000,0.000000,1.0000,
2019-02-12,1.0428,1.0428,1.042800,0.000000,1.0000,
2019-02-13,1.0539,1.0539,1.053900,0.000000,1.0000,
2019-02-14,1.0518,1.0518,1.051800,0.000000,1.0000,
2019-02-15,1.0338,1.0338,1.033800,0.000000,1.0000,
2019-02-18,1.0544,1.0544,1.054400,0.000000,1.0000,
2019-02-19,1.0535,1.0535,1.053500,0.000000,1.0000,
2019-02-20,1.0549,1.0549,1.054900,0.000000,1.0000,
2019-02-21,1.0484,1.0484,1.048400,0.000000,1.0000,
2019-02-22,1.0561,1.0561,1.056100,0.000000,1.0000,
2019-02-25,1.0967,1.0967,1.096700,0.000000,1.0000,
2019-02-26,1.0892,1.0892,1.089200,0.000000,1.0000,
2019-02-27,1.0920,1.0920,1.092000,0.000000,1.0000,
2019-02-28,1.0893,1.0893,1.089300,0.000000,1.0000,
2019-03-01,1.1015,1.1015,1.101500,0.000000,1.0000,
2019-03-04,1.1153,1.1153,1.115300,0.000000,1.0000,
2019-03-05,1.1266,1.1266,1.126600,0.000000,1.0000,
2019-03-06,1.1365,1.1365,1.136500,0.000000,1.0000,
2019-03-07,1.1304,1.1304,1.130400,0.000000,1.0000,
2019-03-08,1.0889,1.0889,1.088900,0.000000,1.0000,
2019-03-11,1.1069,1.1069,1.106900,0.000000,1.0000,
2019-03-12,1.1168,1.1168,1.116800,0.000000,1.0000,
2019-03-13,1.1138,1.1138,1.113800,0.000000,1.0000,
2019-03-14,1.1021,1.1021,1.102100,0.000000,1.0000,
2019-03-15,1.1197,1.1197,1.119700,0.000000,1.0000,
2019-03-18,1.1519,1.1519,1.151900,0.000000,1.0000,
2019-03-19,1.1504,1.1504,1.150400,0.000000,1.0000,
2019-03-20,1.1550,1.1550,1.155000,0.000000,1.0000,
2019-03-21,1.1557,1.1557,1.155700,0.000000,1.0000,
2019-03-22,1.1622,1.1622,1.162200,0.000000,1.0000,
2019-03-25,1.1494,1.1494,1.149400,0.000000,1.0000,
2019-03-26,1.1349,1.1349,1.134900,0.000000,1.0000,
2019-03-27,1.1496,1.1496,1.149600,0.000000,1.0000,
2019-03-28,1.1375,1.1375,1.137500,0.000000,1.0000,
2019-03-29,1.1666,1.1666,1.166600,0.000000,1.0000,
2019-04-01,1.1962,1.1962,1.196200,0.000000,1.0000,
2019-04-02,1.1947,1.1947,1.194700,0.000000,1.0000,
2019-04-03,1.2096,1.2096,1.209600,0.000000,1.0000,
2019-04-04,1.2247,1.2247,1.224700,0.000000,1.0000,
2019-04-08,1.2205,1.2205,1.220500,0.000000,1.0000,
2019-04-09,1.2259,1.2259,1.225900,0.000000,1.0000,
2019-04-10,1.2281,1.2281,1.228100,0.000000,1.0000,
2019-04-11,1.2124,1.2124,1.212400,0.000000,1.0000,
2019-04-12,1.2099,1.2099,1.209900,0.000000,1.0000,
2019-04-15,1.2037,1.2037,1.203700,0.000000,1.0000,
2019-04-16,1.2226,1.2226,1.222600,0.000000,1.0000,
2019-04-17,1.2267,1.2267,1.226700,0.000000,1.0000,
2019-04-18,1.2156,1.2156,1.215600,0.000000,1.0000,
2019-04-19,1.2212,1.2212,1.221200,0.000000,1.0000,
2019-04-22,1.1924,1.1924,1.192400,0.000000,1.0000,
2019-04-23,1.1840,1.1840,1.184000,0.000000,1.0000,
2019-04-24,1.1856,1.1856,1.185600,0.000000,1.0000,
2019-04-25,1.1549,1.1549,1.154900,0.000000,1.0000,
2019-04-26,1.1413,1.1413,1.141300,0.000000,1.0000,
2019-04-29,1.1420,1.1420,1.142000,0.000000,1.0000,
2019-04-30,1.1548,1.1548,1.154800,0.000000,1.0000,
2019-05-06,1.0988,1.0988,1.098800,0.000000,1.0000,
2019-05-07,1.1090,1.1090,1.109000,0.000000,1.0000,
2019-05-08,1.0995,1.0995,1.099500,0.000000,1.0000,
2019-05-09,1.0843,1.0843,1.084300,0.000000,1.0000,
2019-05-10,1.1156,1.1156,1.115600,0.000000,1.0000,
2019-05-13,1.1061,1.1061,1.106100,0.000000,1.0000,
2019-05-14,1.0990,1.0990,1.099000,0.000000,1.0000,
2019-05-15,1.1168,1.1168,1.116800,0.000000,1.0000,
2019-05-16,1.1244,1.1244,1.124400,0.000000,1.0000,
2019-05-17,1.0977,1.0977,1.097700,0.000000,1.0000,
2019-05-20,1.0872,1.0872,1.087200,0.000000,1.0000,
2019-05-21,1.1004,1.1004,1.100400,0.000000,1.0000,
2019-05-22,1.0953,1.0953,1.095300,0.000000,1.0000,
2019-05-23,1.0835,1.0835,1.083500,0.000000,1.0000,
2019-05-24,1.0881,1.0881,1.088100,0.000000,1.0000,
2019-05-27,1.1018,1.1018,1.101800,0.000000,1.0000,
2019-05-28,1.1077,1.1077,1.107700,0.000000,1.0000,
2019-05-29,1.1030,1.1030,1.103000,0.000000,1.0000,
2019-05-30,1.1066,1.1066,1.106600,0.000000,1.0000,
2019-05-31,1.1062,1.1062,1.106200,0.000000,1.0000,
2019-06-03,1.1056,1.1056,1.105600,0.000000,1.0000,
2019-06-04,1.0980,1.0980,1.098000,0.000000,1.0000,
2019-06-05,1.0992,1.0992,1.099200,0.000000,1.0000,
2019-06-06,1.0923,1.0923,1.092300,0.000000,1.0000,
2019-06-10,1.1021,1.1021,1.102100,0.000000,1.0000,
2019-06-11,1.1247,1.1247,1.124700,0.000000,1.0000,
2019-06-12,1.1169,1.1169,1.116900,0.000000,1.0000,
2019-06-13,1.1123,1.1123,1.112300,0.000000,1.0000,
2019-06-14,1.1039,1.1039,1.103900,0.000000,1.0000,
2019-06-17,1.1029,1.1029,1.102900,0.000000,1.0000,
2019-06-18,1.1026,1.1026,1.102600,0.000000,1.0000,
2019-06-19,1.1157,1.1157,1.115700,0.000000,1.0000,
2019-06-20,1.1349,1.1349,1.134900,0.000000,1.0000,
2019-06-21,1.1372,1.1372,1.137200,0.000000,1.0000,
2019-06-24,1.1372,1.1372,1.137200,0.000000,1.0000,
2019-06-25,1.1270,1.1270,1.127000,0.000000,1.0000,
2019-06-26,1.1267,1.1267,1.126700,0.000000,1.0000,
2019-06-27,1.1337,1.1337,1.133700,0.000000,1.0000,
2019-06-28,1.1285,1.1285,1.128500,0.000000,1.0000,
2019-06-30,1.1284,1.1284,1.128400,0.000000,1.0000,
2019-07-01,1.1501,1.1501,1.150100,0.000000,1.0000,
2019-07-02,1.1544,1.1544,1.154400,0.000000,1.0000,
2019-07-03,1.1570,1.1570,1.157000,0.000000,1.0000,
2019-07-04,1.1564,1.1564,1.156400,0.000000,1.0000,
2019-07-05,1.1590,1.1590,1.159000,0.000000,1.0000,
2019-07-08,1.1343,1.1343,1.134300,0.000000,1.0000,
2019-07-09,1.1355,1.1355,1.135500,0.000000,1.0000,
2019-07-10,1.1294,1.1294,1.129400,0.000000,1.0000,
2019-07-11,1.1285,1.1285,1.128500,0.000000,1.0000,
2019-07-12,1.1348,1.1348,1.134800,0.000000,1.0000,
2019-07-15,1.1378,1.1378,1.137800,0.000000,1.0000,
2019-07-16,1.1390,1.1390,1.139000,0.000000,1.0000,
2019-07-17,1.1391,1.1391,1.139100,0.000000,1.0000,
2019-07-18,1.1295,1.1295,1.129500,0.000000,1.0000,
2019-07-19,1.1416,1.1416,1.141600,0.000000,1.0000,
2019-07-22,1.1336,1.1336,1.133600,0.000000,1.0000,
2019-07-23,1.1373,1.1373,1.137300,0.000000,1.0000,
2019-07-24,1.1439,1.1439,1.143900,0.000000,1.0000,
2019-07-25,1.1487,1.1487,1.148700,0.000000,1.0000,
2019-07-26,1.1494,1.1494,1.149400,0.000000,1.0000,
2019-07-29,1.1505,1.1505,1.150500,0.000000,1.0000,
2019-07-30,1.1562,1.1562,1.156200,0.000000,1.0000,
2019-07-31,1.1471,1.1471,1.147100,0.000000,1.0000,
2019-08-01,1.1371,1.1371,1.137100,0.000000,1.0000,
2019-08-02,1.1242,1.1242,1.124200,0.000000,1.0000,
2019-08-05,1.1045,1.1045,1.104500,0.000000,1.0000,
2019-08-06,1.0895,1.0895,1.089500,0.000000,1.0000,
2019-08-07,1.0868,1.0868,1.086800,0.000000,1.0000,
2019-08-08,1.0995,1.0995,1.099500,0.000000,1.0000,
2019-08-09,1.0903,1.0903,1.090300,0.000000,1.0000,
2019-08-12,1.1025,1.1025,1.102500,0.000000,1.0000,
2019-08-13,1.0970,1.0970,1.097000,0.000000,1.0000,
2019-08-14,1.0989,1.0989,1.098900,0.000000,1.0000,
2019-08-15,1.1033,1.1033,1.103300,0.000000,1.0000,
2019-08-16,1.1028,1.1028,1.102800,0.000000,1.0000,
2019-08-19,1.1224,1.1224,1.122400,0.000000,1.0000,
2019-08-20,1.1195,1.1195,1.119500,0.000000,1.0000,
2019-08-21,1.1184,1.1184,1.118400,0.000000,1.0000,
2019-08-22,1.1193,1.1193,1.119300,0.000000,1.0000,
2019-08-23,1.1216,1.1216,1.121600,0.000000,1.0000,
2019-08-26,1.1120,1.1120,1.112000,0.000000,1.0000,
2019-08-27,1.1249,1.1249,1.124900,0.000000,1.0000,
2019-08-28,1.1242,1.1242,1.124200,0.000000,1.0000,
2019-08-29,1.1168,1.1168,1.116800,0.000000,1.0000,
2019-08-30,1.1131,1.1131,1.113100,0.000000,1.0000,
2019-09-02,1.1213,1.1213,1.121300,0.000000,1.0000,
2019-09-03,1.1196,1.1196,1.119600,0.000000,1.0000,
2019-09-04,1.1306,1.1306,1.130600,0.000000,1.0000,
2019-09-05,1.1354,1.1354,1.135400,0.000000,1.0000,
2019-09-06,1.1413,1.1413,1.141300,0.000000,1.0000,
2019-09-09,1.1491,1.1491,1.149100,0.000000,1.0000,
2019-09-10,1.1429,1.1429,1.142900,0.000000,1.0000,
2019-09-11,1.1441,1.1441,1.144100,0.000000,1.0000,
2019-09-12,1.1514,1.1514,1.151400,0.000000,1.0000,
2019-09-16,1.1535,1.1535,1.153500,0.000000,1.0000,
2019-09-17,1.1377,1.1377,1.137700,0.000000,1.0000,
