date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2019-11-28,1.0000,1.0000,1.000000,0.000000,1.0000,
2019-11-29,1.0001,1.0001,1.000100,0.000000,1.0000,
2019-12-06,1.0048,1.0048,1.004800,0.000000,1.0000,
2019-12-13,1.0323,1.0323,1.032300,0.000000,1.0000,
2019-12-20,1.0415,1.0415,1.041500,0.000000,1.0000,
2019-12-26,1.0442,1.0442,1.044200,0.000000,1.0000,
2019-12-27,1.0423,1.0423,1.042300,0.000000,1.0000,
2019-12-30,1.0554,1.0554,1.055400,0.000000,1.0000,
2019-12-31,1.0617,1.0617,1.061700,0.000000,1.0000,
2020-01-02,1.0759,1.0759,1.075900,0.000000,1.0000,
2020-01-03,1.0756,1.0756,1.075600,0.000000,1.0000,
2020-01-06,1.0718,1.0718,1.071800,0.000000,1.0000,
2020-01-07,1.0802,1.0802,1.080200,0.000000,1.0000,
2020-01-08,1.0681,1.0681,1.068100,0.000000,1.0000,
2020-01-09,1.0811,1.0811,1.081100,0.000000,1.0000,
2020-01-10,1.0771,1.0771,1.077100,0.000000,1.0000,
2020-01-13,1.0844,1.0844,1.084400,0.000000,1.0000,
2020-01-14,1.0855,1.0855,1.085500,0.000000,1.0000,
2020-01-15,1.0801,1.0801,1.080100,0.000000,1.0000,
2020-01-16,1.0746,1.0746,1.074600,0.000000,1.0000,
2020-01-17,1.0751,1.0751,1.075100,0.000000,1.0000,
2020-01-20,1.0763,1.0763,1.076300,0.000000,1.0000,
2020-01-21,1.0573,1.0573,1.057300,0.000000,1.0000,
2020-01-22,1.0608,1.0608,1.060800,0.000000,1.0000,
2020-01-23,1.0335,1.0335,1.033500,0.000000,1.0000,
2020-02-03,0.9458,0.9458,0.945800,0.000000,1.0000,
2020-02-04,0.9646,0.9646,0.964600,0.000000,1.0000,
2020-02-05,0.9752,0.9752,0.975200,0.000000,1.0000,
2020-02-06,0.9869,0.9869,0.986900,0.000000,1.0000,
2020-02-07,0.9901,0.9901,0.990100,0.000000,1.0000,
2020-02-10,1.0045,1.0045,1.004500,0.000000,1.0000,
2020-02-11,1.0077,1.0077,1.007700,0.000000,1.0000,
2020-02-12,1.0139,1.0139,1.013900,0.000000,1.0000,
2020-02-13,1.0080,1.0080,1.008000,0.000000,1.0000,
2020-02-14,1.0152,1.0152,1.015200,0.000000,1.0000,
2020-02-17,1.0354,1.0354,1.035400,0.000000,1.0000,
2020-02-18,1.0375,1.0375,1.037500,0.000000,1.0000,
2020-02-19,1.0335,1.0335,1.033500,0.000000,1.0000,
2020-02-20,1.0474,1.0474,1.047400,0.000000,1.0000,
2020-02-21,1.0512,1.0512,1.051200,0.000000,1.0000,
2020-02-24,1.0442,1.0442,1.044200,0.000000,1.0000,
2020-02-25,1.0343,1.0343,1.034300,0.000000,1.0000,
2020-02-26,1.0354,1.0354,1.035400,0.000000,1.0000,
2020-02-27,1.0391,1.0391,1.039100,0.000000,1.0000,
2020-02-28,1.0085,1.0085,1.008500,0.000000,1.0000,
2020-03-02,1.0464,1.0464,1.046400,0.000000,1.0000,
2020-03-03,1.0462,1.0462,1.046200,0.000000,1.0000,
2020-03-04,1.0593,1.0593,1.059300,0.000000,1.0000,
2020-03-05,1.0722,1.0722,1.072200,0.000000,1.0000,
2020-03-06,1.0598,1.0598,1.059800,0.000000,1.0000,
2020-03-09,1.0276,1.0276,1.027600,0.000000,1.0000,
2020-03-10,1.0456,1.0456,1.045600,0.000000,1.0000,
2020-03-11,1.0367,1.0367,1.036700,0.000000,1.0000,
2020-03-12,1.0187,1.0187,1.018700,0.000000,1.0000,
2020-03-13,1.0034,1.0034,1.003400,0.000000,1.0000,
