date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2019-08-08,1.0000,1.0000,1.000000,0.000000,1.0000,
2019-08-09,0.9985,0.9985,0.998500,0.000000,1.0000,
2019-08-16,0.9985,0.9985,0.998500,0.000000,1.0000,
2019-08-23,1.0011,1.0011,1.001100,0.000000,1.0000,
2019-08-30,0.9968,0.9968,0.996800,0.000000,1.0000,
2019-09-06,1.0190,1.0190,1.019000,0.000000,1.0000,
2019-09-11,1.0222,1.0222,1.022200,0.000000,1.0000,
2019-09-12,1.0268,1.0268,1.026800,0.000000,1.0000,
2019-09-18,1.0118,1.0118,1.011800,0.000000,1.0000,
2019-09-19,1.0132,1.0132,1.013200,0.000000,1.0000,
2019-09-20,1.0148,1.0148,1.014800,0.000000,1.0000,
2019-09-23,1.0037,1.0037,1.003700,0.000000,1.0000,
2019-09-24,1.0066,1.0066,1.006600,0.000000,1.0000,
2019-09-25,1.0004,1.0004,1.000400,0.000000,1.0000,
2019-09-26,1.0021,1.0021,1.002100,0.000000,1.0000,
2019-09-27,0.9987,0.9987,0.998700,0.000000,1.0000,
2019-09-30,0.9944,0.9944,0.994400,0.000000,1.0000,
2019-10-08,1.0009,1.0009,1.000900,0.000000,1.0000,
2019-10-09,1.0070,1.0070,1.007000,0.000000,1.0000,
2019-10-10,1.0099,1.0099,1.009900,0.000000,1.0000,
2019-10-11,1.0204,1.0204,1.020400,0.000000,1.0000,
2019-10-14,1.0329,1.0329,1.032900,0.000000,1.0000,
2019-10-15,1.0285,1.0285,1.028500,0.000000,1.0000,
2019-10-16,1.0267,1.0267,1.026700,0.000000,1.0000,
2019-10-17,1.0237,1.0237,1.023700,0.000000,1.0000,
2019-10-18,1.0130,1.0130,1.013000,0.000000,1.0000,
2019-10-21,1.0175,1.0175,1.017500,0.000000,1.0000,
2019-10-22,1.0166,1.0166,1.016600,0.000000,1.0000,
2019-10-23,1.0146,1.0146,1.014600,0.000000,1.0000,
2019-10-24,1.0167,1.0167,1.016700,0.000000,1.0000,
2019-10-25,1.0174,1.0174,1.017400,0.000000,1.0000,
2019-10-28,1.0186,1.0186,1.018600,0.000000,1.0000,
2019-10-29,1.0120,1.0120,1.012000,0.000000,1.0000,
2019-10-30,1.0104,1.0104,1.010400,0.000000,1.0000,
2019-10-31,1.0067,1.0067,1.006700,0.000000,1.0000,
2019-11-01,1.0177,1.0177,1.017700,0.000000,1.0000,
2019-11-04,1.0213,1.0213,1.021300,0.000000,1.0000,
2019-11-05,1.0286,1.0286,1.028600,0.000000,1.0000,
2019-11-06,1.0303,1.0303,1.030300,0.000000,1.0000,
2019-11-07,1.0303,1.0303,1.030300,0.000000,1.0000,
2019-11-08,1.0228,1.0228,1.022800,0.000000,1.0000,
2019-11-11,1.0052,1.0052,1.005200,0.000000,1.0000,
2019-11-12,1.0061,1.0061,1.006100,0.000000,1.0000,
2019-11-13,1.0007,1.0007,1.000700,0.000000,1.0000,
2019-11-14,0.9986,0.9986,0.998600,0.000000,1.0000,
2019-11-15,0.9938,0.9938,0.993800,0.000000,1.0000,
2019-11-18,1.0058,1.0058,1.005800,0.000000,1.0000,
2019-11-19,1.0098,1.0098,1.009800,0.000000,1.0000,
2019-11-20,1.0011,1.0011,1.001100,0.000000,1.0000,
2019-11-21,1.0016,1.0016,1.001600,0.000000,1.0000,
2019-11-22,1.0012,1.0012,1.001200,0.000000,1.0000,
2019-11-25,1.0174,1.0174,1.017400,0.000000,1.0000,
2019-11-26,1.0177,1.0177,1.017700,0.000000,1.0000,
2019-11-27,1.0123,1.0123,1.012300,0.000000,1.0000,
2019-11-28,1.0085,1.0085,1.008500,0.000000,1.0000,
2019-11-29,1.0056,1.0056,1.005600,0.000000,1.0000,
2019-12-02,1.0078,1.0078,1.007800,0.000000,1.0000,
2019-12-03,1.0103,1.0103,1.010300,0.000000,1.0000,
2019-12-04,1.0049,1.0049,1.004900,0.000000,1.0000,
2019-12-05,1.0083,1.0083,1.008300,0.000000,1.0000,
2019-12-06,1.0086,1.0086,1.008600,0.000000,1.0000,
2019-12-09,1.0139,1.0139,1.013900,0.000000,1.0000,
2019-12-10,1.0107,1.0107,1.010700,0.000000,1.0000,
2019-12-11,1.0179,1.0179,1.017900,0.000000,1.0000,
2019-12-12,1.0144,1.0144,1.014400,0.000000,1.0000,
2019-12-13,1.0276,1.0276,1.027600,0.000000,1.0000,
2019-12-16,1.0297,1.0297,1.029700,0.000000,1.0000,
2019-12-17,1.0407,1.0407,1.040700,0.000000,1.0000,
2019-12-18,1.0379,1.0379,1.037900,0.000000,1.0000,
2019-12-19,1.0409,1.0409,1.040900,0.000000,1.0000,
2019-12-20,1.0393,1.0393,1.039300,0.000000,1.0000,
2019-12-23,1.0277,1.0277,1.027700,0.000000,1.0000,
2019-12-24,1.0310,1.0310,1.031000,0.000000,1.0000,
2019-12-25,1.0272,1.0272,1.027200,0.000000,1.0000,
2019-12-26,1.0353,1.0353,1.035300,0.000000,1.0000,
2019-12-27,1.0368,1.0368,1.036800,0.000000,1.0000,
2019-12-30,1.0445,1.0445,1.044500,0.000000,1.0000,
2019-12-31,1.0488,1.0488,1.048800,0.000000,1.0000,
2020-01-02,1.0613,1.0613,1.061300,0.000000,1.0000,
2020-01-03,1.0610,1.0610,1.061000,0.000000,1.0000,
2020-01-06,1.0585,1.0585,1.058500,0.000000,1.0000,
2020-01-07,1.0634,1.0634,1.063400,0.000000,1.0000,
2020-01-08,1.0509,1.0509,1.050900,0.000000,1.0000,
2020-01-09,1.0555,1.0555,1.055500,0.000000,1.0000,
2020-01-10,1.0533,1.0533,1.053300,0.000000,1.0000,
2020-01-13,1.0541,1.0541,1.054100,0.000000,1.0000,
