date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2024-06-26,1.0000,1.0000,1.000000,0.000000,1.0000,
2024-06-28,0.9942,0.9942,0.994200,0.000000,1.0000,
2024-06-30,0.9942,0.9942,0.994200,0.000000,1.0000,
2024-07-05,0.9821,0.9821,0.982100,0.000000,1.0000,
2024-07-09,0.9685,0.9685,0.968500,0.000000,1.0000,
2024-07-10,0.9432,0.9432,0.943200,0.000000,1.0000,
2024-07-11,0.9523,0.9523,0.952300,0.000000,1.0000,
2024-07-12,0.9540,0.9540,0.954000,0.000000,1.0000,
2024-07-15,0.9541,0.9541,0.954100,0.000000,1.0000,
2024-07-16,0.9479,0.9479,0.947900,0.000000,1.0000,
2024-07-17,0.9173,0.9173,0.917300,0.000000,1.0000,
2024-07-18,0.9278,0.9278,0.927800,0.000000,1.0000,
2024-07-19,0.9056,0.9056,0.905600,0.000000,1.0000,
2024-07-22,0.9119,0.9119,0.911900,0.000000,1.0000,
2024-07-23,0.9080,0.9080,0.908000,0.000000,1.0000,
2024-07-24,0.9169,0.9169,0.916900,0.000000,1.0000,
2024-07-25,0.8917,0.8917,0.891700,0.000000,1.0000,
2024-07-26,0.8853,0.8853,0.885300,0.000000,1.0000,
2024-07-29,0.8950,0.8950,0.895000,0.000000,1.0000,
2024-07-30,0.8773,0.8773,0.877300,0.000000,1.0000,
2024-07-31,0.8907,0.8907,0.890700,0.000000,1.0000,
2024-08-01,0.8952,0.8952,0.895200,0.000000,1.0000,
2024-08-02,0.8904,0.8904,0.890400,0.000000,1.0000,
2024-08-05,0.8635,0.8635,0.863500,0.000000,1.0000,
2024-08-06,0.8580,0.8580,0.858000,0.000000,1.0000,
2024-08-07,0.8759,0.8759,0.875900,0.000000,1.0000,
2024-08-08,0.8767,0.8767,0.876700,0.000000,1.0000,
2024-08-09,0.8787,0.8787,0.878700,0.000000,1.0000,
2024-08-12,0.8774,0.8774,0.877400,0.000000,1.0000,
2024-08-13,0.8862,0.8862,0.886200,0.000000,1.0000,
2024-08-14,0.8861,0.8861,0.886100,0.000000,1.0000,
2024-08-15,0.8935,0.8935,0.893500,0.000000,1.0000,
2024-08-16,0.9035,0.9035,0.903500,0.000000,1.0000,
2024-08-19,0.9085,0.9085,0.908500,0.000000,1.0000,
2024-08-20,0.8990,0.8990,0.899000,0.000000,1.0000,
2024-08-21,0.8986,0.8986,0.898600,0.000000,1.0000,
2024-08-22,0.9024,0.9024,0.902400,0.000000,1.0000,
2024-08-23,0.9044,0.9044,0.904400,0.000000,1.0000,
2024-08-26,0.9066,0.9066,0.906600,0.000000,1.0000,
2024-08-27,0.9272,0.9272,0.927200,0.000000,1.0000,
2024-08-28,0.9161,0.9161,0.916100,0.000000,1.0000,
2024-08-29,0.9125,0.9125,0.912500,0.000000,1.0000,
2024-08-30,0.9130,0.9130,0.913000,0.000000,1.0000,
2024-09-02,0.9054,0.9054,0.905400,0.000000,1.0000,
2024-09-03,0.8965,0.8965,0.896500,0.000000,1.0000,
2024-09-04,0.8731,0.8731,0.873100,0.000000,1.0000,
2024-09-05,0.8609,0.8609,0.860900,0.000000,1.0000,
2024-09-06,0.8600,0.8600,0.860000,0.000000,1.0000,
2024-09-09,0.8287,0.8287,0.828700,0.000000,1.0000,
2024-09-10,0.8283,0.8283,0.828300,0.000000,1.0000,
2024-09-11,0.8137,0.8137,0.813700,0.000000,1.0000,
2024-09-12,0.8156,0.8156,0.815600,0.000000,1.0000,
2024-09-13,0.8234,0.8234,0.823400,0.000000,1.0000,
2024-09-18,0.8309,0.8309,0.830900,0.000000,1.0000,
2024-09-19,0.8409,0.8409,0.840900,0.000000,1.0000,
2024-09-20,0.8447,0.8447,0.844700,0.000000,1.0000,
2024-09-23,0.8526,0.8526,0.852600,0.000000,1.0000,
2024-09-24,0.8869,0.8869,0.886900,0.000000,1.0000,
2024-09-25,0.8936,0.8936,0.893600,0.000000,1.0000,
2024-09-26,0.8932,0.8932,0.893200,0.000000,1.0000,
2024-09-27,0.9037,0.9037,0.903700,0.000000,1.0000,
2024-09-30,0.9195,0.9195,0.919500,0.000000,1.0000,
2024-10-08,0.9367,0.9367,0.936700,0.000000,1.0000,
2024-10-09,0.9055,0.9055,0.905500,0.000000,1.0000,
2024-10-10,0.9451,0.9451,0.945100,0.000000,1.0000,
2024-10-11,0.9453,0.9453,0.945300,0.000000,1.0000,
2024-10-14,0.9456,0.9456,0.945600,0.000000,1.0000,
2024-10-15,0.9223,0.9223,0.922300,0.000000,1.0000,
2024-10-16,0.9267,0.9267,0.926700,0.000000,1.0000,
2024-10-17,0.9121,0.9121,0.912100,0.000000,1.0000,
2024-10-18,0.9309,0.9309,0.930900,0.000000,1.0000,
2024-10-21,0.9180,0.9180,0.918000,0.000000,1.0000,
2024-10-22,0.9233,0.9233,0.923300,0.000000,1.0000,
2024-10-23,0.9229,0.9229,0.922900,0.000000,1.0000,
2024-10-24,0.9203,0.9203,0.920300,0.000000,1.0000,
2024-10-25,0.9116,0.9116,0.911600,0.000000,1.0000,
2024-10-28,0.9116,0.9116,0.911600,0.000000,1.0000,
2024-10-29,0.8998,0.8998,0.899800,0.000000,1.0000,
2024-10-30,0.8881,0.8881,0.888100,0.000000,1.0000,
2024-10-31,0.8900,0.8900,0.890000,0.000000,1.0000,
2024-11-01,0.8973,0.8973,0.897300,0.000000,1.0000,
2024-11-04,0.8953,0.8953,0.895300,0.000000,1.0000,
2024-11-05,0.9060,0.9060,0.906000,0.000000,1.0000,
2024-11-06,0.8916,0.8916,0.891600,0.000000,1.0000,
2024-11-07,0.9107,0.9107,0.910700,0.000000,1.0000,
2024-11-08,0.8923,0.8923,0.892300,0.000000,1.0000,
2024-11-11,0.8833,0.8833,0.883300,0.000000,1.0000,
2024-11-12,0.8671,0.8671,0.867100,0.000000,1.0000,
2024-11-13,0.8711,0.8711,0.871100,0.000000,1.0000,
2024-11-14,0.8583,0.8583,0.858300,0.000000,1.0000,
2024-11-15,0.8675,0.8675,0.867500,0.000000,1.0000,
2024-11-18,0.8776,0.8776,0.877600,0.000000,1.0000,
2024-11-19,0.8774,0.8774,0.877400,0.000000,1.0000,
2024-11-20,0.8803,0.8803,0.880300,0.000000,1.0000,
2024-11-21,0.8768,0.8768,0.876800,0.000000,1.0000,
2024-11-22,0.8637,0.8637,0.863700,0.000000,1.0000,
2024-11-25,0.8632,0.8632,0.863200,0.000000,1.0000,
2024-11-26,0.8592,0.8592,0.859200,0.000000,1.0000,
2024-11-27,0.8696,0.8696,0.869600,0.000000,1.0000,
2024-11-28,0.8570,0.8570,0.857000,0.000000,1.0000,
2024-11-29,0.8602,0.8602,0.860200,0.000000,1.0000,
2024-12-02,0.8619,0.8619,0.861900,0.000000,1.0000,
2024-12-03,0.8763,0.8763,0.876300,0.000000,1.0000,
