date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2023-05-24,1.0000,1.0000,1.000000,0.000000,1.0000,
2023-05-26,1.0020,1.0020,1.002000,0.000000,1.0000,
2023-05-30,1.0082,1.0082,1.008200,0.000000,1.0000,
2023-06-02,1.0069,1.0069,1.006900,0.000000,1.0000,
2023-06-05,1.0110,1.0110,1.011000,0.000000,1.0000,
2023-06-06,0.9942,0.9942,0.994200,0.000000,1.0000,
2023-06-07,0.9957,0.9957,0.995700,0.000000,1.0000,
2023-06-08,1.0059,1.0059,1.005900,0.000000,1.0000,
2023-06-09,1.0089,1.0089,1.008900,0.000000,1.0000,
2023-06-12,1.0050,1.0050,1.005000,0.000000,1.0000,
2023-06-13,0.9982,0.9982,0.998200,0.000000,1.0000,
2023-06-14,0.9960,0.9960,0.996000,0.000000,1.0000,
2023-06-15,0.9978,0.9978,0.997800,0.000000,1.0000,
2023-06-16,1.0074,1.0074,1.007400,0.000000,1.0000,
2023-06-19,0.9978,0.9978,0.997800,0.000000,1.0000,
2023-06-20,0.9872,0.9872,0.987200,0.000000,1.0000,
2023-06-21,0.9856,0.9856,0.985600,0.000000,1.0000,
2023-06-26,0.9731,0.9731,0.973100,0.000000,1.0000,
2023-06-27,0.9962,0.9962,0.996200,0.000000,1.0000,
2023-06-28,0.9995,0.9995,0.999500,0.000000,1.0000,
2023-06-29,0.9968,0.9968,0.996800,0.000000,1.0000,
2023-06-30,1.0012,1.0012,1.001200,0.000000,1.0000,
2023-07-03,1.0210,1.0210,1.021000,0.000000,1.0000,
2023-07-04,1.0154,1.0154,1.015400,0.000000,1.0000,
2023-07-05,1.0140,1.0140,1.014000,0.000000,1.0000,
2023-07-06,1.0085,1.0085,1.008500,0.000000,1.0000,
2023-07-07,1.0132,1.0132,1.013200,0.000000,1.0000,
2023-07-10,1.0134,1.0134,1.013400,0.000000,1.0000,
2023-07-11,1.0138,1.0138,1.013800,0.000000,1.0000,
2023-07-12,1.0032,1.0032,1.003200,0.000000,1.0000,
2023-07-13,1.0131,1.0131,1.013100,0.000000,1.0000,
2023-07-14,1.0133,1.0133,1.013300,0.000000,1.0000,
2023-07-17,1.0092,1.0092,1.009200,0.000000,1.0000,
2023-07-18,1.0065,1.0065,1.006500,0.000000,1.0000,
2023-07-19,1.0119,1.0119,1.011900,0.000000,1.0000,
2023-07-20,1.0032,1.0032,1.003200,0.000000,1.0000,
2023-07-21,1.0007,1.0007,1.000700,0.000000,1.0000,
2023-07-24,1.0014,1.0014,1.001400,0.000000,1.0000,
2023-07-25,1.0225,1.0225,1.022500,0.000000,1.0000,
2023-07-26,1.0193,1.0193,1.019300,0.000000,1.0000,
2023-07-27,1.0182,1.0182,1.018200,0.000000,1.0000,
2023-07-28,1.0356,1.0356,1.035600,0.000000,1.0000,
2023-07-31,1.0449,1.0449,1.044900,0.000000,1.0000,
2023-08-01,1.0493,1.0493,1.049300,0.000000,1.0000,
2023-08-02,1.0398,1.0398,1.039800,0.000000,1.0000,
2023-08-03,1.0428,1.0428,1.042800,0.000000,1.0000,
