date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2025-09-10,1.0000,1.0000,1.000000,0.000000,1.0000,
2025-09-12,1.0001,1.0001,1.000100,0.000000,1.0000,
2025-09-17,1.0019,1.0019,1.001900,0.000000,1.0000,
2025-09-18,0.9835,0.9835,0.983500,0.000000,1.0000,
2025-09-19,0.9857,0.9857,0.985700,0.000000,1.0000,
2025-09-22,0.9771,0.9771,0.977100,0.000000,1.0000,
2025-09-23,0.9824,0.9824,0.982400,0.000000,1.0000,
2025-09-24,0.9832,0.9832,0.983200,0.000000,1.0000,
2025-09-25,0.9772,0.9772,0.977200,0.000000,1.0000,
2025-09-26,0.9795,0.9795,0.979500,0.000000,1.0000,
2025-09-29,0.9794,0.9794,0.979400,0.000000,1.0000,
2025-09-30,0.9778,0.9778,0.977800,0.000000,1.0000,
2025-10-09,0.9907,0.9907,0.990700,0.000000,1.0000,
2025-10-10,0.9943,0.9943,0.994300,0.000000,1.0000,
2025-10-13,0.9929,0.9929,0.992900,0.000000,1.0000,
2025-10-14,1.0028,1.0028,1.002800,0.000000,1.0000,
2025-10-15,1.0072,1.0072,1.007200,0.000000,1.0000,
2025-10-16,1.0118,1.0118,1.011800,0.000000,1.0000,
2025-10-17,1.0035,1.0035,1.003500,0.000000,1.0000,
2025-10-20,1.0053,1.0053,1.005300,0.000000,1.0000,
2025-10-21,1.0105,1.0105,1.010500,0.000000,1.0000,
2025-10-22,1.0137,1.0137,1.013700,0.000000,1.0000,
2025-10-23,1.0214,1.0214,1.021400,0.000000,1.0000,
2025-10-24,1.0175,1.0175,1.017500,0.000000,1.0000,
2025-10-27,1.0236,1.0236,1.023600,0.000000,1.0000,
2025-10-28,1.0192,1.0192,1.019200,0.000000,1.0000,
2025-10-29,1.0178,1.0178,1.017800,0.000000,1.0000,
2025-10-30,1.0182,1.0182,1.018200,0.000000,1.0000,
2025-10-31,1.0107,1.0107,1.010700,0.000000,1.0000,
2025-11-03,1.0203,1.0203,1.020300,0.000000,1.0000,
2025-11-04,1.0250,1.0250,1.025000,0.000000,1.0000,
2025-11-05,1.0278,1.0278,1.027800,0.000000,1.0000,
2025-11-06,1.0355,1.0355,1.035500,0.000000,1.0000,
2025-11-07,1.0411,1.0411,1.041100,0.000000,1.0000,
2025-11-10,1.0486,1.0486,1.048600,0.000000,1.0000,
2025-11-11,1.0502,1.0502,1.050200,0.000000,1.0000,
2025-11-12,1.0509,1.0509,1.050900,0.000000,1.0000,
2025-11-13,1.0523,1.0523,1.052300,0.000000,1.0000,
2025-11-14,1.0453,1.0453,1.045300,0.000000,1.0000,
2025-11-17,1.0369,1.0369,1.036900,0.000000,1.0000,
2025-11-18,1.0235,1.0285,1.028500,0.005000,1.0000,每10份派现金0.0500元
2025-11-19,1.0276,1.0326,1.032620,0.000000,1.0000,
2025-11-20,1.0305,1.0355,1.035534,0.000000,1.0000,
2025-11-21,1.0156,1.0206,1.020561,0.000000,1.0000,
2025-11-24,1.0090,1.0140,1.013929,0.000000,1.0000,
2025-11-25,1.0150,1.0200,1.019958,0.000000,1.0000,
2025-11-26,1.0103,1.0153,1.015236,0.000000,1.0000,
2025-11-27,1.0130,1.0180,1.017949,0.000000,1.0000,
2025-11-28,1.0116,1.0166,1.016542,0.000000,1.0000,
2025-12-01,1.0152,1.0202,1.020159,0.000000,1.0000,
2025-12-02,1.0159,1.0209,1.020863,0.000000,1.0000,
2025-12-03,1.0144,1.0194,1.019356,0.000000,1.0000,
2025-12-04,1.0118,1.0168,1.016743,0.000000,1.0000,
2025-12-05,1.0120,1.0170,1.016944,0.000000,1.0000,
2025-12-08,1.0076,1.0126,1.012522,0.000000,1.0000,
2025-12-09,1.0016,1.0066,1.006493,0.000000,1.0000,
2025-12-10,0.9969,1.0019,1.001770,0.000000,1.0000,
2025-12-11,0.9971,1.0021,1.001971,0.000000,1.0000,
2025-12-12,0.9956,1.0006,1.000464,0.000000,1.0000,
2025-12-15,1.0005,1.0055,1.005388,0.000000,1.0000,
2025-12-16,0.9967,1.0017,1.001569,0.000000,1.0000,
2025-12-17,0.9997,1.0047,1.004584,0.000000,1.0000,
2025-12-18,1.0082,1.0132,1.013125,0.000000,1.0000,
2025-12-19,1.0061,1.0111,1.011015,0.000000,1.0000,
2025-12-22,1.0034,1.0084,1.008302,0.000000,1.0000,
2025-12-23,1.0053,1.0103,1.010211,0.000000,1.0000,
2025-12-24,1.0044,1.0094,1.009307,0.000000,1.0000,
2025-12-25,1.0059,1.0109,1.010814,0.000000,1.0000,
2025-12-26,1.0046,1.0096,1.009508,0.000000,1.0000,
2025-12-29,1.0063,1.0113,1.011216,0.000000,1.0000,
2025-12-30,1.0059,1.0109,1.010814,0.000000,1.0000,
2025-12-31,1.0069,1.0119,1.011819,0.000000,1.0000,
2026-01-05,1.0084,1.0134,1.013326,0.000000,1.0000,
2026-01-06,1.0171,1.0221,1.022069,0.000000,1.0000,
2026-01-07,1.0115,1.0165,1.016441,0.000000,1.0000,
2026-01-08,1.0077,1.0127,1.012623,0.000000,1.0000,
2026-01-09,1.0101,1.0151,1.015035,0.000000,1.0000,
2026-01-12,1.0109,1.0159,1.015838,0.000000,1.0000,
2026-01-13,1.0113,1.0163,1.016240,0.000000,1.0000,
2026-01-14,1.0017,1.0067,1.006594,0.000000,1.0000,
2026-01-15,0.9980,1.0030,1.002875,0.000000,1.0000,
2026-01-16,0.9892,0.9942,0.994032,0.000000,1.0000,
2026-01-19,0.9924,0.9974,0.997248,0.000000,1.0000,
2026-01-20,1.0046,1.0096,1.009508,0.000000,1.0000,
2026-01-21,0.9967,1.0017,1.001569,0.000000,1.0000,
2026-01-22,1.0001,1.0051,1.004986,0.000000,1.0000,
2026-01-23,0.9954,1.0004,1.000263,0.000000,1.0000,
2026-01-26,1.0051,1.0101,1.010010,0.000000,1.0000,
2026-01-27,0.9997,1.0047,1.004584,0.000000,1.0000,
2026-01-28,1.0049,1.0099,1.009809,0.000000,1.0000,
2026-01-29,1.0176,1.0226,1.022571,0.000000,1.0000,
2026-01-30,1.0109,1.0159,1.015838,0.000000,1.0000,
2026-02-02,0.9964,1.0014,1.001268,0.000000,1.0000,
2026-02-03,0.9986,1.0036,1.003478,0.000000,1.0000,
2026-02-04,1.0156,1.0206,1.020561,0.000000,1.0000,
2026-02-05,1.0176,1.0226,1.022571,0.000000,1.0000,
2026-02-06,1.0167,1.0217,1.021667,0.000000,1.0000,
2026-02-09,1.0233,1.0283,1.028299,0.000000,1.0000,
2026-02-10,1.0228,1.0278,1.027797,0.000000,1.0000,
2026-02-11,1.0253,1.0303,1.030309,0.000000,1.0000,
2026-02-12,1.0211,1.0261,1.026088,0.000000,1.0000,
2026-02-13,1.0073,1.0123,1.012221,0.000000,1.0000,
2026-02-24,1.0206,1.0256,1.025586,0.000000,1.0000,
2026-02-25,1.0201,1.0251,1.025083,0.000000,1.0000,
2026-02-26,1.0167,1.0217,1.021667,0.000000,1.0000,
