date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2023-09-01,1.0000,1.0000,1.000000,0.000000,1.0000,
2023-09-08,1.0002,1.0002,1.000200,0.000000,1.0000,
2023-09-15,1.0001,1.0001,1.000100,0.000000,1.0000,
2023-09-22,1.0067,1.0067,1.006700,0.000000,1.0000,
2023-09-25,0.9980,0.9980,0.998000,0.000000,1.0000,
2023-09-26,0.9956,0.9956,0.995600,0.000000,1.0000,
2023-09-27,1.0024,1.0024,1.002400,0.000000,1.0000,
2023-09-28,1.0090,1.0090,1.009000,0.000000,1.0000,
2023-10-09,1.0061,1.0061,1.006100,0.000000,1.0000,
2023-10-10,1.0045,1.0045,1.004500,0.000000,1.0000,
2023-10-11,1.0097,1.0097,1.009700,0.000000,1.0000,
2023-10-12,1.0138,1.0138,1.013800,0.000000,1.0000,
2023-10-13,1.0107,1.0107,1.010700,0.000000,1.0000,
2023-10-16,0.9990,0.9990,0.999000,0.000000,1.0000,
2023-10-17,0.9956,0.9956,0.995600,0.000000,1.0000,
2023-10-18,0.9783,0.9783,0.978300,0.000000,1.0000,
2023-10-19,0.9673,0.9673,0.967300,0.000000,1.0000,
2023-10-20,0.9559,0.9559,0.955900,0.000000,1.0000,
2023-10-23,0.9344,0.9344,0.934400,0.000000,1.0000,
2023-10-24,0.9479,0.9479,0.947900,0.000000,1.0000,
2023-10-25,0.9561,0.9561,0.956100,0.000000,1.0000,
2023-10-26,0.9646,0.9646,0.964600,0.000000,1.0000,
2023-10-27,0.9809,0.9809,0.980900,0.000000,1.0000,
2023-10-30,0.9953,0.9953,0.995300,0.000000,1.0000,
2023-10-31,0.9906,0.9906,0.990600,0.000000,1.0000,
2023-11-01,0.9900,0.9900,0.990000,0.000000,1.0000,
2023-11-02,0.9824,0.9824,0.982400,0.000000,1.0000,
2023-11-03,0.9976,0.9976,0.997600,0.000000,1.0000,
2023-11-06,1.0167,1.0167,1.016700,0.000000,1.0000,
2023-11-07,1.0196,1.0196,1.019600,0.000000,1.0000,
2023-11-08,1.0248,1.0248,1.024800,0.000000,1.0000,
2023-11-09,1.0186,1.0186,1.018600,0.000000,1.0000,
2023-11-10,1.0177,1.0177,1.017700,0.000000,1.0000,
