date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2023-05-24,1.0000,1.0000,1.000000,0.000000,1.0000,
2023-05-26,1.0018,1.0018,1.001800,0.000000,1.0000,
2023-05-30,1.0094,1.0094,1.009400,0.000000,1.0000,
2023-06-02,1.0072,1.0072,1.007200,0.000000,1.0000,
2023-06-05,1.0109,1.0109,1.010900,0.000000,1.0000,
2023-06-06,0.9941,0.9941,0.994100,0.000000,1.0000,
2023-06-07,0.9955,0.9955,0.995500,0.000000,1.0000,
2023-06-08,1.0057,1.0057,1.005700,0.000000,1.0000,
2023-06-09,1.0087,1.0087,1.008700,0.000000,1.0000,
2023-06-12,1.0048,1.0048,1.004800,0.000000,1.0000,
2023-06-13,0.9981,0.9981,0.998100,0.000000,1.0000,
2023-06-14,0.9958,0.9958,0.995800,0.000000,1.0000,
2023-06-15,0.9976,0.9976,0.997600,0.000000,1.0000,
2023-06-16,1.0072,1.0072,1.007200,0.000000,1.0000,
2023-06-19,0.9977,0.9977,0.997700,0.000000,1.0000,
2023-06-20,0.9872,0.9872,0.987200,0.000000,1.0000,
2023-06-21,0.9855,0.9855,0.985500,0.000000,1.0000,
2023-06-26,0.9730,0.9730,0.973000,0.000000,1.0000,
2023-06-27,0.9961,0.9961,0.996100,0.000000,1.0000,
2023-06-28,0.9995,0.9995,0.999500,0.000000,1.0000,
2023-06-29,0.9968,0.9968,0.996800,0.000000,1.0000,
2023-06-30,1.0012,1.0012,1.001200,0.000000,1.0000,
2023-07-03,1.0210,1.0210,1.021000,0.000000,1.0000,
2023-07-04,1.0154,1.0154,1.015400,0.000000,1.0000,
2023-07-05,1.0140,1.0140,1.014000,0.000000,1.0000,
2023-07-06,1.0085,1.0085,1.008500,0.000000,1.0000,
2023-07-07,1.0132,1.0132,1.013200,0.000000,1.0000,
2023-07-10,1.0134,1.0134,1.013400,0.000000,1.0000,
2023-07-11,1.0138,1.0138,1.013800,0.000000,1.0000,
2023-07-12,1.0032,1.0032,1.003200,0.000000,1.0000,
2023-07-13,1.0131,1.0131,1.013100,0.000000,1.0000,
2023-07-14,1.0134,1.0134,1.013400,0.000000,1.0000,
2023-07-17,1.0093,1.0093,1.009300,0.000000,1.0000,
2023-07-18,1.0066,1.0066,1.006600,0.000000,1.0000,
2023-07-19,1.0120,1.0120,1.012000,0.000000,1.0000,
2023-07-20,1.0034,1.0034,1.003400,0.000000,1.0000,
2023-07-21,1.0008,1.0008,1.000800,0.000000,1.0000,
2023-07-24,1.0016,1.0016,1.001600,0.000000,1.0000,
2023-07-25,1.0226,1.0226,1.022600,0.000000,1.0000,
2023-07-26,1.0194,1.0194,1.019400,0.000000,1.0000,
2023-07-27,1.0184,1.0184,1.018400,0.000000,1.0000,
2023-07-28,1.0357,1.0357,1.035700,0.000000,1.0000,
2023-07-31,1.0450,1.0450,1.045000,0.000000,1.0000,
2023-08-01,1.0493,1.0493,1.049300,0.000000,1.0000,
2023-08-02,1.0399,1.0399,1.039900,0.000000,1.0000,
2023-08-03,1.0430,1.0430,1.043000,0.000000,1.0000,
2023-08-04,1.0444,1.0444,1.044400,0.000000,1.0000,
2023-08-07,1.0341,1.0341,1.034100,0.000000,1.0000,
2023-08-08,1.0326,1.0326,1.032600,0.000000,1.0000,
2023-08-09,1.0265,1.0265,1.026500,0.000000,1.0000,
2023-08-10,1.0302,1.0302,1.030200,0.000000,1.0000,
2023-08-11,1.0100,1.0100,1.010000,0.000000,1.0000,
2023-08-14,1.0167,1.0167,1.016700,0.000000,1.0000,
2023-08-15,1.0201,1.0201,1.020100,0.000000,1.0000,
2023-08-16,1.0104,1.0104,1.010400,0.000000,1.0000,
2023-08-17,1.0140,1.0140,1.014000,0.000000,1.0000,
2023-08-18,1.0019,1.0019,1.001900,0.000000,1.0000,
2023-08-21,0.9932,0.9932,0.993200,0.000000,1.0000,
2023-08-22,1.0026,1.0026,1.002600,0.000000,1.0000,
2023-08-23,0.9933,0.9933,0.993300,0.000000,1.0000,
2023-08-24,0.9731,0.9731,0.973100,0.000000,1.0000,
2023-08-25,0.9736,0.9736,0.973600,0.000000,1.0000,
2023-08-28,0.9925,0.9925,0.992500,0.000000,1.0000,
2023-08-29,0.9943,0.9943,0.994300,0.000000,1.0000,
2023-08-30,0.9867,0.9867,0.986700,0.000000,1.0000,
2023-08-31,0.9775,0.9775,0.977500,0.000000,1.0000,
2023-09-01,0.9887,0.9887,0.988700,0.000000,1.0000,
2023-09-04,1.0114,1.0114,1.011400,0.000000,1.0000,
2023-09-05,1.0060,1.0060,1.006000,0.000000,1.0000,
2023-09-06,1.0009,1.0009,1.000900,0.000000,1.0000,
2023-09-07,0.9946,0.9946,0.994600,0.000000,1.0000,
2023-09-08,0.9910,0.9910,0.991000,0.000000,1.0000,
2023-09-11,0.9975,0.9975,0.997500,0.000000,1.0000,
2023-09-12,0.9967,0.9967,0.996700,0.000000,1.0000,
2023-09-13,0.9968,0.9968,0.996800,0.000000,1.0000,
2023-09-14,1.0039,1.0039,1.003900,0.000000,1.0000,
2023-09-15,0.9979,0.9979,0.997900,0.000000,1.0000,
2023-09-18,0.9922,0.9922,0.992200,0.000000,1.0000,
2023-09-19,0.9977,0.9977,0.997700,0.000000,1.0000,
2023-09-20,0.9955,0.9955,0.995500,0.000000,1.0000,
2023-09-21,0.9878,0.9878,0.987800,0.000000,1.0000,
2023-09-22,0.9966,0.9966,0.996600,0.000000,1.0000,
2023-09-25,0.9886,0.9886,0.988600,0.000000,1.0000,
2023-09-26,0.9841,0.9841,0.984100,0.000000,1.0000,
2023-09-27,0.9838,0.9838,0.983800,0.000000,1.0000,
2023-09-28,0.9848,0.9848,0.984800,0.000000,1.0000,
2023-10-09,0.9809,0.9809,0.980900,0.000000,1.0000,
2023-10-10,0.9601,0.9601,0.960100,0.000000,1.0000,
2023-10-11,0.9538,0.9538,0.953800,0.000000,1.0000,
2023-10-12,0.9649,0.9649,0.964900,0.000000,1.0000,
2023-10-13,0.9580,0.9580,0.958000,0.000000,1.0000,
2023-10-16,0.9611,0.9611,0.961100,0.000000,1.0000,
2023-10-17,0.9687,0.9687,0.968700,0.000000,1.0000,
2023-10-18,0.9625,0.9625,0.962500,0.000000,1.0000,
2023-10-19,0.9428,0.9428,0.942800,0.000000,1.0000,
2023-10-20,0.9370,0.9370,0.937000,0.000000,1.0000,
2023-10-23,0.9167,0.9167,0.916700,0.000000,1.0000,
2023-10-24,0.9246,0.9246,0.924600,0.000000,1.0000,
2023-10-25,0.9355,0.9355,0.935500,0.000000,1.0000,
2023-10-26,0.9397,0.9397,0.939700,0.000000,1.0000,
2023-10-27,0.9449,0.9449,0.944900,0.000000,1.0000,
2023-10-30,0.9392,0.9392,0.939200,0.000000,1.0000,
2023-10-31,0.9394,0.9394,0.939400,0.000000,1.0000,
2023-11-01,0.9387,0.9387,0.938700,0.000000,1.0000,
2023-11-02,0.9352,0.9352,0.935200,0.000000,1.0000,
2023-11-03,0.9338,0.9338,0.933800,0.000000,1.0000,
2023-11-06,0.9332,0.9332,0.933200,0.000000,1.0000,
2023-11-07,0.9334,0.9334,0.933400,0.000000,1.0000,
2023-11-08,0.9290,0.9290,0.929000,0.000000,1.0000,
2023-11-09,0.9333,0.9333,0.933300,0.000000,1.0000,
2023-11-10,0.9316,0.9316,0.931600,0.000000,1.0000,
2023-11-13,0.9407,0.9407,0.940700,0.000000,1.0000,
2023-11-14,0.9400,0.9400,0.940000,0.000000,1.0000,
2023-11-15,0.9480,0.9480,0.948000,0.000000,1.0000,
2023-11-16,0.9417,0.9417,0.941700,0.000000,1.0000,
2023-11-17,0.9440,0.9440,0.944000,0.000000,1.0000,
2023-11-20,0.9466,0.9466,0.946600,0.000000,1.0000,
2023-11-21,0.9514,0.9514,0.951400,0.000000,1.0000,
2023-11-22,0.9436,0.9436,0.943600,0.000000,1.0000,
2023-11-23,0.9501,0.9501,0.950100,0.000000,1.0000,
2023-11-24,0.9450,0.9450,0.945000,0.000000,1.0000,
2023-11-27,0.9405,0.9405,0.940500,0.000000,1.0000,
2023-11-28,0.9428,0.9428,0.942800,0.000000,1.0000,
2023-11-29,0.9340,0.9340,0.934000,0.000000,1.0000,
2023-11-30,0.9380,0.9380,0.938000,0.000000,1.0000,
2023-12-01,0.9436,0.9436,0.943600,0.000000,1.0000,
2023-12-04,0.9258,0.9448,0.944800,0.019000,1.0000,每10份派现金0.1900元
2023-12-05,0.9099,0.9289,0.928574,0.000000,1.0000,
2023-12-06,0.9084,0.9274,0.927043,0.000000,1.0000,
2023-12-07,0.9074,0.9264,0.926022,0.000000,1.0000,
2023-12-08,0.9040,0.9230,0.922553,0.000000,1.0000,
2023-12-11,0.9101,0.9291,0.928778,0.000000,1.0000,
2023-12-12,0.9164,0.9354,0.935207,0.000000,1.0000,
2023-12-13,0.9065,0.9255,0.925104,0.000000,1.0000,
2023-12-14,0.9051,0.9241,0.923675,0.000000,1.0000,
2023-12-15,0.9000,0.9190,0.918471,0.000000,1.0000,
2023-12-18,0.8962,0.9152,0.914593,0.000000,1.0000,
2023-12-19,0.8930,0.9120,0.911327,0.000000,1.0000,
2023-12-20,0.8882,0.9072,0.906428,0.000000,1.0000,
2023-12-21,0.8904,0.9094,0.908673,0.000000,1.0000,
2023-12-22,0.8916,0.9106,0.909898,0.000000,1.0000,
2023-12-25,0.8906,0.9096,0.908878,0.000000,1.0000,
2023-12-26,0.8863,0.9053,0.904489,0.000000,1.0000,
2023-12-27,0.8937,0.9127,0.912041,0.000000,1.0000,
2023-12-28,0.8966,0.9156,0.915001,0.000000,1.0000,
2023-12-29,0.8982,0.9172,0.916634,0.000000,1.0000,
2023-12-31,0.8982,0.9172,0.916634,0.000000,1.0000,
2024-01-02,0.9048,0.9238,0.923369,0.000000,1.0000,
2024-01-03,0.9138,0.9328,0.932554,0.000000,1.0000,
2024-01-04,0.9144,0.9334,0.933166,0.000000,1.0000,
2024-01-05,0.9112,0.9302,0.929900,0.000000,1.0000,
2024-01-08,0.8995,0.9185,0.917960,0.000000,1.0000,
2024-01-09,0.9037,0.9227,0.922246,0.000000,1.0000,
2024-01-10,0.8977,0.9167,0.916123,0.000000,1.0000,
2024-01-11,0.8951,0.9141,0.913470,0.000000,1.0000,
2024-01-12,0.8988,0.9178,0.917246,0.000000,1.0000,
2024-01-15,0.9048,0.9238,0.923369,0.000000,1.0000,
2024-01-16,0.9050,0.9240,0.923573,0.000000,1.0000,
2024-01-17,0.8893,0.9083,0.907551,0.000000,1.0000,
2024-01-18,0.8800,0.8990,0.898060,0.000000,1.0000,
2024-01-19,0.8746,0.8936,0.892549,0.000000,1.0000,
2024-01-22,0.8458,0.8648,0.863158,0.000000,1.0000,
2024-01-23,0.8544,0.8734,0.871935,0.000000,1.0000,
2024-01-24,0.8861,0.9051,0.904285,0.000000,1.0000,
