date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2023-09-06,1.0000,1.0000,1.000000,0.000000,1.0000,
2023-09-08,0.9989,0.9989,0.998900,0.000000,1.0000,
2023-09-15,1.0037,1.0037,1.003700,0.000000,1.0000,
2023-09-20,1.0072,1.0072,1.007200,0.000000,1.0000,
2023-09-21,1.0012,1.0012,1.001200,0.000000,1.0000,
2023-09-22,1.0061,1.0061,1.006100,0.000000,1.0000,
2023-09-25,1.0034,1.0034,1.003400,0.000000,1.0000,
2023-09-26,1.0001,1.0001,1.000100,0.000000,1.0000,
2023-09-27,0.9956,0.9956,0.995600,0.000000,1.0000,
2023-09-28,0.9959,0.9959,0.995900,0.000000,1.0000,
2023-10-09,0.9908,0.9908,0.990800,0.000000,1.0000,
2023-10-10,0.9813,0.9813,0.981300,0.000000,1.0000,
2023-10-11,0.9781,0.9781,0.978100,0.000000,1.0000,
2023-10-12,0.9890,0.9890,0.989000,0.000000,1.0000,
2023-10-13,0.9870,0.9870,0.987000,0.000000,1.0000,
2023-10-16,0.9890,0.9890,0.989000,0.000000,1.0000,
2023-10-17,0.9912,0.9912,0.991200,0.000000,1.0000,
2023-10-18,0.9828,0.9828,0.982800,0.000000,1.0000,
2023-10-19,0.9660,0.9660,0.966000,0.000000,1.0000,
2023-10-20,0.9610,0.9610,0.961000,0.000000,1.0000,
2023-10-23,0.9448,0.9448,0.944800,0.000000,1.0000,
2023-10-24,0.9546,0.9546,0.954600,0.000000,1.0000,
2023-10-25,0.9681,0.9681,0.968100,0.000000,1.0000,
2023-10-26,0.9682,0.9682,0.968200,0.000000,1.0000,
2023-10-27,0.9700,0.9700,0.970000,0.000000,1.0000,
2023-10-30,0.9597,0.9597,0.959700,0.000000,1.0000,
2023-10-31,0.9605,0.9605,0.960500,0.000000,1.0000,
2023-11-01,0.9590,0.9590,0.959000,0.000000,1.0000,
2023-11-02,0.9595,0.9595,0.959500,0.000000,1.0000,
2023-11-03,0.9548,0.9548,0.954800,0.000000,1.0000,
2023-11-06,0.9572,0.9572,0.957200,0.000000,1.0000,
2023-11-07,0.9572,0.9572,0.957200,0.000000,1.0000,
2023-11-08,0.9551,0.9551,0.955100,0.000000,1.0000,
2023-11-09,0.9590,0.9590,0.959000,0.000000,1.0000,
2023-11-10,0.9545,0.9545,0.954500,0.000000,1.0000,
2023-11-13,0.9604,0.9604,0.960400,0.000000,1.0000,
2023-11-14,0.9598,0.9598,0.959800,0.000000,1.0000,
2023-11-15,0.9651,0.9651,0.965100,0.000000,1.0000,
2023-11-16,0.9639,0.9639,0.963900,0.000000,1.0000,
2023-11-17,0.9634,0.9634,0.963400,0.000000,1.0000,
2023-11-20,0.9644,0.9644,0.964400,0.000000,1.0000,
2023-11-21,0.9707,0.9707,0.970700,0.000000,1.0000,
2023-11-22,0.9689,0.9689,0.968900,0.000000,1.0000,
2023-11-23,0.9770,0.9770,0.977000,0.000000,1.0000,
2023-11-24,0.9763,0.9763,0.976300,0.000000,1.0000,
2023-11-27,0.9722,0.9722,0.972200,0.000000,1.0000,
2023-11-28,0.9713,0.9713,0.971300,0.000000,1.0000,
2023-11-29,0.9633,0.9633,0.963300,0.000000,1.0000,
2023-11-30,0.9645,0.9645,0.964500,0.000000,1.0000,
2023-12-01,0.9714,0.9714,0.971400,0.000000,1.0000,
2023-12-04,0.9734,0.9734,0.973400,0.000000,1.0000,
2023-12-05,0.9572,0.9572,0.957200,0.000000,1.0000,
2023-12-06,0.9578,0.9578,0.957800,0.000000,1.0000,
2023-12-07,0.9592,0.9592,0.959200,0.000000,1.0000,
2023-12-08,0.9528,0.9528,0.952800,0.000000,1.0000,
2023-12-11,0.9668,0.9668,0.966800,0.000000,1.0000,
2023-12-12,0.9740,0.9740,0.974000,0.000000,1.0000,
2023-12-13,0.9665,0.9665,0.966500,0.000000,1.0000,
2023-12-14,0.9673,0.9673,0.967300,0.000000,1.0000,
2023-12-15,0.9621,0.9621,0.962100,0.000000,1.0000,
2023-12-18,0.9587,0.9587,0.958700,0.000000,1.0000,
2023-12-19,0.9557,0.9557,0.955700,0.000000,1.0000,
2023-12-20,0.9512,0.9512,0.951200,0.000000,1.0000,
2023-12-21,0.9506,0.9506,0.950600,0.000000,1.0000,
2023-12-22,0.9459,0.9459,0.945900,0.000000,1.0000,
2023-12-25,0.9456,0.9456,0.945600,0.000000,1.0000,
2023-12-26,0.9399,0.9399,0.939900,0.000000,1.0000,
2023-12-27,0.9455,0.9455,0.945500,0.000000,1.0000,
2023-12-28,0.9444,0.9444,0.944400,0.000000,1.0000,
2023-12-29,0.9493,0.9493,0.949300,0.000000,1.0000,
2023-12-31,0.9492,0.9492,0.949200,0.000000,1.0000,
2024-01-02,0.9592,0.9592,0.959200,0.000000,1.0000,
2024-01-03,0.9698,0.9698,0.969800,0.000000,1.0000,
2024-01-04,0.9738,0.9738,0.973800,0.000000,1.0000,
2024-01-05,0.9743,0.9743,0.974300,0.000000,1.0000,
2024-01-08,0.9648,0.9648,0.964800,0.000000,1.0000,
2024-01-09,0.9703,0.9703,0.970300,0.000000,1.0000,
2024-01-10,0.9632,0.9632,0.963200,0.000000,1.0000,
2024-01-11,0.9586,0.9586,0.958600,0.000000,1.0000,
