date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2023-05-24,1.0000,1.0000,1.000000,0.000000,1.0000,
2023-05-26,1.0020,1.0020,1.002000,0.000000,1.0000,
2023-05-30,1.0081,1.0081,1.008100,0.000000,1.0000,
2023-06-02,1.0063,1.0063,1.006300,0.000000,1.0000,
2023-06-05,1.0112,1.0112,1.011200,0.000000,1.0000,
2023-06-06,0.9947,0.9947,0.994700,0.000000,1.0000,
2023-06-07,0.9960,0.9960,0.996000,0.000000,1.0000,
2023-06-08,1.0061,1.0061,1.006100,0.000000,1.0000,
2023-06-09,1.0088,1.0088,1.008800,0.000000,1.0000,
2023-06-12,1.0052,1.0052,1.005200,0.000000,1.0000,
2023-06-13,0.9987,0.9987,0.998700,0.000000,1.0000,
2023-06-14,0.9965,0.9965,0.996500,0.000000,1.0000,
2023-06-15,0.9986,0.9986,0.998600,0.000000,1.0000,
2023-06-16,1.0085,1.0085,1.008500,0.000000,1.0000,
2023-06-19,0.9988,0.9988,0.998800,0.000000,1.0000,
2023-06-20,0.9886,0.9886,0.988600,0.000000,1.0000,
2023-06-21,0.9868,0.9868,0.986800,0.000000,1.0000,
2023-06-26,0.9745,0.9745,0.974500,0.000000,1.0000,
2023-06-27,0.9973,0.9973,0.997300,0.000000,1.0000,
2023-06-28,1.0005,1.0005,1.000500,0.000000,1.0000,
2023-06-29,0.9980,0.9980,0.998000,0.000000,1.0000,
2023-06-30,1.0024,1.0024,1.002400,0.000000,1.0000,
2023-07-03,1.0220,1.0220,1.022000,0.000000,1.0000,
2023-07-04,1.0163,1.0163,1.016300,0.000000,1.0000,
2023-07-05,1.0150,1.0150,1.015000,0.000000,1.0000,
2023-07-06,1.0092,1.0092,1.009200,0.000000,1.0000,
2023-07-07,1.0136,1.0136,1.013600,0.000000,1.0000,
2023-07-10,1.0143,1.0143,1.014300,0.000000,1.0000,
2023-07-11,1.0146,1.0146,1.014600,0.000000,1.0000,
2023-07-12,1.0035,1.0035,1.003500,0.000000,1.0000,
2023-07-13,1.0128,1.0128,1.012800,0.000000,1.0000,
2023-07-14,1.0129,1.0129,1.012900,0.000000,1.0000,
2023-07-17,1.0094,1.0094,1.009400,0.000000,1.0000,
2023-07-18,1.0069,1.0069,1.006900,0.000000,1.0000,
2023-07-19,1.0119,1.0119,1.011900,0.000000,1.0000,
2023-07-20,1.0038,1.0038,1.003800,0.000000,1.0000,
2023-07-21,1.0013,1.0013,1.001300,0.000000,1.0000,
2023-07-24,1.0022,1.0022,1.002200,0.000000,1.0000,
2023-07-25,1.0229,1.0229,1.022900,0.000000,1.0000,
2023-07-26,1.0203,1.0203,1.020300,0.000000,1.0000,
2023-07-27,1.0190,1.0190,1.019000,0.000000,1.0000,
2023-07-28,1.0362,1.0362,1.036200,0.000000,1.0000,
2023-07-31,1.0459,1.0459,1.045900,0.000000,1.0000,
2023-08-01,1.0502,1.0502,1.050200,0.000000,1.0000,
2023-08-02,1.0421,1.0421,1.042100,0.000000,1.0000,
2023-08-03,1.0453,1.0453,1.045300,0.000000,1.0000,
