date,unit_nav,cumulative_nav,reinvested_nav,dividend,split_ratio,event_note
2025-04-16,1.0000,1.0000,1.000000,0.000000,1.0000,
2025-04-18,1.0001,1.0001,1.000100,0.000000,1.0000,
2025-04-23,0.9996,0.9996,0.999600,0.000000,1.0000,
2025-04-24,1.0011,1.0011,1.001100,0.000000,1.0000,
2025-04-25,0.9977,0.9977,0.997700,0.000000,1.0000,
2025-04-28,1.0000,1.0000,1.000000,0.000000,1.0000,
2025-04-29,0.9964,0.9964,0.996400,0.000000,1.0000,
2025-04-30,0.9822,0.9822,0.982200,0.000000,1.0000,
2025-05-06,0.9847,0.9847,0.984700,0.000000,1.0000,
2025-05-07,0.9926,0.9926,0.992600,0.000000,1.0000,
2025-05-08,0.9952,0.9952,0.995200,0.000000,1.0000,
2025-05-09,1.0010,1.0010,1.001000,0.000000,1.0000,
2025-05-12,1.0039,1.0039,1.003900,0.000000,1.0000,
2025-05-13,1.0148,1.0148,1.014800,0.000000,1.0000,
2025-05-14,1.0258,1.0258,1.025800,0.000000,1.0000,
2025-05-15,1.0209,1.0209,1.020900,0.000000,1.0000,
2025-05-16,1.0131,1.0131,1.013100,0.000000,1.0000,
2025-05-19,1.0164,1.0164,1.016400,0.000000,1.0000,
2025-05-20,1.0177,1.0177,1.017700,0.000000,1.0000,
2025-05-21,1.0285,1.0285,1.028500,0.000000,1.0000,
2025-05-22,1.0309,1.0309,1.030900,0.000000,1.0000,
2025-05-23,1.0215,1.0215,1.021500,0.000000,1.0000,
2025-05-26,1.0168,1.0168,1.016800,0.000000,1.0000,
2025-05-27,1.0159,1.0159,1.015900,0.000000,1.0000,
2025-05-28,1.0188,1.0188,1.018800,0.000000,1.0000,
2025-05-29,1.0216,1.0216,1.021600,0.000000,1.0000,
2025-05-30,1.0238,1.0238,1.023800,0.000000,1.0000,
2025-06-03,1.0312,1.0312,1.031200,0.000000,1.0000,
2025-06-04,1.0355,1.0355,1.035500,0.000000,1.0000,
2025-06-05,1.0277,1.0277,1.027700,0.000000,1.0000,
2025-06-06,1.0295,1.0295,1.029500,0.000000,1.0000,
2025-06-09,1.0321,1.0321,1.032100,0.000000,1.0000,
2025-06-10,1.0340,1.0340,1.034000,0.000000,1.0000,
2025-06-11,1.0370,1.0370,1.037000,0.000000,1.0000,
2025-06-12,1.0381,1.0381,1.038100,0.000000,1.0000,
2025-06-13,1.0334,1.0334,1.033400,0.000000,1.0000,
2025-06-16,1.0388,1.0388,1.038800,0.000000,1.0000,
2025-06-17,1.0395,1.0395,1.039500,0.000000,1.0000,
2025-06-18,1.0430,1.0430,1.043000,0.000000,1.0000,
2025-06-19,1.0369,1.0369,1.036900,0.000000,1.0000,
2025-06-20,1.0427,1.0427,1.042700,0.000000,1.0000,
2025-06-23,1.0510,1.0510,1.051000,0.000000,1.0000,
2025-06-24,1.0520,1.0520,1.052000,0.000000,1.0000,
2025-06-25,1.0575,1.0575,1.057500,0.000000,1.0000,
2025-06-26,1.0609,1.0609,1.060900,0.000000,1.0000,
2025-06-27,1.0488,1.0488,1.048800,0.000000,1.0000,
2025-06-30,1.0461,1.0461,1.046100,0.000000,1.0000,
2025-07-01,1.0563,1.0563,1.056300,0.000000,1.0000,
2025-07-02,1.0645,1.0645,1.064500,0.000000,1.0000,
2025-07-03,1.0644,1.0644,1.064400,0.000000,1.0000,
2025-07-04,1.0726,1.0726,1.072600,0.000000,1.0000,
2025-07-07,1.0759,1.0759,1.075900,0.000000,1.0000,
2025-07-08,1.0745,1.0745,1.074500,0.000000,1.0000,
2025-07-09,1.0800,1.0800,1.080000,0.000000,1.0000,
2025-07-10,1.0897,1.0897,1.089700,0.000000,1.0000,
