date,nav
2024-04-25,0.89
2024-04-26,0.888
2024-04-29,0.892
2024-04-30,0.893
2024-05-06,0.904
2024-05-07,0.903
2024-05-08,0.898
2024-05-09,0.905
2024-05-10,0.908
2024-05-13,0.913
2024-05-14,0.912
2024-05-15,0.906
2024-05-16,0.909
2024-05-17,0.917
2024-05-20,0.921
2024-05-21,0.921
2024-05-22,0.924
2024-05-23,0.913
2024-05-24,0.91
2024-05-27,0.918
2024-05-28,0.911
2024-05-29,0.911
2024-05-30,0.91
2024-05-31,0.906
2024-06-03,0.894
2024-06-04,0.899
2024-06-05,0.888
2024-06-06,0.883
2024-06-07,0.891
2024-06-11,0.88
2024-06-12,0.882
2024-06-13,0.868
2024-06-14,0.875
2024-06-17,0.866
2024-06-18,0.868
2024-06-19,0.866
2024-06-20,0.859
2024-06-21,0.862
2024-06-24,0.849
2024-06-25,0.855
2024-06-26,0.859
2024-06-27,0.857
2024-06-28,0.862
2024-07-01,0.873
2024-07-02,0.877
2024-07-03,0.874
2024-07-04,0.868
2024-07-05,0.865
2024-07-08,0.858
2024-07-09,0.864
2024-07-10,0.857
2024-07-11,0.865
2024-07-12,0.869
2024-07-15,0.869
2024-07-16,0.866
2024-07-17,0.871
2024-07-18,0.873
2024-07-19,0.868
2024-07-22,0.859
2024-07-23,0.852
2024-07-24,0.85
2024-07-25,0.85
2024-07-26,0.851
2024-07-29,0.853
2024-07-30,0.85
2024-07-31,0.864
2024-08-01,0.863
2024-08-02,0.863
2024-08-05,0.853
2024-08-06,0.85
2024-08-07,0.852
2024-08-08,0.857
2024-08-09,0.855
2024-08-12,0.851
2024-08-13,0.852
2024-08-14,0.847
2024-08-15,0.855
2024-08-16,0.856
2024-08-19,0.861
2024-08-20,0.851
2024-08-21,0.846
2024-08-22,0.843
2024-08-23,0.846
2024-08-26,0.846
2024-08-27,0.845
2024-08-28,0.842
2024-08-29,0.829
2024-08-30,0.835
2024-09-02,0.828
2024-09-03,0.823
2024-09-04,0.818
2024-09-05,0.819
2024-09-06,0.811
2024-09-09,0.801
2024-09-10,0.8
2024-09-11,0.788
2024-09-12,0.787
2024-09-13,0.784
2024-09-18,0.792
2024-09-19,0.796
2024-09-20,0.795
2024-09-23,0.801
2024-09-24,0.838
2024-09-25,0.854
2024-09-26,0.885
2024-09-27,0.9
2024-09-30,0.97
2024-10-08,0.994
2024-10-09,0.916
2024-10-10,0.94
2024-10-11,0.924
2024-10-14,0.949
2024-10-15,0.93
2024-10-16,0.947
2024-10-17,0.931
2024-10-18,0.939
2024-10-21,0.934
2024-10-22,0.938
2024-10-23,0.945
2024-10-24,0.938
2024-10-25,0.941
2024-10-28,0.948
2024-10-29,0.936
2024-10-30,0.929
2024-10-31,0.929
2024-11-01,0.937
2024-11-04,0.943
2024-11-05,0.961
2024-11-06,0.957
2024-11-07,0.988
2024-11-08,0.973
2024-11-11,0.968
2024-11-12,0.964
2024-11-13,0.967
2024-11-14,0.954
2024-11-15,0.948
2024-11-18,0.966
2024-11-19,0.962
2024-11-20,0.963
2024-11-21,0.963
2024-11-22,0.938
2024-11-25,0.94
2024-11-26,0.938
2024-11-27,0.946
2024-11-28,0.95
2024-11-29,0.954
2024-12-02,0.963
2024-12-03,0.972
2024-12-04,0.97
2024-12-05,0.97
2024-12-06,0.981
2024-12-09,0.983
2024-12-10,0.984
2024-12-11,0.988
2024-12-12,1.0
2024-12-13,0.983
2024-12-16,0.989
2024-12-17,0.985
2024-12-18,0.99
2024-12-19,0.982
2024-12-20,0.975
2024-12-23,0.978
2024-12-24,0.986
2024-12-25,0.991
2024-12-26,0.986
2024-12-27,0.99
2024-12-30,0.994
2024-12-31,0.991
2025-01-02,0.97
2025-01-03,0.96
2025-01-06,0.963
2025-01-07,0.961
2025-01-08,0.959
2025-01-09,0.948
2025-01-10,0.937
2025-01-13,0.925
2025-01-14,0.941
2025-01-15,0.941
2025-01-16,0.947
2025-01-17,0.948
2025-01-20,0.946
2025-01-21,0.939
2025-01-22,0.93
2025-01-23,0.941
2025-01-24,0.945
2025-01-27,0.96
2025-02-05,0.94
2025-02-06,0.942
2025-02-07,0.948
2025-02-10,0.949
2025-02-11,0.956
2025-02-12,0.956
2025-02-13,0.957
2025-02-14,0.957
2025-02-17,0.955
2025-02-18,0.953
2025-02-19,0.955
2025-02-20,0.951
2025-02-21,0.946
2025-02-24,0.947
2025-02-25,0.939
2025-02-26,0.947
2025-02-27,0.955
2025-02-28,0.948
2025-03-03,0.949
2025-03-04,0.95
2025-03-05,0.953
2025-03-06,0.952
2025-03-07,0.953
2025-03-10,0.95
2025-03-11,0.955
2025-03-12,0.953
2025-03-13,0.952
2025-03-14,0.964
2025-03-17,0.969
2025-03-18,0.966
2025-03-19,0.968
2025-03-20,0.965
2025-03-21,0.964
2025-03-24,0.967
2025-03-25,0.974
2025-03-26,0.974
2025-03-27,0.976
2025-03-28,0.97
2025-03-31,0.967
2025-04-01,0.976
2025-04-02,0.977
2025-04-03,0.98
2025-04-07,0.922
2025-04-08,0.944
2025-04-09,0.943
2025-04-10,0.952
2025-04-11,0.948
2025-04-14,0.951
2025-04-15,0.955
2025-04-16,0.96
2025-04-17,0.962
2025-04-18,0.963
2025-04-21,0.96
2025-04-22,0.967
2025-04-23,0.961
2025-04-24,0.967
2025-04-25,0.968
2025-04-28,0.969
2025-04-29,0.966
2025-04-30,0.958
2025-05-06,0.959
2025-05-07,0.968
2025-05-08,0.97
2025-05-09,0.976
2025-05-12,0.977
2025-05-13,0.983
2025-05-14,0.99
2025-05-15,0.987
2025-05-16,0.982
2025-05-19,0.985
2025-05-20,0.988
2025-05-21,0.994
2025-05-22,0.992
2025-05-23,0.985
2025-05-26,0.979
2025-05-27,0.981
2025-05-28,0.984
2025-05-29,0.985
2025-05-30,0.987
2025-06-03,0.988
2025-06-04,0.991
2025-06-05,0.987
2025-06-06,0.99
2025-06-09,0.993
2025-06-10,0.993
2025-06-11,0.996
2025-06-12,0.997
2025-06-13,0.991
2025-06-16,0.99
2025-06-17,0.989
2025-06-18,0.989
2025-06-19,0.982
2025-06-20,0.986
2025-06-23,0.987
2025-06-24,0.99
2025-06-25,0.994
2025-06-26,0.997
2025-06-27,0.993
2025-06-30,0.992
2025-07-01,0.997
2025-07-02,1.003
2025-07-03,1.005
2025-07-04,1.009
2025-07-07,1.016
2025-07-08,1.017
2025-07-09,1.023
2025-07-10,1.031
2025-07-11,1.028
2025-07-14,1.034
2025-07-15,1.023
2025-07-16,1.023
2025-07-17,1.02
2025-07-18,1.027
2025-07-21,1.038
2025-07-22,1.053
2025-07-23,1.05
2025-07-24,1.051
2025-07-25,1.045
2025-07-28,1.036
2025-07-29,1.033
2025-07-30,1.037
2025-07-31,1.02
2025-08-01,1.02
2025-08-04,1.023
2025-08-05,1.031
2025-08-06,1.03
2025-08-07,1.03
2025-08-08,1.035
2025-08-11,1.032
2025-08-12,1.035
2025-08-13,1.032
2025-08-14,1.028
2025-08-15,1.03
2025-08-18,1.034
2025-08-19,1.033
2025-08-20,1.041
2025-08-21,1.048
2025-08-22,1.047
2025-08-25,1.058
2025-08-26,1.058
2025-08-27,1.038
2025-08-28,1.038
2025-08-29,1.038
2025-09-01,1.037
2025-09-02,1.036
2025-09-03,1.028
2025-09-04,1.027
2025-09-05,1.031
2025-09-08,1.037
2025-09-09,1.039
2025-09-10,1.034
2025-09-11,1.039
2025-09-12,1.036
2025-09-15,1.031
2025-09-16,1.026
2025-09-17,1.031
2025-09-18,1.014
2025-09-19,1.018
2025-09-22,1.01
2025-09-23,1.012
2025-09-24,1.016
2025-09-25,1.014
2025-09-26,1.017
2025-09-29,1.017
2025-09-30,1.014
2025-10-09,1.027
2025-10-10,1.035
2025-10-13,1.031
2025-10-14,1.039
2025-10-15,1.042
2025-10-16,1.044
2025-10-17,1.038
2025-10-20,1.041
2025-10-21,1.047
2025-10-22,1.052
2025-10-23,1.056
2025-10-24,1.051
2025-10-27,1.053
2025-10-28,1.048
2025-10-29,1.047
2025-10-30,1.048
2025-10-31,1.047
2025-11-03,1.056
2025-11-04,1.06
2025-11-05,1.061
2025-11-06,1.069
2025-11-07,1.072
2025-11-10,1.082
2025-11-11,1.084
2025-11-12,1.089
2025-11-13,1.089
2025-11-14,1.084
2025-11-17,1.075
2025-11-18,1.066
2025-11-19,1.067
2025-11-20,1.07
2025-11-21,1.051
2025-11-24,1.046
2025-11-25,1.052
2025-11-26,1.05
2025-11-27,1.049
2025-11-28,1.05
2025-12-01,1.058
2025-12-02,1.062
2025-12-03,1.064
2025-12-04,1.06
2025-12-05,1.059
2025-12-08,1.055
2025-12-09,1.05
2025-12-10,1.047
2025-12-11,1.04
2025-12-12,1.04
2025-12-15,1.043
2025-12-16,1.037
2025-12-17,1.041
2025-12-18,1.045
2025-12-19,1.045
2025-12-22,1.041
2025-12-23,1.04
2025-12-24,1.042
2025-12-25,1.045
2025-12-26,1.046
2025-12-29,1.04
2025-12-30,1.036
2025-12-31,1.035
2026-01-05,1.036
2026-01-06,1.041
2026-01-07,1.04
2026-01-08,1.035
2026-01-09,1.035
2026-01-12,1.039
2026-01-13,1.04
2026-01-14,1.033
2026-01-15,1.03
2026-01-16,1.021
2026-01-19,1.025
2026-01-20,1.038
2026-01-21,1.03
2026-01-22,1.036
2026-01-23,1.036
2026-01-26,1.04
2026-01-27,1.035
2026-01-28,1.039
2026-01-29,1.056
2026-01-30,1.053
2026-02-02,1.037
