date,nav
2023-04-21,0.995
2023-04-24,0.981
2023-04-25,0.971
2023-04-26,0.97
2023-04-27,0.958
2023-04-28,0.977
2023-05-04,0.966
2023-05-05,0.969
2023-05-08,0.989
2023-05-09,0.981
2023-05-10,0.983
2023-05-11,0.978
2023-05-12,0.961
2023-05-15,0.97
2023-05-16,0.966
2023-05-17,0.954
2023-05-18,0.956
2023-05-19,0.958
2023-05-22,0.961
2023-05-23,0.955
2023-05-24,0.937
2023-05-25,0.913
2023-05-26,0.913
2023-05-29,0.91
2023-05-30,0.899
2023-05-31,0.871
2023-06-01,0.875
2023-06-02,0.904
2023-06-05,0.91
2023-06-06,0.912
2023-06-07,0.917
2023-06-08,0.928
2023-06-09,0.933
2023-06-12,0.931
2023-06-13,0.932
2023-06-14,0.933
2023-06-15,0.939
2023-06-16,0.955
2023-06-19,0.947
2023-06-20,0.939
2023-06-21,0.922
2023-06-26,0.916
2023-06-27,0.938
2023-06-28,0.942
2023-06-29,0.93
2023-06-30,0.945
2023-07-03,0.965
2023-07-04,0.97
2023-07-05,0.967
2023-07-06,0.945
2023-07-07,0.938
2023-07-10,0.942
2023-07-11,0.944
2023-07-12,0.947
2023-07-13,0.959
2023-07-14,0.961
2023-07-17,0.955
2023-07-18,0.952
2023-07-19,0.965
2023-07-20,0.961
2023-07-21,0.957
2023-07-24,0.947
2023-07-25,0.968
2023-07-26,0.973
2023-07-27,0.974
2023-07-28,1.0
2023-07-31,1.002
2023-08-01,0.991
2023-08-02,0.979
2023-08-03,0.983
2023-08-04,0.982
2023-08-07,0.989
2023-08-08,0.993
2023-08-09,0.991
2023-08-10,0.994
2023-08-11,0.982
2023-08-14,0.972
2023-08-15,0.977
2023-08-16,0.956
2023-08-17,0.954
2023-08-18,0.946
2023-08-21,0.925
2023-08-22,0.939
2023-08-23,0.936
2023-08-24,0.942
2023-08-25,0.93
2023-08-28,0.944
2023-08-29,0.954
2023-08-30,0.953
2023-08-31,0.946
2023-09-01,0.952
2023-09-04,0.974
2023-09-05,0.969
2023-09-06,0.965
2023-09-07,0.964
2023-09-08,0.962
2023-09-11,0.954
2023-09-12,0.945
2023-09-13,0.938
2023-09-14,0.958
2023-09-15,0.967
2023-09-18,0.964
2023-09-19,0.978
2023-09-20,0.981
2023-09-21,0.967
2023-09-22,0.973
2023-09-25,0.965
2023-09-26,0.952
2023-09-27,0.94
2023-09-28,0.944
2023-10-09,0.935
2023-10-10,0.928
2023-10-11,0.936
2023-10-12,0.943
2023-10-13,0.937
2023-10-16,0.935
2023-10-17,0.937
2023-10-18,0.937
2023-10-19,0.92
2023-10-20,0.922
2023-10-23,0.913
2023-10-24,0.914
2023-10-25,0.922
2023-10-26,0.917
2023-10-27,0.932
2023-10-30,0.936
2023-10-31,0.928
2023-11-01,0.926
2023-11-02,0.931
2023-11-03,0.947
2023-11-06,0.934
2023-11-07,0.923
2023-11-08,0.915
2023-11-09,0.922
2023-11-10,0.916
2023-11-13,0.921
2023-11-14,0.929
2023-11-15,0.945
2023-11-16,0.945
2023-11-17,0.928
2023-11-20,0.929
2023-11-21,0.93
2023-11-22,0.924
2023-11-23,0.932
2023-11-24,0.93
2023-11-27,0.933
2023-11-28,0.934
2023-11-29,0.919
2023-11-30,0.925
2023-12-01,0.925
2023-12-04,0.921
2023-12-05,0.902
2023-12-06,0.916
2023-12-07,0.898
2023-12-08,0.897
2023-12-11,0.895
2023-12-12,0.909
2023-12-13,0.885
2023-12-14,0.893
2023-12-15,0.909
2023-12-18,0.925
2023-12-19,0.92
2023-12-20,0.916
2023-12-21,0.928
2023-12-22,0.945
2023-12-25,0.944
2023-12-26,0.939
2023-12-27,0.949
2023-12-28,0.954
2023-12-29,0.95
2024-01-02,0.958
2024-01-03,0.964
2024-01-04,0.98
2024-01-05,0.992
2024-01-08,0.98
2024-01-09,0.97
2024-01-10,0.957
2024-01-11,0.958
2024-01-12,0.966
2024-01-15,0.978
2024-01-16,0.964
2024-01-17,0.925
2024-01-18,0.944
2024-01-19,0.926
2024-01-22,0.903
2024-01-23,0.926
2024-01-24,0.949
2024-01-25,0.977
2024-01-26,0.977
2024-01-29,0.978
2024-01-30,0.953
2024-01-31,0.947
2024-02-01,0.952
2024-02-02,0.949
2024-02-05,0.948
2024-02-06,0.971
2024-02-07,0.968
2024-02-08,0.965
2024-02-19,0.98
2024-02-20,0.994
2024-02-21,1.007
2024-02-22,1.038
2024-02-23,1.041
2024-02-26,1.03
2024-02-27,1.021
2024-02-28,1.012
2024-02-29,1.022
2024-03-01,1.017
2024-03-04,1.029
2024-03-05,1.015
2024-03-06,1.022
2024-03-07,1.026
2024-03-08,1.052
2024-03-11,1.044
2024-03-12,1.049
2024-03-13,1.06
2024-03-14,1.053
2024-03-15,1.045
2024-03-18,1.049
2024-03-19,1.029
2024-03-20,1.038
2024-03-21,1.047
2024-03-22,1.009
2024-03-25,0.993
2024-03-26,0.984
2024-03-27,0.98
2024-03-28,0.977
2024-03-29,0.982
2024-04-01,0.984
2024-04-02,0.995
2024-04-03,0.999
2024-04-08,0.999
2024-04-09,1.0
2024-04-10,1.02
2024-04-11,1.027
2024-04-12,1.017
2024-04-15,1.014
2024-04-16,1.008
2024-04-17,1.012
2024-04-18,1.035
2024-04-19,1.034
2024-04-22,1.042
2024-04-23,1.031
2024-04-24,1.044
2024-04-25,1.06
2024-04-26,1.081
2024-04-29,1.076
2024-04-30,1.082
2024-05-06,1.113
2024-05-07,1.126
2024-05-08,1.13
2024-05-09,1.155
2024-05-10,1.188
2024-05-13,1.193
2024-05-14,1.189
2024-05-15,1.187
2024-05-16,1.17
2024-05-17,1.184
2024-05-20,1.208
2024-05-21,1.19
2024-05-22,1.184
2024-05-23,1.171
2024-05-24,1.162
2024-05-27,1.209
2024-05-28,1.23
2024-05-29,1.226
2024-05-30,1.186
2024-05-31,1.195
2024-06-03,1.205
2024-06-04,1.206
2024-06-05,1.185
2024-06-06,1.206
2024-06-07,1.214
2024-06-11,1.17
2024-06-12,1.169
