date,nav
2021-08-02,2.137
2021-08-03,2.098
2021-08-04,2.122
2021-08-05,2.11
2021-08-06,2.121
2021-08-09,2.161
2021-08-10,2.16
2021-08-11,2.218
2021-08-12,2.249
2021-08-13,2.244
2021-08-16,2.252
2021-08-17,2.218
2021-08-18,2.236
2021-08-19,2.226
2021-08-20,2.241
2021-08-23,2.254
2021-08-24,2.278
2021-08-25,2.312
2021-08-26,2.353
2021-08-27,2.382
2021-08-30,2.407
2021-08-31,2.48
2021-09-01,2.475
2021-09-02,2.554
2021-09-03,2.531
2021-09-06,2.559
2021-09-07,2.64
2021-09-08,2.676
2021-09-09,2.777
2021-09-10,2.714
2021-09-13,2.786
2021-09-14,2.716
2021-09-15,2.693
2021-09-16,2.68
2021-09-17,2.591
2021-09-22,2.649
2021-09-23,2.64
2021-09-24,2.526
2021-09-27,2.441
2021-09-28,2.519
2021-09-29,2.435
2021-09-30,2.45
2021-10-08,2.44
2021-10-11,2.483
2021-10-12,2.443
2021-10-13,2.403
2021-10-14,2.386
2021-10-15,2.408
2021-10-18,2.457
2021-10-19,2.469
2021-10-20,2.395
2021-10-21,2.433
2021-10-22,2.371
2021-10-25,2.37
2021-10-26,2.344
2021-10-27,2.273
2021-10-28,2.196
2021-10-29,2.2
2021-11-01,2.209
2021-11-02,2.158
2021-11-03,2.199
2021-11-04,2.192
2021-11-05,2.153
2021-11-08,2.15
2021-11-09,2.136
2021-11-10,2.129
2021-11-11,2.176
2021-11-12,2.16
2021-11-15,2.164
2021-11-16,2.147
2021-11-17,2.15
2021-11-18,2.15
2021-11-19,2.186
2021-11-22,2.185
2021-11-23,2.198
2021-11-24,2.23
2021-11-25,2.219
2021-11-26,2.187
2021-11-29,2.152
2021-11-30,2.154
2021-12-01,2.179
2021-12-02,2.194
2021-12-03,2.225
2021-12-06,2.217
2021-12-07,2.247
2021-12-08,2.247
2021-12-09,2.258
2021-12-10,2.238
2021-12-13,2.229
2021-12-14,2.191
2021-12-15,2.203
2021-12-16,2.245
2021-12-17,2.229
2021-12-20,2.203
2021-12-21,2.242
2021-12-22,2.237
2021-12-23,2.246
2021-12-24,2.235
2021-12-27,2.242
2021-12-28,2.225
2021-12-29,2.215
2021-12-30,2.212
2021-12-31,2.236
2022-01-04,2.278
2022-01-05,2.269
2022-01-06,2.273
2022-01-07,2.289
2022-01-10,2.308
2022-01-11,2.329
2022-01-12,2.317
2022-01-13,2.316
2022-01-14,2.271
2022-01-17,2.274
2022-01-18,2.304
2022-01-19,2.321
2022-01-20,2.307
2022-01-21,2.304
2022-01-24,2.29
2022-01-25,2.211
2022-01-26,2.219
2022-01-27,2.201
2022-01-28,2.193
2022-02-07,2.252
2022-02-08,2.319
2022-02-09,2.325
2022-02-10,2.366
2022-02-11,2.369
2022-02-14,2.323
2022-02-15,2.304
2022-02-16,2.333
2022-02-17,2.319
2022-02-18,2.372
2022-02-21,2.398
2022-02-22,2.387
2022-02-23,2.356
2022-02-24,2.331
2022-02-25,2.311
2022-02-28,2.32
2022-03-01,2.35
2022-03-02,2.383
2022-03-03,2.418
2022-03-04,2.408
2022-03-07,2.388
2022-03-08,2.305
2022-03-09,2.248
2022-03-10,2.294
2022-03-11,2.314
2022-03-14,2.275
2022-03-15,2.117
2022-03-16,2.176
2022-03-17,2.206
2022-03-18,2.276
2022-03-21,2.295
2022-03-22,2.343
2022-03-23,2.339
2022-03-24,2.346
2022-03-25,2.347
2022-03-28,2.393
2022-03-29,2.411
2022-03-30,2.419
2022-03-31,2.458
2022-04-01,2.491
2022-04-06,2.536
2022-04-07,2.49
2022-04-08,2.525
2022-04-11,2.466
2022-04-12,2.456
2022-04-13,2.479
2022-04-14,2.535
2022-04-15,2.502
2022-04-18,2.438
2022-04-19,2.482
2022-04-20,2.395
2022-04-21,2.341
2022-04-22,2.371
2022-04-25,2.247
2022-04-26,2.208
2022-04-27,2.244
2022-04-28,2.29
2022-04-29,2.324
2022-05-05,2.313
2022-05-06,2.238
2022-05-09,2.23
2022-05-10,2.233
2022-05-11,2.231
2022-05-12,2.219
2022-05-13,2.274
2022-05-16,2.318
2022-05-17,2.308
2022-05-18,2.28
2022-05-19,2.283
2022-05-20,2.322
2022-05-23,2.326
2022-05-24,2.282
2022-05-25,2.311
