date,nav
2025-09-18,0.974
2025-09-19,0.978
2025-09-22,0.969
2025-09-23,0.973
2025-09-24,0.972
2025-09-25,0.968
2025-09-26,0.969
2025-09-29,0.969
2025-09-30,0.969
2025-10-09,0.981
2025-10-10,0.986
2025-10-13,0.985
2025-10-14,0.995
2025-10-15,0.997
2025-10-16,1.0
2025-10-17,0.998
2025-10-20,0.996
2025-10-21,1.002
2025-10-22,1.004
2025-10-23,1.01
2025-10-24,1.006
2025-10-27,1.014
2025-10-28,1.008
2025-10-29,1.008
2025-10-30,1.01
2025-10-31,1.002
2025-11-03,1.018
2025-11-04,1.015
2025-11-05,1.017
2025-11-06,1.025
2025-11-07,1.032
2025-11-10,1.039
2025-11-11,1.041
2025-11-12,1.043
2025-11-13,1.043
2025-11-14,1.037
2025-11-17,1.025
2025-11-18,1.018
2025-11-19,1.023
2025-11-20,1.028
2025-11-21,1.011
2025-11-24,1.005
2025-11-25,1.009
2025-11-26,1.006
2025-11-27,1.007
2025-11-28,1.006
2025-12-01,1.01
2025-12-02,1.01
2025-12-03,1.012
2025-12-04,1.006
2025-12-05,1.007
2025-12-08,1.004
2025-12-09,0.998
2025-12-10,0.994
2025-12-11,0.99
2025-12-12,0.99
2025-12-15,0.994
2025-12-16,0.993
2025-12-17,0.996
2025-12-18,1.003
2025-12-19,1.003
2025-12-22,1.0
2025-12-23,1.002
2025-12-24,1.002
2025-12-25,1.002
2025-12-26,1.002
2025-12-29,1.001
2025-12-30,1.001
2025-12-31,1.003
2026-01-05,1.001
2026-01-06,1.012
2026-01-07,1.008
2026-01-08,1.004
2026-01-09,1.004
2026-01-12,1.004
2026-01-13,1.004
2026-01-14,0.998
2026-01-15,0.993
2026-01-16,0.984
2026-01-19,0.987
2026-01-20,0.999
2026-01-21,0.991
2026-01-22,0.993
2026-01-23,0.989
2026-01-26,1.002
2026-01-27,0.996
2026-01-28,1.002
2026-01-29,1.011
2026-01-30,1.009
2026-02-02,0.992
2026-02-03,0.995
2026-02-04,1.009
2026-02-05,1.014
2026-02-06,1.012
2026-02-09,1.016
2026-02-10,1.018
2026-02-11,1.019
2026-02-12,1.016
2026-02-13,1.005
2026-02-24,1.018
2026-02-25,1.018
2026-02-26,1.013
2026-02-27,1.016
2026-03-02,1.031
2026-03-03,1.046
2026-03-04,1.033
2026-03-05,1.031
2026-03-06,1.035
2026-03-09,1.038
2026-03-10,1.036
2026-03-11,1.05
2026-03-12,1.055
2026-03-13,1.051
2026-03-16,1.045
2026-03-17,1.047
2026-03-18,1.041
2026-03-19,1.04
2026-03-20,1.035
2026-03-23,1.004
2026-03-24,1.021
2026-03-25,1.027
2026-03-26,1.026
2026-03-27,1.023
2026-03-30,1.029
2026-03-31,1.03
2026-04-01,1.03
2026-04-02,1.037
2026-04-03,1.026
2026-04-07,1.02
2026-04-08,1.023
2026-04-09,1.015
2026-04-10,1.017
2026-04-13,1.012
2026-04-14,1.015
2026-04-15,1.018
2026-04-16,1.018
2026-04-17,1.011
2026-04-20,1.014
2026-04-21,1.018
2026-04-22,1.016
2026-04-23,1.021
2026-04-24,1.022
2026-04-27,1.017
2026-04-28,1.023
2026-04-29,1.027
2026-04-30,1.02
2026-05-06,1.016
2026-05-07,1.009
2026-05-08,1.009
2026-05-11,1.013
2026-05-12,1.011
2026-05-13,1.009
2026-05-14,1.003
2026-05-15,0.998
2026-05-18,0.994
2026-05-19,1.0
2026-05-20,0.991
2026-05-21,0.981
2026-05-22,0.98
2026-05-25,0.978
2026-05-26,0.982
2026-05-27,0.979
2026-05-28,0.971
2026-05-29,0.988
2026-06-01,0.994
2026-06-02,0.996
2026-06-03,0.992
2026-06-04,0.981
2026-06-05,0.983
2026-06-08,0.982
2026-06-09,0.982
2026-06-10,0.985
2026-06-11,0.983
2026-06-12,0.989
2026-06-15,0.984
2026-06-16,0.97
2026-06-17,0.964
2026-06-18,0.947
2026-06-22,0.952
2026-06-23,0.953
2026-06-24,0.939
2026-06-25,0.933
2026-06-26,0.92
2026-06-29,0.937
2026-06-30,0.922
2026-07-01,0.927
2026-07-02,0.937
2026-07-03,0.945
2026-07-06,0.953
2026-07-07,0.943
2026-07-08,0.954
2026-07-09,0.947
2026-07-10,0.953
2026-07-13,0.964
2026-07-14,0.972
2026-07-15,0.985
2026-07-16,0.986
2026-07-17,0.989
2026-07-20,1.005
2026-07-21,1.003
2026-07-22,1.007
2026-07-23,1.009
2026-07-24,1.003
2026-07-27,1.007
2026-07-28,1.015
2026-07-29,1.026
2026-07-30,1.042
2026-07-31,1.039
2026-08-03,1.038
2026-08-04,1.02
2026-08-05,1.006
2026-08-06,1.004
2026-08-07,0.998
2026-08-10,1.006
2026-08-11,1.008
