日期Date,收盘Close
2015-01-01,3574.86
2015-01-05,3574.86
2015-01-06,3587.77
2015-01-07,3573.56
2015-01-08,3478.3
2015-01-09,3459.95
2015-01-12,3380.6
2015-01-13,3397.52
2015-01-14,3389.41
2015-01-15,3492.23
2015-01-16,3516.14
2015-01-19,3214.18
2015-01-20,3277.82
2015-01-21,3411.66
2015-01-22,3416.08
2015-01-23,3410.23
2015-01-26,3444.26
2015-01-27,3427.64
2015-01-28,3396.84
2015-01-29,3373.01
2015-01-30,3329.8
2015-02-02,3241.49
2015-02-03,3298.97
2015-02-04,3272.57
2015-02-05,3214.93
2015-02-06,3135.52
2015-02-09,3136.59
2015-02-10,3198.59
2015-02-11,3209.59
2015-02-12,3212.76
2015-02-13,3249.26
2015-02-16,3264.97
2015-02-17,3295.24
2015-02-25,3290.22
2015-02-26,3370.88
2015-02-27,3374.99
2015-03-02,3415.2
2015-03-03,3364.22
2015-03-04,3375.28
2015-03-05,3332.29
2015-03-06,3334.21
2015-03-09,3424.95
2015-03-10,3410.61
2015-03-11,3420.59
2015-03-12,3491.94
2015-03-13,3518.69
2015-03-16,3586.01
2015-03-17,3649.92
2015-03-18,3759.04
2015-03-19,3773.75
2015-03-20,3808.96
2015-03-23,3893.66
2015-03-24,3929.53
2015-03-25,3892.45
2015-03-26,3885.21
2015-03-27,3907.02
2015-03-30,4009.98
2015-03-31,3962.0
2015-04-01,4035.98
2015-04-02,4091.17
2015-04-03,4163.55
2015-04-07,4308.86
2015-04-08,4372.68
2015-04-09,4337.62
2015-04-10,4448.77
2015-04-13,4504.51
2015-04-14,4530.14
2015-04-15,4464.78
2015-04-16,4593.57
2015-04-17,4655.16
2015-04-20,4544.9
2015-04-21,4623.61
2015-04-22,4755.99
2015-04-23,4782.09
2015-04-24,4696.2
2015-04-27,4788.68
2015-04-28,4703.97
2015-04-29,4717.31
2015-04-30,4697.46
2015-05-04,4784.65
2015-05-05,4561.36
2015-05-06,4461.24
2015-05-07,4307.46
2015-05-08,4411.28
2015-05-11,4559.67
2015-05-12,4617.39
2015-05-13,4594.55
2015-05-14,4598.34
2015-05-15,4526.7
2015-05-18,4485.38
2015-05-19,4623.45
2015-05-20,4666.47
2015-05-21,4778.92
2015-05-22,4898.09
2015-05-25,5064.04
2015-05-26,5145.26
2015-05-27,5147.47
2015-05-28,4788.76
2015-05-29,4783.01
2015-06-01,5081.21
2015-06-02,5197.29
2015-06-03,5186.33
2015-06-04,5264.39
2015-06-05,5374.65
2015-06-08,5496.62
2015-06-09,5507.22
2015-06-10,5490.17
2015-06-11,5491.8
2015-06-12,5622.67
2015-06-15,5603.93
2015-06-16,5384.2
2015-06-17,5515.78
2015-06-18,5394.05
2015-06-19,5029.41
2015-06-23,5081.58
2015-06-24,5235.34
2015-06-25,5047.7
2015-06-26,4663.26
2015-06-29,4542.73
2015-06-30,4800.98
2015-07-01,4506.62
2015-07-02,4308.93
2015-07-03,4015.45
2015-07-06,4139.01
2015-07-07,4076.78
2015-07-08,3828.1
2015-07-09,4091.6
2015-07-10,4329.76
2015-07-13,4467.46
2015-07-14,4382.06
2015-07-15,4208.91
2015-07-16,4234.23
2015-07-17,4378.17
2015-07-20,4389.14
2015-07-21,4429.69
2015-07-22,4420.6
2015-07-23,4505.96
2015-07-24,4429.59
2015-07-27,4056.88
2015-07-28,4043.91
2015-07-29,4199.18
2015-07-30,4119.03
2015-07-31,4118.74
2015-08-03,4184.13
2015-08-04,4305.28
2015-08-05,4210.96
2015-08-06,4175.72
2015-08-07,4247.25
2015-08-10,4431.75
2015-08-11,4419.91
2015-08-12,4330.41
2015-08-13,4404.53
2015-08-14,4391.53
2015-08-17,4454.54
2015-08-18,4151.6
2015-08-19,4236.16
2015-08-20,4086.86
2015-08-21,3877.96
2015-08-24,3520.52
2015-08-25,3233.0
2015-08-26,3231.0
2015-08-27,3434.74
2015-08-28,3601.62
2015-08-31,3589.89
2015-09-01,3573.58
2015-09-02,3612.64
2015-09-07,3494.12
2015-09-08,3595.65
2015-09-09,3662.22
2015-09-10,3595.08
2015-09-11,3583.3
2015-09-14,3482.57
2015-09-15,3346.71
2015-09-16,3516.32
2015-09-17,3429.26
2015-09-18,3441.51
2015-09-21,3491.28
2015-09-22,3515.95
2015-09-23,3424.4
2015-09-24,3456.39
2015-09-25,3406.63
2015-09-28,3422.45
2015-09-29,3350.05
2015-09-30,3379.41
2015-10-08,3470.47
2015-10-09,3510.65
2015-10-12,3629.57
2015-10-13,3631.55
2015-10-14,3582.3
2015-10-15,3671.21
2015-10-16,3726.48
2015-10-19,3742.26
2015-10-20,3763.75
2015-10-21,3657.39
2015-10-22,3704.47
2015-10-23,3758.07
2015-10-26,3775.17
2015-10-27,3776.34
2015-10-28,3740.38
2015-10-29,3750.76
2015-10-30,3733.69
2015-11-02,3673.11
2015-11-03,3651.2
2015-11-04,3793.57
2015-11-05,3874.88
2015-11-06,3934.49
2015-11-09,4004.29
2015-11-10,4013.55
2015-11-11,4006.46
2015-11-12,3950.53
2015-11-13,3897.99
2015-11-16,3934.18
2015-11-17,3934.6
2015-11-18,3912.01
2015-11-19,3952.12
2015-11-20,3953.44
2015-11-23,3949.32
2015-11-24,3946.48
2015-11-25,3981.06
2015-11-26,3962.99
2015-11-27,3764.32
2015-11-30,3777.46
2015-12-01,3783.6
2015-12-02,3900.98
2015-12-03,3935.29
2015-12-04,3850.94
2015-12-07,3862.28
2015-12-08,3782.13
2015-12-09,3795.57
2015-12-10,3773.23
2015-12-11,3741.31
2015-12-14,3827.99
2015-12-15,3811.12
2015-12-16,3806.79
2015-12-17,3878.48
2015-12-18,3875.21
2015-12-21,3972.69
2015-12-22,3982.71
2015-12-23,3974.27
2015-12-24,3934.98
2015-12-25,3951.7
2015-12-28,3851.34
2015-12-29,3882.12
2015-12-30,3889.44
2015-12-31,3864.83
2016-01-04,3616.0
2016-01-05,3635.45
2016-01-06,3730.17
2016-01-07,3480.42
2016-01-08,3571.44
2016-01-11,3390.44
2016-01-12,3388.65
2016-01-13,3334.96
2016-01-14,3399.07
2016-01-15,3278.26
2016-01-18,3274.58
2016-01-19,3370.44
2016-01-20,3320.02
2016-01-21,3226.3
2016-01-22,3264.44
2016-01-25,3286.79
2016-01-26,3082.64
2016-01-27,3077.37
2016-01-28,3005.77
2016-01-29,3086.76
2016-02-01,3043.28
2016-02-02,3100.5
2016-02-03,3080.45
2016-02-04,3116.1
2016-02-05,3110.59
2016-02-15,3089.98
2016-02-16,3176.6
2016-02-17,3209.34
2016-02-18,3207.99
2016-02-19,3196.63
2016-02-22,3268.54
2016-02-23,3243.23
2016-02-24,3259.81
2016-02-25,3059.01
2016-02-26,3095.3
2016-02-29,3043.05
2016-03-01,3093.42
2016-03-02,3230.08
2016-03-03,3239.55
2016-03-04,3273.52
2016-03-07,3296.74
2016-03-08,3295.16
2016-03-09,3258.35
2016-03-10,3193.78
2016-03-11,3196.16
2016-03-14,3239.24
2016-03-15,3257.29
2016-03-16,3283.67
2016-03-17,3303.83
