日期Date,收盘Close
2015-01-01,1514.87
2015-01-05,1514.87
2015-01-06,1514.67
2015-01-07,1506.93
2015-01-08,1461.69
2015-01-09,1451.21
2015-01-12,1418.77
2015-01-13,1421.72
2015-01-14,1422.84
2015-01-15,1471.36
2015-01-16,1483.94
2015-01-19,1347.08
2015-01-20,1364.98
2015-01-21,1424.24
2015-01-22,1423.24
2015-01-23,1423.04
2015-01-26,1426.6
2015-01-27,1406.75
2015-01-28,1391.59
2015-01-29,1373.97
2015-01-30,1359.71
2015-02-02,1323.58
2015-02-03,1352.2
2015-02-04,1334.63
2015-02-05,1315.56
2015-02-06,1277.37
2015-02-09,1279.43
2015-02-10,1303.49
2015-02-11,1305.03
2015-02-12,1308.54
2015-02-13,1323.62
2015-02-16,1325.49
2015-02-17,1335.9
2015-02-25,1331.95
2015-02-26,1367.17
2015-02-27,1365.71
2015-03-02,1375.28
2015-03-03,1336.79
2015-03-04,1337.95
2015-03-05,1313.62
2015-03-06,1317.93
2015-03-09,1358.95
2015-03-10,1351.81
2015-03-11,1358.8
2015-03-12,1398.4
2015-03-13,1409.03
2015-03-16,1433.67
2015-03-17,1454.85
2015-03-18,1486.57
2015-03-19,1484.99
2015-03-20,1498.11
2015-03-23,1523.45
2015-03-24,1522.5
2015-03-25,1493.09
2015-03-26,1496.72
2015-03-27,1495.21
2015-03-30,1540.77
2015-03-31,1515.41
2015-04-01,1532.76
2015-04-02,1541.48
2015-04-03,1560.16
2015-04-07,1611.01
2015-04-08,1607.57
2015-04-09,1579.93
2015-04-10,1612.08
2015-04-13,1654.08
2015-04-14,1677.56
2015-04-15,1681.4
2015-04-16,1730.05
2015-04-17,1752.89
2015-04-20,1709.83
2015-04-21,1741.22
2015-04-22,1795.98
2015-04-23,1802.34
2015-04-24,1778.36
2015-04-27,1822.94
2015-04-28,1806.14
2015-04-29,1808.91
2015-04-30,1805.29
2015-05-04,1837.83
2015-05-05,1753.9
2015-05-06,1714.64
2015-05-07,1659.65
2015-05-08,1693.62
2015-05-11,1741.51
2015-05-12,1764.02
2015-05-13,1747.62
2015-05-14,1742.29
2015-05-15,1696.02
2015-05-18,1675.94
2015-05-19,1730.26
2015-05-20,1750.75
2015-05-21,1780.63
2015-05-22,1832.64
2015-05-25,1895.17
2015-05-26,1906.89
2015-05-27,1914.57
2015-05-28,1792.92
2015-05-29,1783.88
2015-06-01,1896.57
2015-06-02,1915.02
2015-06-03,1922.29
2015-06-04,1975.98
2015-06-05,1992.56
2015-06-08,2060.31
2015-06-09,2067.52
2015-06-10,2041.69
2015-06-11,2027.47
2015-06-12,2067.11
2015-06-15,2044.6
2015-06-16,1972.24
2015-06-17,2027.14
2015-06-18,1955.33
2015-06-19,1839.42
2015-06-23,1894.49
2015-06-24,1957.73
2015-06-25,1904.32
2015-06-26,1772.54
2015-06-29,1761.17
2015-06-30,1859.47
2015-07-01,1751.32
2015-07-02,1702.06
2015-07-03,1594.91
2015-07-06,1664.73
2015-07-07,1678.02
2015-07-08,1569.65
2015-07-09,1667.77
2015-07-10,1741.01
2015-07-13,1759.69
2015-07-14,1723.45
2015-07-15,1680.15
2015-07-16,1684.58
2015-07-17,1724.21
2015-07-20,1719.85
2015-07-21,1721.56
2015-07-22,1718.51
2015-07-23,1744.94
2015-07-24,1727.16
2015-07-27,1578.12
2015-07-28,1577.89
2015-07-29,1619.76
2015-07-30,1579.01
2015-07-31,1572.87
2015-08-03,1592.99
2015-08-04,1628.35
2015-08-05,1595.2
2015-08-06,1584.12
