日期Date,收盘Close
2015-01-01,6406.83
2015-01-05,6406.83
2015-01-06,6415.06
2015-01-07,6382.37
2015-01-08,6194.38
2015-01-09,6160.58
2015-01-12,6024.91
2015-01-13,6034.99
2015-01-14,6026.3
2015-01-15,6220.34
2015-01-16,6266.78
2015-01-19,5696.81
2015-01-20,5784.17
2015-01-21,6039.94
2015-01-22,6024.49
2015-01-23,6028.89
2015-01-26,6065.79
2015-01-27,6011.38
2015-01-28,5944.6
2015-01-29,5892.51
2015-01-30,5814.49
2015-02-02,5633.19
2015-02-03,5751.58
2015-02-04,5695.77
2015-02-05,5607.37
2015-02-06,5451.78
2015-02-09,5481.65
2015-02-10,5612.74
2015-02-11,5620.93
2015-02-12,5638.68
2015-02-13,5692.21
2015-02-16,5701.28
2015-02-17,5752.21
2015-02-25,5730.8
2015-02-26,5896.28
2015-02-27,5891.28
2015-03-02,5923.7
2015-03-03,5793.13
2015-03-04,5793.76
2015-03-05,5691.94
2015-03-06,5698.54
2015-03-09,5870.38
2015-03-10,5823.82
2015-03-11,5840.87
2015-03-12,6009.14
2015-03-13,6030.96
2015-03-16,6125.94
2015-03-17,6222.17
2015-03-18,6369.42
2015-03-19,6369.46
2015-03-20,6402.82
2015-03-23,6533.96
2015-03-24,6564.85
2015-03-25,6448.26
2015-03-26,6479.2
2015-03-27,6526.86
2015-03-30,6745.62
2015-03-31,6637.5
2015-04-01,6707.87
2015-04-02,6703.69
2015-04-03,6735.21
2015-04-07,6884.3
2015-04-08,6924.45
2015-04-09,6802.24
2015-04-10,6926.31
2015-04-13,7113.4
2015-04-14,7221.55
2015-04-15,7215.66
2015-04-16,7435.35
2015-04-17,7590.38
2015-04-20,7497.06
2015-04-21,7602.56
2015-04-22,7803.95
2015-04-23,7778.05
2015-04-24,7691.44
2015-04-27,7946.74
2015-04-28,7914.21
2015-04-29,7861.65
2015-04-30,7857.39
2015-05-04,8017.33
2015-05-05,7598.29
2015-05-06,7429.85
2015-05-07,7214.14
2015-05-08,7358.22
2015-05-11,7573.18
2015-05-12,7679.69
2015-05-13,7619.62
2015-05-14,7571.14
2015-05-15,7373.69
2015-05-18,7274.71
2015-05-19,7533.49
2015-05-20,7583.44
2015-05-21,7703.36
2015-05-22,7926.28
2015-05-25,8201.12
2015-05-26,8317.21
2015-05-27,8318.58
2015-05-28,7798.32
2015-05-29,7813.74
2015-06-01,8265.51
2015-06-02,8349.5
2015-06-03,8351.36
2015-06-04,8460.85
2015-06-05,8614.48
2015-06-08,8859.09
2015-06-09,8789.19
2015-06-10,8716.25
2015-06-11,8683.36
2015-06-12,8813.76
2015-06-15,8685.3
2015-06-16,8400.54
2015-06-17,8590.07
2015-06-18,8275.32
2015-06-19,7764.1
2015-06-23,8036.28
2015-06-24,8336.55
2015-06-25,8137.9
2015-06-26,7594.94
2015-06-29,7630.24
