日期Date,收盘Close
2015-01-01,3539.96
2015-01-05,3539.96
2015-01-06,3515.54
2015-01-07,3531.89
2015-01-08,3410.34
2015-01-09,3402.56
2015-01-12,3317.84
2015-01-13,3317.43
2015-01-14,3316.49
2015-01-15,3442.84
2015-01-16,3480.17
2015-01-19,3163.39
2015-01-20,3197.5
2015-01-21,3357.37
2015-01-22,3351.39
2015-01-23,3360.32
2015-01-26,3373.4
2015-01-27,3335.87
2015-01-28,3291.11
2015-01-29,3273.23
2015-01-30,3230.16
2015-02-02,3102.4
2015-02-03,3182.63
2015-02-04,3178.95
2015-02-05,3127.06
2015-02-06,3029.14
2015-02-09,3033.38
2015-02-10,3103.98
2015-02-11,3095.43
2015-02-12,3105.86
2015-02-13,3139.69
2015-02-16,3139.62
2015-02-17,3157.65
2015-02-25,3151.91
2015-02-26,3239.99
2015-02-27,3246.57
2015-03-02,3269.21
2015-03-03,3182.63
2015-03-04,3175.01
2015-03-05,3116.16
2015-03-06,3124.57
2015-03-09,3203.58
2015-03-10,3170.39
2015-03-11,3179.6
2015-03-12,3245.87
2015-03-13,3256.18
2015-03-16,3304.65
2015-03-17,3367.94
2015-03-18,3454.97
2015-03-19,3492.78
2015-03-20,3515.69
2015-03-23,3603.19
2015-03-24,3612.53
2015-03-25,3546.57
2015-03-26,3569.11
2015-03-27,3589.31
2015-03-30,3712.14
2015-03-31,3655.0
2015-04-01,3686.38
2015-04-02,3675.7
2015-04-03,3689.46
2015-04-07,3787.41
2015-04-08,3830.57
2015-04-09,3793.41
2015-04-10,3841.52
2015-04-13,3968.64
2015-04-14,4070.54
2015-04-15,4083.44
2015-04-16,4214.14
2015-04-17,4352.82
2015-04-20,4329.89
2015-04-21,4321.01
2015-04-22,4424.22
2015-04-23,4398.56
2015-04-24,4373.83
2015-04-27,4563.87
2015-04-28,4546.62
2015-04-29,4493.86
2015-04-30,4526.41
2015-05-04,4668.82
2015-05-05,4446.56
2015-05-06,4325.95
2015-05-07,4125.39
2015-05-08,4218.25
2015-05-11,4334.08
2015-05-12,4438.19
2015-05-13,4355.18
2015-05-14,4386.86
2015-05-15,4326.47
2015-05-18,4257.03
2015-05-19,4375.65
2015-05-20,4382.47
2015-05-21,4410.53
2015-05-22,4520.77
2015-05-25,4662.37
2015-05-26,4698.01
2015-05-27,4683.05
2015-05-28,4380.63
2015-05-29,4338.71
2015-06-01,4578.77
2015-06-02,4635.57
2015-06-03,4614.45
2015-06-04,4677.41
2015-06-05,4748.64
2015-06-08,4942.74
2015-06-09,4928.18
2015-06-10,4807.8
2015-06-11,4757.07
2015-06-12,4809.52
2015-06-15,4730.08
2015-06-16,4563.54
2015-06-17,4728.92
2015-06-18,4522.7
2015-06-19,4240.0
2015-06-23,4382.07
2015-06-24,4557.91
2015-06-25,4455.97
2015-06-26,4156.41
2015-06-29,4139.71
2015-06-30,4342.97
2015-07-01,4087.56
2015-07-02,3985.35
2015-07-03,3733.68
2015-07-06,3899.25
2015-07-07,3978.22
2015-07-08,3734.42
2015-07-09,3978.82
2015-07-10,4176.92
2015-07-13,4223.06
2015-07-14,4082.81
2015-07-15,3976.72
2015-07-16,3980.78
2015-07-17,4084.85
2015-07-20,4104.05
2015-07-21,4112.25
2015-07-22,4116.5
2015-07-23,4163.46
2015-07-24,4115.62
2015-07-27,3756.35
2015-07-28,3718.33
2015-07-29,3845.44
2015-07-30,3749.51
2015-07-31,3741.29
2015-08-03,3751.48
2015-08-04,3852.48
2015-08-05,3773.51
2015-08-06,3735.91
2015-08-07,3796.91
2015-08-10,3986.78
2015-08-11,3969.78
2015-08-12,3939.27
2015-08-13,4007.18
2015-08-14,3986.21
2015-08-17,3997.41
2015-08-18,3748.51
2015-08-19,3768.18
2015-08-20,3625.38
2015-08-21,3525.36
2015-08-24,3213.1
2015-08-25,2948.41
2015-08-26,2937.84
2015-08-27,3111.01
2015-08-28,3257.59
2015-08-31,3280.71
2015-09-01,3317.12
2015-09-02,3378.12
2015-09-07,3228.75
2015-09-08,3300.71
2015-09-09,3357.06
2015-09-10,3314.98
2015-09-11,3289.16
2015-09-14,3247.79
2015-09-15,3142.31
2015-09-16,3274.86
2015-09-17,3220.89
2015-09-18,3230.02
2015-09-21,3266.39
2015-09-22,3278.35
2015-09-23,3203.42
2015-09-24,3219.86
2015-09-25,3186.74
2015-09-28,3172.66
2015-09-29,3105.12
2015-09-30,3121.15
2015-10-08,3201.47
2015-10-09,3230.84
2015-10-12,3330.08
