日期Date,收盘Close
2015-01-01,3169.33
2015-01-02,3245.68
2015-01-05,3264.0
2015-01-06,3223.48
2015-01-07,3213.96
2015-01-08,3216.11
2015-01-09,3225.89
2015-01-12,3212.68
2015-01-13,3224.69
2015-01-14,3203.94
2015-01-15,3210.33
2015-01-16,3191.65
2015-01-19,3113.98
2015-01-20,3145.15
2015-01-21,3197.49
2015-01-22,3202.97
2015-01-23,3257.64
2015-01-26,3262.71
2015-01-27,3229.9
2015-01-28,3219.07
2015-01-29,3171.81
2015-01-30,3170.2
2015-02-02,3159.22
2015-02-03,3172.83
2015-02-04,3179.43
2015-02-05,3177.07
2015-02-06,3156.27
2015-02-09,3135.85
2015-02-10,3143.47
2015-02-11,3129.16
2015-02-12,3146.39
2015-02-13,3168.75
2015-02-16,3173.22
2015-02-17,3188.37
2015-02-18,3197.99
2015-02-19,3197.99
2015-02-20,3197.99
2015-02-23,3188.87
2015-02-24,3179.3
2015-02-25,3193.74
2015-02-26,3234.17
2015-02-27,3226.12
2015-03-02,3233.55
2015-03-03,3190.88
2015-03-04,3157.46
2015-03-05,3122.2
2015-03-06,3113.14
2015-03-09,3117.44
2015-03-10,3086.45
2015-03-11,3062.16
2015-03-12,3074.46
2015-03-13,3090.64
2015-03-16,3107.11
2015-03-17,3089.5
2015-03-18,3095.94
2015-03-19,3120.4
2015-03-20,3120.72
2015-03-23,3135.26
2015-03-24,3126.02
2015-03-25,3134.43
2015-03-26,3119.15
2015-03-27,3133.8
2015-03-30,3222.84
2015-03-31,3213.6
2015-04-01,3240.96
2015-04-02,3280.46
2015-04-03,3280.46
2015-04-06,3280.46
2015-04-07,3280.46
2015-04-08,3417.66
2015-04-09,3508.09
2015-04-10,3557.91
2015-04-13,3736.52
2015-04-14,3677.8
2015-04-15,3706.28
2015-04-16,3732.39
2015-04-17,3700.69
2015-04-20,3638.37
2015-04-21,3695.79
2015-04-22,3749.08
2015-04-23,3736.1
2015-04-24,3778.78
2015-04-27,3867.3
2015-04-28,3852.0
2015-04-29,3832.58
2015-04-30,3904.45
2015-05-01,3904.45
2015-05-04,3996.19
2015-05-05,3900.07
2015-05-06,3831.65
2015-05-07,3749.59
2015-05-08,3850.42
2015-05-11,3842.15
2015-05-12,3769.49
2015-05-13,3758.39
2015-05-14,3763.03
2015-05-15,3812.59
2015-05-18,3768.86
2015-05-19,3803.32
2015-05-20,3798.2
2015-05-21,3763.12
2015-05-22,3824.51
2015-05-25,3824.51
2015-05-26,3897.99
2015-05-27,3912.06
2015-05-28,3813.01
2015-05-29,3664.25
2015-06-01,3722.97
2015-06-02,3708.42
2015-06-03,3687.77
2015-06-04,3691.77
2015-06-05,3651.14
2015-06-08,3676.89
2015-06-09,3624.37
2015-06-10,3575.87
2015-06-11,3588.57
2015-06-12,3655.11
2015-06-15,3600.59
2015-06-16,3513.84
2015-06-17,3570.15
2015-06-18,3572.98
2015-06-19,3550.1
2015-06-22,3581.5
2015-06-23,3670.47
2015-06-24,3673.57
2015-06-25,3649.71
2015-06-26,3560.07
2015-06-29,3487.81
2015-06-30,3552.73
2015-07-01,3552.73
2015-07-02,3525.38
