日期Date,收盘Close
2015-01-01,1000.0
2016-12-30,1000.0
2017-01-03,1008.39
2017-01-04,1017.47
2017-01-05,1019.16
2017-01-06,1023.21
2017-01-09,1033.58
2017-01-10,1030.56
2017-01-11,1024.99
2017-01-12,1016.6
2017-01-13,1015.87
2017-01-16,1019.21
2017-01-17,1018.97
2017-01-18,1025.75
2017-01-19,1021.79
2017-01-20,1028.54
2017-01-23,1030.94
2017-01-24,1031.9
2017-01-25,1033.69
2017-01-26,1032.92
2017-02-03,1028.46
2017-02-06,1034.8
2017-02-07,1032.75
2017-02-08,1038.48
2017-02-09,1043.13
2017-02-10,1055.33
2017-02-13,1061.9
2017-02-14,1066.37
2017-02-15,1059.87
2017-02-16,1068.1
2017-02-17,1057.31
2017-02-20,1074.68
2017-02-21,1074.76
2017-02-22,1080.87
2017-02-23,1074.65
2017-02-24,1073.11
2017-02-27,1075.88
2017-02-28,1077.17
2017-03-01,1078.0
2017-03-02,1068.92
2017-03-03,1063.42
2017-03-06,1065.15
2017-03-07,1062.75
2017-03-08,1059.63
2017-03-09,1051.77
2017-03-10,1051.1
2017-03-13,1060.94
2017-03-14,1062.09
2017-03-15,1066.43
2017-03-16,1070.95
2017-03-17,1059.77
2017-03-20,1070.74
2017-03-21,1079.3
2017-03-22,1080.78
2017-03-23,1083.32
2017-03-24,1098.94
2017-03-27,1090.56
2017-03-28,1091.37
2017-03-29,1095.59
2017-03-30,1088.12
2017-03-31,1090.24
2017-04-05,1112.95
2017-04-06,1122.77
2017-04-07,1127.23
2017-04-10,1131.59
2017-04-11,1139.36
2017-04-12,1123.31
2017-04-13,1125.83
2017-04-14,1117.07
2017-04-17,1114.42
2017-04-18,1111.07
2017-04-19,1100.04
2017-04-20,1107.76
2017-04-21,1103.91
2017-04-24,1073.7
2017-04-25,1073.86
2017-04-26,1075.86
2017-04-27,1080.37
2017-04-28,1081.01
2017-05-02,1078.27
2017-05-03,1071.94
2017-05-04,1072.7
2017-05-05,1063.49
2017-05-08,1049.04
2017-05-09,1051.69
2017-05-10,1037.68
2017-05-11,1047.62
2017-05-12,1047.82
2017-05-15,1049.37
2017-05-16,1058.56
2017-05-17,1059.77
2017-05-18,1051.86
2017-05-19,1052.35
2017-05-22,1049.9
2017-05-23,1047.21
2017-05-24,1049.94
2017-05-25,1063.31
2017-05-26,1069.04
2017-05-31,1068.93
2017-06-01,1068.03
2017-06-02,1071.88
2017-06-05,1073.17
2017-06-06,1078.07
2017-06-07,1091.52
2017-06-08,1096.99
2017-06-09,1105.41
2017-06-12,1101.19
2017-06-13,1104.32
2017-06-14,1091.31
2017-06-15,1092.13
2017-06-16,1088.59
2017-06-19,1097.87
2017-06-20,1092.77
2017-06-21,1104.38
2017-06-22,1099.73
2017-06-23,1101.86
2017-06-26,1118.11
2017-06-27,1117.85
2017-06-28,1114.99
