日期Date,收盘Close
2015-01-01,3615.43
2015-01-02,3651.51
2015-01-05,3701.69
2015-01-06,3693.9
2015-01-07,3698.43
2015-01-08,3672.7
2015-01-09,3681.44
2015-01-12,3643.24
2015-01-13,3666.67
2015-01-14,3651.18
2015-01-15,3714.71
2015-01-16,3716.55
2015-01-19,3518.54
2015-01-20,3587.09
2015-01-21,3692.4
2015-01-22,3701.94
2015-01-23,3719.14
2015-01-26,3744.63
2015-01-27,3724.87
2015-01-28,3695.67
2015-01-29,3646.12
2015-01-30,3611.54
2015-02-02,3550.03
2015-02-03,3590.68
2015-02-04,3585.97
2015-02-05,3575.34
2015-02-06,3535.86
2015-02-09,3530.1
2015-02-10,3569.06
2015-02-11,3576.59
2015-02-12,3616.17
2015-02-13,3652.92
2015-02-16,3663.81
2015-02-17,3691.35
2015-02-18,3692.16
2015-02-19,3692.16
2015-02-20,3692.16
2015-02-23,3696.72
2015-02-24,3693.0
2015-02-25,3683.03
2015-02-26,3740.64
2015-02-27,3748.17
2015-03-02,3774.67
2015-03-03,3718.82
2015-03-04,3708.39
2015-03-05,3686.32
2015-03-06,3684.09
2015-03-09,3726.92
2015-03-10,3703.99
2015-03-11,3687.75
2015-03-12,3729.41
2015-03-13,3758.66
2015-03-16,3808.94
2015-03-17,3840.07
2015-03-18,3903.61
2015-03-19,3943.25
2015-03-20,3947.15
2015-03-23,4007.57
2015-03-24,3999.98
2015-03-25,4010.01
2015-03-26,4016.36
2015-03-27,4051.9
2015-03-30,4182.44
2015-03-31,4160.88
2015-04-01,4265.81
2015-04-02,4340.78
2015-04-03,4374.23
2015-04-06,4374.23
2015-04-07,4447.14
2015-04-08,4614.04
2015-04-09,4668.48
2015-04-10,4755.4
2015-04-13,4937.61
2015-04-14,4890.78
2015-04-15,4909.07
2015-04-16,5002.22
2015-04-17,5039.21
2015-04-20,4920.5
2015-04-21,4971.4
2015-04-22,5034.23
2015-04-23,5030.78
2015-04-24,5041.99
2015-04-27,5138.07
2015-04-28,5095.3
2015-04-29,5087.1
2015-04-30,5059.15
2015-05-01,5059.15
2015-05-04,5056.83
2015-05-05,4904.18
2015-05-06,4792.2
2015-05-07,4679.9
2015-05-08,4804.32
2015-05-11,4906.74
2015-05-12,4910.6
2015-05-13,4881.49
2015-05-14,4879.51
2015-05-15,4874.83
2015-05-18,4834.48
2015-05-19,4956.84
2015-05-20,4989.44
2015-05-21,5038.41
2015-05-22,5141.55
2015-05-25,5225.92
2015-05-26,5315.4
2015-05-27,5295.78
2015-05-28,5066.01
2015-05-29,5056.76
2015-06-01,5225.3
2015-06-02,5271.74
2015-06-03,5299.76
2015-06-04,5329.6
2015-06-05,5348.86
2015-06-08,5426.05
2015-06-09,5331.38
2015-06-10,5290.54
2015-06-11,5304.72
2015-06-12,5358.93
2015-06-15,5287.03
2015-06-16,5139.0
2015-06-17,5204.82
2015-06-18,5117.91
2015-06-19,4928.4
2015-06-22,4945.69
2015-06-23,5037.99
2015-06-24,5069.4
2015-06-25,4940.04
2015-06-26,4680.97
2015-06-29,4534.91
2015-06-30,4733.86
2015-07-01,4607.04
2015-07-02,4464.9
2015-07-03,4298.22
2015-07-06,4275.12
2015-07-07,4104.28
2015-07-08,3869.37
2015-07-09,4151.26
2015-07-10,4344.88
2015-07-13,4502.74
2015-07-14,4456.69
2015-07-15,4303.28
2015-07-16,4370.24
2015-07-17,4503.97
2015-07-20,4513.77
2015-07-21,4552.09
2015-07-22,4541.76
2015-07-23,4604.64
2015-07-24,4545.09
2015-07-27,4250.74
2015-07-28,4248.75
2015-07-29,4373.96
2015-07-30,4294.24
2015-07-31,4297.05
2015-08-03,4302.57
2015-08-04,4402.69
2015-08-05,4370.44
2015-08-06,4364.14
2015-08-07,4434.4
2015-08-10,4568.45
2015-08-11,4605.3
2015-08-12,4537.31
2015-08-13,4557.64
2015-08-14,4544.55
2015-08-17,4537.42
2015-08-18,4321.73
2015-08-19,4362.55
2015-08-20,4238.21
2015-08-21,4072.36
2015-08-24,3768.73
2015-08-25,3624.85
2015-08-26,3652.94
2015-08-27,3852.94
2015-08-28,3966.99
2015-08-31,3892.72
2015-09-01,3748.61
2015-09-02,3724.93
2015-09-03,3724.93
2015-09-04,3735.2
2015-09-07,3675.77
2015-09-08,3815.18
2015-09-09,3908.82
2015-09-10,3849.8
2015-09-11,3848.25
2015-09-14,3758.86
2015-09-15,3664.69
2015-09-16,3827.05
2015-09-17,3768.54
2015-09-18,3799.08
2015-09-21,3855.87
2015-09-22,3880.29
2015-09-23,3805.62
2015-09-24,3830.81
2015-09-25,3789.79
2015-09-28,3818.94
2015-09-29,3741.67
2015-09-30,3777.7
2015-10-01,3777.7
2015-10-02,3823.32
2015-10-05,3842.46
2015-10-06,3839.2
2015-10-07,3888.41
2015-10-08,3936.27
2015-10-09,3976.34
2015-10-12,4072.24
2015-10-13,4101.24
2015-10-14,4062.17
2015-10-15,4139.34
2015-10-16,4193.9
2015-10-19,4195.55
2015-10-20,4216.18
2015-10-21,4116.48
2015-10-22,4177.27
2015-10-23,4238.35
2015-10-26,4241.33
2015-10-27,4247.73
2015-10-28,4191.38
2015-10-29,4192.79
2015-10-30,4181.57
2015-11-02,4141.43
2015-11-03,4151.21
2015-11-04,4296.81
2015-11-05,4315.75
2015-11-06,4351.81
2015-11-09,4390.37
2015-11-10,4336.99
2015-11-11,4343.48
2015-11-12,4352.86
2015-11-13,4309.81
2015-11-16,4309.08
2015-11-17,4344.79
2015-11-18,4319.14
2015-11-19,4375.9
2015-11-20,4397.65
2015-11-23,4381.15
2015-11-24,4388.84
2015-11-25,4406.77
2015-11-26,4388.84
2015-11-27,4218.77
2015-11-30,4239.04
2015-12-01,4279.53
2015-12-02,4341.57
2015-12-03,4365.32
2015-12-04,4323.54
2015-12-07,4345.48
2015-12-08,4282.71
2015-12-09,4285.44
2015-12-10,4276.09
2015-12-11,4245.49
2015-12-14,4260.3
2015-12-15,4264.18
2015-12-16,4295.49
2015-12-17,4365.54
2015-12-18,4356.87
2015-12-21,4411.42
2015-12-22,4436.38
2015-12-23,4459.84
2015-12-24,4464.7
2015-12-25,4465.91
2015-12-28,4420.88
2015-12-29,4460.52
2015-12-30,4463.33
2015-12-31,4480.69
2016-01-01,4480.69
2016-01-04,4282.62
2016-01-05,4276.99
2016-01-06,4276.55
2016-01-07,4085.51
2016-01-08,4116.47
2016-01-11,3938.47
2016-01-12,3924.6
2016-01-13,3941.24
2016-01-14,3943.85
2016-01-15,3847.8
2016-01-18,3814.06
2016-01-19,3930.44
2016-01-20,3797.45
2016-01-21,3691.56
2016-01-22,3793.44
2016-01-25,3828.7
2016-01-26,3677.71
2016-01-27,3707.85
2016-01-28,3708.41
2016-01-29,3786.48
2016-02-01,3769.61
2016-02-02,3792.96
2016-02-03,3731.16
2016-02-04,3763.39
