日期Date,收盘Close
2015-01-01,1000.0
2016-12-30,1000.0
2017-01-03,1009.46
2017-01-04,1017.78
2017-01-05,1022.86
2017-01-06,1026.14
2017-01-09,1036.26
2017-01-10,1029.84
2017-01-11,1022.72
2017-01-12,1015.29
2017-01-13,1013.66
2017-01-16,1017.17
2017-01-17,1017.55
2017-01-18,1023.16
2017-01-19,1018.47
2017-01-20,1025.94
2017-01-23,1030.19
2017-01-24,1031.92
2017-01-25,1033.12
2017-01-26,1031.46
2017-02-03,1026.93
2017-02-06,1033.2
2017-02-07,1031.64
2017-02-08,1036.98
2017-02-09,1042.46
2017-02-10,1056.43
2017-02-13,1062.9
2017-02-14,1068.17
2017-02-15,1062.31
2017-02-16,1070.03
2017-02-17,1057.97
2017-02-20,1075.5
2017-02-21,1075.19
2017-02-22,1080.83
2017-02-23,1072.46
2017-02-24,1071.06
2017-02-27,1066.18
2017-02-28,1071.12
2017-03-01,1072.99
2017-03-02,1063.85
2017-03-03,1059.21
2017-03-06,1060.68
2017-03-07,1058.05
2017-03-08,1058.16
2017-03-09,1049.99
2017-03-10,1045.57
2017-03-13,1055.16
2017-03-14,1055.42
2017-03-15,1061.03
2017-03-16,1066.3
2017-03-17,1056.53
2017-03-20,1069.9
2017-03-21,1080.66
2017-03-22,1080.84
2017-03-23,1081.37
2017-03-24,1095.75
2017-03-27,1087.43
2017-03-28,1086.7
2017-03-29,1089.48
2017-03-30,1083.91
2017-03-31,1083.64
2017-04-05,1105.74
2017-04-06,1118.08
2017-04-07,1120.98
2017-04-10,1124.55
2017-04-11,1134.68
2017-04-12,1125.24
2017-04-13,1128.61
2017-04-14,1121.11
2017-04-17,1118.33
2017-04-18,1114.32
2017-04-19,1104.64
2017-04-20,1111.33
2017-04-21,1108.5
2017-04-24,1077.56
2017-04-25,1076.35
2017-04-26,1076.7
2017-04-27,1082.21
2017-04-28,1082.95
2017-05-02,1077.87
2017-05-03,1070.24
2017-05-04,1071.61
2017-05-05,1062.59
2017-05-08,1048.85
2017-05-09,1053.64
2017-05-10,1038.66
2017-05-11,1049.32
2017-05-12,1049.39
2017-05-15,1050.32
2017-05-16,1059.13
2017-05-17,1059.99
2017-05-18,1052.39
2017-05-19,1053.25
2017-05-22,1047.37
2017-05-23,1042.93
2017-05-24,1046.2
2017-05-25,1058.3
2017-05-26,1062.21
2017-05-31,1065.13
2017-06-01,1063.82
2017-06-02,1066.97
2017-06-05,1070.0
2017-06-06,1073.64
2017-06-07,1085.71
2017-06-08,1089.39
2017-06-09,1095.22
2017-06-12,1090.34
2017-06-13,1093.65
2017-06-14,1081.64
2017-06-15,1081.44
2017-06-16,1077.22
2017-06-19,1085.27
2017-06-20,1081.24
2017-06-21,1089.86
2017-06-22,1086.9
2017-06-23,1089.6
2017-06-26,1102.56
2017-06-27,1103.08
2017-06-28,1100.07
