日期Date,收盘Close
2015-01-01,1000.0
2016-12-30,1000.0
2017-01-03,1010.36
2017-01-04,1020.87
2017-01-05,1026.27
2017-01-06,1028.8
2017-01-09,1038.26
2017-01-10,1031.24
2017-01-11,1023.75
2017-01-12,1015.67
2017-01-13,1013.69
2017-01-16,1014.39
2017-01-17,1015.88
2017-01-18,1021.57
2017-01-19,1015.54
2017-01-20,1023.12
2017-01-23,1026.61
2017-01-24,1029.64
2017-01-25,1029.77
2017-01-26,1027.73
2017-02-03,1024.5
2017-02-06,1030.16
2017-02-07,1029.91
2017-02-08,1035.76
2017-02-09,1042.44
2017-02-10,1056.12
2017-02-13,1061.89
2017-02-14,1069.37
2017-02-15,1063.09
2017-02-16,1067.53
2017-02-17,1055.82
2017-02-20,1072.97
2017-02-21,1072.6
2017-02-22,1078.85
2017-02-23,1069.77
2017-02-24,1069.01
2017-02-27,1063.63
2017-02-28,1067.98
2017-03-01,1070.8
2017-03-02,1060.13
2017-03-03,1056.15
2017-03-06,1058.99
2017-03-07,1056.59
2017-03-08,1057.8
2017-03-09,1048.47
2017-03-10,1045.54
2017-03-13,1054.97
2017-03-14,1055.24
2017-03-15,1060.0
2017-03-16,1065.25
2017-03-17,1056.41
2017-03-20,1071.82
2017-03-21,1081.42
2017-03-22,1080.8
2017-03-23,1082.23
2017-03-24,1095.24
2017-03-27,1087.31
2017-03-28,1087.56
2017-03-29,1091.76
2017-03-30,1086.83
2017-03-31,1083.77
2017-04-05,1108.68
2017-04-06,1125.51
2017-04-07,1129.69
2017-04-10,1135.67
2017-04-11,1148.2
2017-04-12,1137.6
2017-04-13,1140.43
2017-04-14,1131.21
2017-04-17,1125.57
2017-04-18,1119.67
2017-04-19,1109.42
2017-04-20,1113.74
2017-04-21,1110.5
2017-04-24,1078.27
2017-04-25,1078.0
2017-04-26,1078.89
2017-04-27,1083.85
2017-04-28,1086.68
2017-05-02,1084.73
2017-05-03,1076.22
2017-05-04,1080.02
2017-05-05,1071.31
2017-05-08,1054.25
2017-05-09,1060.51
2017-05-10,1044.88
2017-05-11,1055.98
2017-05-12,1057.7
2017-05-15,1059.43
2017-05-16,1069.15
2017-05-17,1069.73
2017-05-18,1057.86
2017-05-19,1059.42
2017-05-22,1054.21
2017-05-23,1050.28
2017-05-24,1053.0
2017-05-25,1065.05
2017-05-26,1066.73
2017-05-31,1069.63
2017-06-01,1065.2
2017-06-02,1068.81
2017-06-05,1069.69
2017-06-06,1072.31
2017-06-07,1085.96
2017-06-08,1089.79
2017-06-09,1093.22
2017-06-12,1088.42
2017-06-13,1090.83
2017-06-14,1080.71
2017-06-15,1081.4
2017-06-16,1077.24
2017-06-19,1085.75
2017-06-20,1083.67
2017-06-21,1091.47
2017-06-22,1089.44
2017-06-23,1092.5
2017-06-26,1101.88
2017-06-27,1105.13
2017-06-28,1100.53
