日期Date,收盘Close
2015-01-01,10053.88
2015-01-05,10053.88
2015-01-06,10084.76
2015-01-07,10054.6
2015-01-08,9762.41
2015-01-09,9726.82
2015-01-12,9511.74
2015-01-13,9567.99
2015-01-14,9618.01
2015-01-15,9934.1
2015-01-16,10017.29
2015-01-19,9159.43
2015-01-20,9331.79
2015-01-21,9720.85
2015-01-22,9753.56
2015-01-23,9734.75
2015-01-26,9830.97
2015-01-27,9765.18
2015-01-28,9661.74
2015-01-29,9604.03
2015-01-30,9487.84
2015-02-02,9204.91
2015-02-03,9408.06
2015-02-04,9303.97
2015-02-05,9203.56
2015-02-06,8932.77
2015-02-09,8943.64
2015-02-10,9150.08
2015-02-11,9161.82
2015-02-12,9213.92
2015-02-13,9331.81
2015-02-16,9354.6
2015-02-17,9450.81
2015-02-25,9423.2
2015-02-26,9617.04
2015-02-27,9608.4
2015-03-02,9683.4
2015-03-03,9439.3
2015-03-04,9468.09
2015-03-05,9313.82
2015-03-06,9372.64
2015-03-09,9614.57
2015-03-10,9564.8
2015-03-11,9629.02
2015-03-12,9871.21
2015-03-13,9908.72
2015-03-16,10064.35
2015-03-17,10213.62
2015-03-18,10444.76
2015-03-19,10436.66
2015-03-20,10549.71
2015-03-23,10755.67
2015-03-24,10749.75
2015-03-25,10605.49
2015-03-26,10690.86
2015-03-27,10783.33
2015-03-30,11138.33
2015-03-31,11041.08
2015-04-01,11179.89
2015-04-02,11226.42
2015-04-03,11358.56
2015-04-07,11671.53
2015-04-08,11722.73
2015-04-09,11606.34
2015-04-10,11847.18
2015-04-13,12203.88
2015-04-14,12309.2
2015-04-15,12241.67
2015-04-16,12558.76
2015-04-17,12736.65
2015-04-20,12459.16
2015-04-21,12618.64
2015-04-22,12934.59
2015-04-23,12886.19
2015-04-24,12739.03
2015-04-27,13055.03
2015-04-28,13037.19
2015-04-29,13042.12
2015-04-30,13080.79
2015-05-04,13378.54
2015-05-05,12746.66
2015-05-06,12483.59
2015-05-07,12121.55
2015-05-08,12359.13
2015-05-11,12775.28
2015-05-12,12923.46
2015-05-13,12904.33
2015-05-14,12878.82
2015-05-15,12630.25
2015-05-18,12565.32
2015-05-19,12982.33
2015-05-20,13066.04
2015-05-21,13410.16
2015-05-22,13745.09
2015-05-25,14234.0
2015-05-26,14565.16
2015-05-27,14615.9
2015-05-28,13804.26
2015-05-29,13859.72
2015-06-01,14555.15
2015-06-02,14782.46
2015-06-03,14849.91
2015-06-04,14937.21
2015-06-05,15144.44
2015-06-08,15461.2
2015-06-09,15449.54
2015-06-10,15458.68
2015-06-11,15463.62
2015-06-12,15719.39
2015-06-15,15611.5
2015-06-16,15177.85
2015-06-17,15381.22
2015-06-18,14869.49
2015-06-19,13917.57
2015-06-23,14297.52
2015-06-24,14668.42
2015-06-25,14197.94
2015-06-26,13193.23
2015-06-29,12961.31
2015-06-30,13723.25
2015-07-01,13213.23
2015-07-02,12802.3
2015-07-03,12118.77
2015-07-06,12523.2
2015-07-07,12297.72
2015-07-08,11632.88
2015-07-09,12389.05
2015-07-10,13018.11
2015-07-13,13357.27
2015-07-14,13004.89
2015-07-15,12591.77
2015-07-16,12641.35
2015-07-17,13040.76
2015-07-20,12998.6
2015-07-21,13078.88
2015-07-22,13035.79
2015-07-23,13261.51
2015-07-24,13008.7
2015-07-27,11978.11
2015-07-28,12088.8
2015-07-29,12443.42
2015-07-30,12092.63
2015-07-31,12154.76
