日期Date,收盘Close
2015-01-01,1500.95
2015-01-05,1500.95
2015-01-06,1527.05
2015-01-07,1512.45
2015-01-08,1493.72
2015-01-09,1478.08
2015-01-12,1473.84
2015-01-13,1494.3
2015-01-14,1474.76
2015-01-15,1497.01
2015-01-16,1502.83
2015-01-19,1405.7
2015-01-20,1446.51
2015-01-21,1489.33
2015-01-22,1488.13
2015-01-23,1480.22
2015-01-26,1495.98
2015-01-27,1499.05
2015-01-28,1480.48
2015-01-29,1473.21
2015-01-30,1446.01
2015-02-02,1423.37
2015-02-03,1450.66
2015-02-04,1444.63
2015-02-05,1423.49
2015-02-06,1396.85
2015-02-09,1407.96
2015-02-10,1437.4
2015-02-11,1443.21
2015-02-12,1453.64
2015-02-13,1463.49
2015-02-16,1475.95
2015-02-17,1491.34
2015-02-25,1490.14
2015-02-26,1524.58
2015-02-27,1526.24
2015-03-02,1535.28
2015-03-03,1505.06
2015-03-04,1524.11
2015-03-05,1513.56
2015-03-06,1494.72
2015-03-09,1515.93
2015-03-10,1524.43
2015-03-11,1525.88
2015-03-12,1543.09
2015-03-13,1556.19
2015-03-16,1588.15
2015-03-17,1602.23
2015-03-18,1632.4
2015-03-19,1645.51
2015-03-20,1649.46
2015-03-23,1683.43
2015-03-24,1686.43
2015-03-25,1684.63
2015-03-26,1689.6
2015-03-27,1707.6
2015-03-30,1748.53
2015-03-31,1729.3
2015-04-01,1763.63
2015-04-02,1768.71
2015-04-03,1785.82
2015-04-07,1814.71
2015-04-08,1822.75
2015-04-09,1786.17
2015-04-10,1826.6
2015-04-13,1859.74
2015-04-14,1866.14
2015-04-15,1827.0
2015-04-16,1877.53
2015-04-17,1903.78
2015-04-20,1900.11
2015-04-21,1958.42
2015-04-22,1996.12
2015-04-23,2002.94
2015-04-24,1999.36
2015-04-27,2029.44
2015-04-28,1979.29
2015-04-29,1986.8
2015-04-30,1994.72
2015-05-04,2029.8
2015-05-05,1924.32
2015-05-06,1895.94
2015-05-07,1871.01
2015-05-08,1924.85
2015-05-11,1974.05
2015-05-12,1990.25
2015-05-13,1979.25
2015-05-14,1968.09
2015-05-15,1941.49
2015-05-18,1938.93
2015-05-19,2001.8
2015-05-20,2024.27
2015-05-21,2083.6
2015-05-22,2134.75
2015-05-25,2209.49
2015-05-26,2245.67
2015-05-27,2241.25
2015-05-28,2109.69
2015-05-29,2113.52
2015-06-01,2222.48
2015-06-02,2260.94
2015-06-03,2245.82
2015-06-04,2221.98
2015-06-05,2260.28
2015-06-08,2273.49
2015-06-09,2270.32
2015-06-10,2286.08
2015-06-11,2297.13
2015-06-12,2328.36
2015-06-15,2289.07
2015-06-16,2213.88
2015-06-17,2259.2
2015-06-18,2183.11
2015-06-19,2054.01
2015-06-23,2128.97
2015-06-24,2196.83
2015-06-25,2129.38
2015-06-26,1982.5
2015-06-29,1963.7
2015-06-30,2081.38
2015-07-01,1997.66
2015-07-02,1908.97
2015-07-03,1820.65
2015-07-06,1844.6
2015-07-07,1749.82
2015-07-08,1653.8
2015-07-09,1786.27
2015-07-10,1917.74
2015-07-13,2016.04
2015-07-14,1962.2
2015-07-15,1856.99
2015-07-16,1894.82
2015-07-17,1977.03
2015-07-20,1964.99
2015-07-21,1964.8
2015-07-22,1975.1
2015-07-23,2004.99
2015-07-24,1962.17
2015-07-27,1788.82
2015-07-28,1801.45
2015-07-29,1866.94
2015-07-30,1802.99
2015-07-31,1822.53
2015-08-03,1861.72
2015-08-04,1914.82
2015-08-05,1874.76
2015-08-06,1863.04
2015-08-07,1898.41
2015-08-10,1972.77
2015-08-11,1963.68
2015-08-12,1941.59
2015-08-13,1972.96
2015-08-14,1964.62
2015-08-17,1976.8
2015-08-18,1846.82
2015-08-19,1879.47
2015-08-20,1824.59
2015-08-21,1740.69
2015-08-24,1587.46
2015-08-25,1503.04
2015-08-26,1528.08
2015-08-27,1615.27
2015-08-28,1672.23
2015-08-31,1656.47
