日期Date,收盘Close
2015-01-01,2741.19
2015-01-02,2741.19
2015-01-05,2729.08
2015-01-06,2706.27
2015-01-07,2711.51
2015-01-08,2715.88
2015-01-09,2720.49
2015-01-12,2718.28
2015-01-13,2738.65
2015-01-14,2747.72
2015-01-15,2765.34
2015-01-16,2765.68
2015-01-19,2744.62
2015-01-20,2757.4
2015-01-21,2771.8
2015-01-22,2768.31
2015-01-23,2819.65
2015-01-26,2833.87
2015-01-27,2831.73
2015-01-28,2829.14
2015-01-29,2822.28
2015-01-30,2823.95
2015-02-02,2824.55
2015-02-03,2813.5
2015-02-04,2822.4
2015-02-05,2807.9
2015-02-06,2795.18
2015-02-09,2782.56
2015-02-10,2782.82
2015-02-11,2768.23
2015-02-12,2757.9
2015-02-13,2766.95
2015-02-16,2770.26
2015-02-17,2779.04
2015-02-18,2783.65
2015-02-23,2782.37
2015-02-24,2776.04
2015-02-25,2795.83
2015-02-26,2806.72
2015-02-27,2813.5
2015-03-02,2803.23
2015-03-03,2785.66
2015-03-04,2762.19
2015-03-05,2740.42
2015-03-06,2729.3
2015-03-09,2714.95
2015-03-10,2704.89
2015-03-11,2694.68
2015-03-12,2681.58
2015-03-13,2687.5
2015-03-16,2684.03
2015-03-17,2688.47
2015-03-18,2687.46
2015-03-19,2702.36
2015-03-20,2688.21
2015-03-23,2702.85
2015-03-24,2708.28
2015-03-25,2719.62
2015-03-26,2716.41
2015-03-27,2732.34
2015-03-30,2742.08
2015-03-31,2750.33
2015-04-01,2760.41
2015-04-02,2766.13
2015-04-08,2821.28
2015-04-09,2852.25
2015-04-10,2894.52
2015-04-13,2947.81
2015-04-14,2939.38
2015-04-15,2927.45
2015-04-16,2929.44
2015-04-17,2912.83
2015-04-20,2882.65
2015-04-21,2916.68
2015-04-22,2952.65
2015-04-23,2953.21
2015-04-24,2988.16
2015-04-27,3034.4
2015-04-28,3033.09
2015-04-29,3032.23
2015-04-30,3032.06
2015-05-04,3066.01
2015-05-05,3016.12
2015-05-06,2989.71
2015-05-07,2962.91
2015-05-08,3014.71
2015-05-11,3017.1
2015-05-12,2979.21
2015-05-13,2963.05
2015-05-14,2972.73
2015-05-15,3011.86
2015-05-18,3000.37
2015-05-19,3010.47
2015-05-20,3005.51
2015-05-21,2985.61
2015-05-22,3022.96
2015-05-26,3048.37
2015-05-27,3038.65
2015-05-28,2983.43
2015-05-29,2952.99
2015-06-01,2982.83
2015-06-02,2969.58
2015-06-03,2969.13
2015-06-04,2971.04
2015-06-05,2951.93
2015-06-08,2938.49
2015-06-09,2914.29
2015-06-10,2886.76
2015-06-11,2910.44
2015-06-12,2938.15
2015-06-15,2907.72
2015-06-16,2885.66
2015-06-17,2913.59
2015-06-18,2927.59
2015-06-19,2936.82
2015-06-22,2955.75
2015-06-23,2991.95
2015-06-24,2984.88
2015-06-25,2968.14
2015-06-26,2932.83
2015-06-29,2884.87
2015-06-30,2917.66
2015-07-02,2910.22
2015-07-03,2880.1
2015-07-06,2806.25
2015-07-07,2780.27
2015-07-08,2656.07
2015-07-09,2734.02
